AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Agonists challenge_25_04_23\WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
    IBI Coefficient of Variation - Std,0.032753, ,0.000000, , , , , , , , ,0.298167,0.000000, , , , , ,0.285712, , , , , 
    Burst Percentage - Avg,95.542703,71.422545,90.363036,53.966346,0.000000,86.827033,7.272727,66.666667,79.561901,45.458878,0.000000,52.537617,46.118590,38.409091,0.000000,60.000000, ,0.000000,41.454962, ,4.285714,0.000000,0.000000,0.000000
    Burst Percentage - Std,8.213910,25.139175,27.505887,46.904488, ,33.133457,16.262313,57.735027,26.945615,43.555086,0.000000,47.064632,48.752750,45.638265, ,54.772256, , ,44.613366, ,9.583148, , , 
Network Burst Metrics
    Number of Network Bursts,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000,0.000000,0.000000,1.000000,1.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.016667,0.008333,0.016667,0.008333, ,0.016667, , ,0.008333,0.008333, ,0.025000,0.016667, , , , , ,0.033333, , , , , 
    Network Burst Duration - Avg (sec),0.421520,0.070400,0.312200,0.448560, ,0.123920, , ,0.103680,0.037600, ,0.229653,0.313600, , , , , ,0.200100, , , , , 
    Network Burst Duration - Std (sec),0.162578, ,0.188090, , ,0.002036, , , , , ,0.090441,0.191994, , , , , ,0.105257, , , , , 
    Number of Spikes per Network Burst - Avg,381.500000,240.000000,341.000000,93.000000, ,184.500000, , ,178.000000,64.000000, ,159.666667,158.500000, , , , , ,90.000000, , , , , 
    Number of Spikes per Network Burst - Std,234.052345, ,33.941125, , ,13.435029, , , , , ,64.298782,109.601551, , , , , ,15.979153, , , , , 
    Mean ISI within Network Burst - Avg (sec),0.001204,0.000295,0.000895,0.004876, ,0.000678, , ,0.000586,0.000597, ,0.001479,0.002068, , , , , ,0.002201, , , , , 
    Mean ISI within Network Burst - Std (sec),0.000313, ,0.000464, , ,0.000061, , , , , ,0.000355,0.000220, , , , , ,0.001020, , , , , 
    Median ISI within Network Burst - Avg (sec),0.000400,0.000240,0.000240,0.001760, ,0.000460, , ,0.000320,0.000400, ,0.000853,0.001020, , , , , ,0.001030, , , , , 
    Median ISI within Network Burst - Std (sec),0.000000, ,0.000000, , ,0.000028, , , , , ,0.000441,0.000311, , , , , ,0.000132, , , , , 
    Median/Mean ISI within Network Burst - Avg,0.343815,0.814773,0.309720,0.360977, ,0.683545, , ,0.546296,0.670213, ,0.560176,0.488089, , , , , ,0.552354, , , , , 
    Median/Mean ISI within Network Burst - Std,0.089496, ,0.160505, , ,0.102988, , , , , ,0.171304,0.098593, , , , , ,0.249660, , , , , 
    Number of Elecs Participating in Burst - Avg,12.000000,12.000000,15.000000,8.000000, ,9.000000, , ,15.000000,12.000000, ,9.666667,10.500000, , , , , ,8.250000, , , , , 
    Number of Elecs Participating in Burst - Std,0.000000, ,0.000000, , ,0.000000, , , , , ,3.214550,3.535534, , , , , ,1.707825, , , , , 
    Number of Spikes per Network Burst per Channel - Avg,31.791667,20.000000,22.733333,11.625000, ,20.500000, , ,11.866667,5.333333, ,16.681818,14.139423, , , , , ,11.076389, , , , , 
    Number of Spikes per Network Burst per Channel - Std,19.504362, ,2.262742, , ,1.492781, , , , , ,3.629381,5.677252, , , , , ,1.816049, , , , , 
    Network Burst Percentage,100.000000,68.965517,88.456550,100.000000, ,95.348837, , ,76.394850,53.333333, ,86.618445,99.373041, , , , , ,75.000000, , , , , 
    Network IBI Coefficient of Variation, , , , , , , , , , , ,0.943155, , , , , , ,0.355045, , , , , 
    Network Normalized Duration IQR, , , , , , , , , , , , , , , , , , ,0.257142, , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.416252,0.579238,0.433614,0.167573,0.000000,0.345066,0.107646,0.012683,0.584635,0.514573,0.261788,0.246011,0.161663,0.085213,0.000000,0.117858,0.000000,0.000000,0.142414,0.000000,0.019479,0.000000,0.000000,0.000000
    Area Under Cross-Correlation,1.399514,1.001667,2.442014,0.036181,0.000000,0.712569,0.005417,0.002500,0.494306,0.156250,0.004792,0.579097,0.299583,0.007986,0.000000,0.044861,0.000000,0.000000,0.264792,0.000000,0.001458,0.000000,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation,9.000000,11.000000,20.000000,10.000000, ,12.000000,5.000000,3.000000,17.000000,9.000000,4.000000,11.000000,8.000000,22.000000, ,8.000000, , ,5.000000, ,5.000000, , , 
    Full Width at Half Height of Cross-Correlation,41.000000,54.000000,103.000000,12.000000, ,89.000000,8.000000,4.000000,40.000000,24.000000,4.000000,55.000000,88.000000,25.000000, ,25.000000, , ,51.000000, ,3.000000, , , 
    Synchrony Index,0.782225,0.896277,0.720516,0.606958,0.000000,0.835565,0.748511,0.242563,0.764996,0.725229,0.660711,0.584146,0.382833,0.430702,0.000000,0.538638,0.000000,0.000000,0.306347,0.000000,0.100364,0.000000,0.000000,0.000000
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,21.000000,21.000000,22.000000,31.000000, ,12.000000, , ,44.000000,44.000000, ,23.000000,11.000000, , , , , ,21.000000, , , , , 
    Percent Bursts with Start Electrode,50.000000,100.000000,100.000000,100.000000, ,50.000000, , ,100.000000,100.000000, ,33.333333,50.000000, , , , , ,50.000000, , , , , 
    Burst Peak (Max Spikes per sec),4000.000000,7000.000000,4500.000000,2000.000000, ,4000.000000, , ,5000.000000,5000.000000, ,2333.333333,2500.000000, , , , , ,1250.000000, , , , , 
    Time to Burst Peak (ms),33.500000,31.500000,116.500000,11.500000, ,78.500000, , ,32.500000,8.500000, ,75.500000,81.500000, , , , , ,3.500000, , , , , 
Viability Metrics
    Resistance - Avg (kOhms),19.001829,25.823800,23.586866,10.978097,11.572681,17.713496,15.953517,15.117080,30.794862,23.595822,15.732292,26.364223,21.566129,20.544856,14.903985,17.726936,19.391738,14.193429,19.403108,6.301681,19.977207,16.063886,15.866070,11.876479
    Resistance - Std (kOhms),9.171407,10.239150,8.870906,3.097612,4.142400,10.531721,8.721347,8.919069,10.542024,9.404450,6.458570,12.638616,8.972156,12.854711,6.063084,7.197462,11.253721,6.196835,10.098997,0.175846,7.672660,8.458045,9.981657,5.491366
    Number of Covered Electrodes,6.000000,11.000000,10.000000,1.000000,1.000000,5.000000,4.000000,2.000000,13.000000,9.000000,4.000000,8.000000,7.000000,5.000000,2.000000,5.000000,6.000000,2.000000,8.000000,0.000000,7.000000,3.000000,3.000000,1.000000
    Weighted Mean Resistance (kOhms),27.656200,29.650098,27.516074,21.047131,22.710283,30.597143,26.703656,32.233893,33.568994,29.709661,24.677603,36.574281,29.165986,33.667134,27.825110,27.007871,29.694043,27.492517,27.520507, ,26.107283,30.360814,32.327354,30.229021

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
    Number of Spikes,33.000000,13.000000,103.000000,7.000000,137.000000,25.000000,116.000000,0.000000,47.000000,0.000000,41.000000,141.000000,78.000000,0.000000,22.000000,0.000000,43.000000,11.000000,35.000000,24.000000,45.000000,0.000000,0.000000,5.000000,0.000000,36.000000,41.000000,45.000000,0.000000,19.000000,22.000000,22.000000,35.000000,55.000000,78.000000,81.000000,37.000000,101.000000,14.000000,80.000000,29.000000,38.000000,4.000000,48.000000,12.000000,0.000000,83.000000,76.000000,0.000000,8.000000,0.000000,3.000000,7.000000,5.000000,1.000000,0.000000,13.000000,41.000000,0.000000,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,48.000000,0.000000,0.000000,83.000000,97.000000,0.000000,0.000000,33.000000,25.000000,0.000000,0.000000,0.000000,27.000000,17.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,22.000000,4.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,11.000000,22.000000,0.000000,35.000000,13.000000,8.000000,9.000000,11.000000,30.000000,12.000000,9.000000,8.000000,1.000000,18.000000,30.000000,16.000000,1.000000,4.000000,0.000000,0.000000,10.000000,1.000000,0.000000,18.000000,2.000000,2.000000,17.000000,14.000000,0.000000,15.000000,24.000000,12.000000,1.000000,2.000000,3.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,2.000000,38.000000,13.000000,0.000000,175.000000,3.000000,5.000000,71.000000,8.000000,1.000000,0.000000,78.000000,57.000000,0.000000,0.000000,6.000000,98.000000,18.000000,8.000000,30.000000,0.000000,4.000000,4.000000,65.000000,5.000000,5.000000,1.000000,84.000000,4.000000,0.000000,7.000000,83.000000,1.000000,63.000000,5.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,4.000000,0.000000,0.000000,53.000000,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000,0.000000,0.000000,140.000000,83.000000,5.000000,76.000000,88.000000,0.000000,32.000000,6.000000,0.000000,44.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,0.000000,3.000000,0.000000,0.000000,34.000000,3.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
