AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Agonists challenge_25_04_23\WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023(000).spk
File Type,24-well

Analysis Start,240.000000
Analysis End,360.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,CAP [100 nM],CAP [100 nM],AITC [1 µM],AITC [1 µM],KCl [1 mM],KCl [1 mM],CAP [1 µM],CAP [1 µM],AITC [10 µM],AITC [10 µM],KCl [10 mM],KCl [10 mM],CAP [10 µM],CAP [10 µM],AITC [100 µM],AITC [100 µM],KCl [50 mM],KCl [50 mM],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %],CTRL,DMSO [0.01 %]
Activity Metrics
    Number of Spikes,3175.000000,2892.000000,5002.000000,1555.000000,857.000000,3288.000000,243.000000,334.000000,5799.000000,4090.000000,730.000000,7707.000000,1858.000000,1188.000000,961.000000,1575.000000,1855.000000,335.000000,5164.000000,3.000000,811.000000,2290.000000,754.000000,854.000000
    Mean Firing Rate (Hz),1.653646,1.506250,2.605208,0.809896,0.446354,1.712500,0.126562,0.173958,3.020313,2.130208,0.380208,4.014062,0.967708,0.618750,0.500521,0.820313,0.966146,0.174479,2.689583,0.001563,0.422396,1.192708,0.392708,0.444792
    ISI Coefficient of Variation - Avg,9.133620,3.439054,8.251552,5.306737,2.533985,4.635224,1.629101,3.329033,4.548971,3.408599,3.115546,4.127507,4.204458,1.939822,3.346082,4.195285,4.369579,2.450438,3.061549, ,2.285653,2.950647,6.062396,3.078105
    Number of Active Electrodes,12.000000,12.000000,15.000000,16.000000,14.000000,13.000000,2.000000,4.000000,16.000000,16.000000,7.000000,16.000000,13.000000,4.000000,16.000000,16.000000,13.000000,16.000000,10.000000,0.000000,6.000000,15.000000,3.000000,12.000000
    Weighted Mean Firing Rate (Hz),2.201389,2.005556,2.778889,0.809896,0.507143,2.094231,0.883333,0.693750,3.020313,2.130208,0.839286,4.014062,1.185897,2.468750,0.500521,0.820313,1.178205,0.174479,4.290000, ,1.108333,1.272222,2.061111,0.569444
Electrode Burst Metrics
    Number of Bursts,90.000000,122.000000,203.000000,65.000000,58.000000,119.000000,16.000000,18.000000,220.000000,173.000000,42.000000,430.000000,44.000000,35.000000,53.000000,66.000000,42.000000,16.000000,164.000000,0.000000,27.000000,81.000000,31.000000,26.000000
    Number of Bursting Electrodes,12.000000,12.000000,15.000000,16.000000,14.000000,16.000000,2.000000,3.000000,16.000000,16.000000,7.000000,16.000000,10.000000,4.000000,16.000000,16.000000,15.000000,16.000000,8.000000,0.000000,6.000000,15.000000,3.000000,16.000000
    Burst Duration - Avg (sec),0.304179,0.078374,0.157691,0.267052,0.099349,0.134549,0.045955,0.133590,0.152386,0.124424,0.090495,0.098986,0.307993,0.088039,0.091232,0.205221,0.190700,0.130790,0.165002, ,0.080460,0.214045,0.179246,0.135976
    Burst Duration - Std (sec),0.111278,0.034981,0.048066,0.086060,0.044525,0.057650,0.045983,0.049969,0.018829,0.058217,0.026849,0.029407,0.164730,0.070832,0.058775,0.207518,0.126787,0.027363,0.053218, ,0.038614,0.051647,0.038520,0.080962
    Number of Spikes per Burst - Avg,35.316576,18.702303,22.730684,29.780208,13.152800,17.859663,6.766667,13.880952,23.800027,17.958728,9.979592,16.421559,29.694762,8.137500,14.653846,26.882612,26.063492,17.437500,22.880024, ,9.927778,18.680808,25.390313,16.768750
    Number of Spikes per Burst - Std,32.239895,4.514217,10.905652,12.829978,3.856618,11.369665,1.084230,11.177221,8.542288,5.310623,2.782097,5.256234,26.138119,2.253654,3.934298,20.076541,22.401284,2.965777,11.718103, ,5.845052,14.078973,22.953342,18.364521
    Mean ISI within Burst - Avg (sec),0.015651,0.004748,0.010010,0.011666,0.007899,0.009106,0.008054,0.014524,0.007056,0.009406,0.010854,0.008230,0.017049,0.011535,0.006425,0.007545,0.008349,0.008040,0.010524, ,0.011380,0.015416,0.011172,0.012365
    Mean ISI within Burst - Std (sec),0.014885,0.001543,0.014735,0.004687,0.003237,0.004360,0.007589,0.011464,0.003338,0.006087,0.004327,0.006309,0.011091,0.009013,0.002781,0.002504,0.002367,0.001530,0.003748, ,0.007033,0.007110,0.006992,0.004862
    Median ISI within Burst - Avg (sec),0.010263,0.003126,0.008079,0.007057,0.004612,0.005695,0.006451,0.007632,0.003995,0.006136,0.006317,0.006052,0.011694,0.005154,0.004685,0.004437,0.004504,0.005013,0.006282, ,0.008975,0.007823,0.004387,0.007535
    Median ISI within Burst - Std (sec),0.015778,0.000501,0.018273,0.004571,0.001215,0.003915,0.005502,0.005775,0.001702,0.004970,0.003007,0.007263,0.011348,0.002658,0.002008,0.001226,0.001359,0.001181,0.002652, ,0.007334,0.004423,0.002503,0.003269
    Median/Mean ISI within Burst - Avg,0.560980,0.766279,0.707332,0.552622,0.655454,0.646104,0.838523,0.560875,0.657551,0.708828,0.609378,0.725142,0.640224,0.612629,0.751134,0.652973,0.566573,0.627372,0.592334, ,0.752522,0.529758,0.475487,0.610172
    Median/Mean ISI within Burst - Std,0.175348,0.114828,0.153920,0.132835,0.108834,0.152185,0.161019,0.156057,0.074919,0.127997,0.095114,0.140447,0.208814,0.291311,0.105890,0.188426,0.139717,0.103667,0.096183, ,0.189431,0.137855,0.188423,0.091800
    Inter-Burst Interval - Avg (sec),15.664070,12.856514,8.495058,8.759955,9.811621,7.824907,5.351703,13.115782,7.067251,6.395688,15.682296,9.251620,19.328531,8.965321,1.466243,9.931346,10.085094, ,8.600477, ,27.634424,8.718478,9.468876,6.894364
    Inter-Burst Interval - Std (sec),3.796979,4.159108,0.667203,5.456599,2.016063,3.068100,0.000000,3.561331,1.927660,4.460082,7.966591,12.137944,2.893604,3.656555,2.708669,13.667957,0.720198, ,7.015541, ,11.630147,1.790418,2.038822,7.556262
    Burst Frequency - Avg (Hz),0.062500,0.084722,0.112778,0.033854,0.034524,0.061979,0.066667,0.050000,0.114583,0.090104,0.050000,0.223958,0.036667,0.072917,0.027604,0.034375,0.023333,0.008333,0.170833, ,0.037500,0.045000,0.086111,0.013542
    Burst Frequency - Std (Hz),0.022332,0.026788,0.029859,0.037202,0.045510,0.055358,0.082496,0.014434,0.041667,0.080117,0.034021,0.291180,0.020108,0.032896,0.033294,0.044188,0.026011,0.000000,0.092475, ,0.012638,0.054808,0.019245,0.018727
    IBI Coefficient of Variation - Avg,1.670897,0.605875,1.569866,1.666274,0.712607,0.984403,0.423668,0.483956,0.536492,0.847765,0.619075,1.616700,0.591566,0.659059,0.709373,1.064471,0.785245, ,0.713458, ,0.840524,0.810905,0.811164,0.647724
    IBI Coefficient of Variation - Std,0.263302,0.150459,0.075835,0.240353,0.240903,0.169008,0.000000,0.125824,0.070257,0.277409,0.462727,0.369713,0.398431,0.483835,0.051129,0.351130,0.104116, ,0.207355, ,0.074147,0.134984,0.231115,0.000000
    Burst Percentage - Avg,71.201843,71.028869,92.186900,86.971854,86.443447,90.307950,12.490981,50.705882,92.156580,77.467358,29.170697,76.529139,52.462156,22.966481,93.367513,90.298649,98.025462,87.261805,47.025160,0.000000,34.604530,87.896320,49.411765,83.370866
    Burst Percentage - Std,41.779110,30.790299,21.967824,14.636712,25.248907,16.860328,23.438684,49.693089,12.182094,17.526835,36.213942,21.191128,43.727570,30.075182,9.513560,12.734306,3.532646,14.386018,40.905953,0.000000,32.938316,18.013268,54.143216,9.029330
Network Burst Metrics
