Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00001.191040,B6_14,0.038
,,00001.193360,B6_14,0.047
,,00001.254480,B5_14,0.021
,,00001.263840,A6_22,0.275
,,00001.265760,A6_21,0.03
,,00001.266080,A6_11,0.044
,,00001.266240,A6_22,0.175
,,00001.268160,A6_21,0.039
,,00001.268800,A6_22,0.044
,,00001.269040,A6_32,0.013
,,00001.270400,A6_21,0.056
,,00001.270480,A6_12,0.038
,,00001.270960,A6_11,0.041
,,00001.271520,A6_42,0.016
,,00001.271600,A6_22,0.044
,,00001.272000,A6_32,0.013
,,00001.272640,A6_21,0.129
,,00001.273920,A6_22,0.101
,,00001.274240,A6_12,0.014
,,00001.274480,A6_11,0.02
,,00001.275200,A6_21,0.031
,,00001.277280,A6_22,0.012
,,00001.277440,A6_21,0.231
,,00001.278560,B6_33,0.1
,,00001.278800,B5_13,0.026
,,00001.279680,A6_21,0.059
,,00001.280240,A6_12,0.026
,,00001.280640,A6_11,0.018
,,00001.281040,A6_22,0.031
,,00001.281200,B6_34,0.052
,,00001.282560,B6_33,0.015
,,00001.283520,B6_34,0.182
,,00001.283600,A6_21,0.035
,,00001.283680,A6_22,0.151
,,00001.285840,A6_11,0.035
,,00001.286960,A6_22,0.024
,,00001.287840,A6_21,0.019
,,00001.288560,B6_34,0.049
,,00001.290240,A6_22,0.019
,,00001.291040,B6_34,0.147
,,00001.291360,B6_33,0.037
,,00001.291680,B6_23,0.047
,,00001.293760,B6_34,0.024
,,00001.295200,A6_22,0.011
,,00001.299920,B4_34,0.112
,,00001.300960,B6_34,0.07
,,00001.301040,B4_43,0.084
,,00001.301520,B4_33,0.024
,,00001.301680,B4_44,0.032
,,00001.301840,B6_14,0.032
,,00001.303200,B4_34,0.115
,,00001.303280,B4_43,0.26
,,00001.303360,B4_24,0.089
,,00001.303680,B6_34,0.014
,,00001.304400,B4_33,0.032
,,00001.304560,B4_42,0.036
,,00001.305520,B4_44,0.012
,,00001.305760,B4_24,0.042
,,00001.305920,B4_43,0.118
,,00001.306560,B4_32,0.02
,,00001.306720,B4_21,0.013
,,00001.306800,B4_33,0.037
,,00001.306800,B4_34,0.018
,,00001.307280,B4_42,0.058
,,00001.308240,B4_24,0.036
,,00001.309040,B4_43,0.139
,,00001.309440,B4_34,0.033
,,00001.309520,B4_33,0.018
,,00001.309760,B4_21,0.015
,,00001.310080,B4_42,0.068
,,00001.310160,B4_44,0.017
,,00001.310960,B4_31,0.016
,,00001.311280,B4_24,0.028
,,00001.311520,B4_43,0.254
