Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00109.730560,B6_43,0.022
,,00109.734560,B6_33,0.031
,,00109.734880,B6_44,0.027
,,00109.771440,A6_22,0.033
,,00109.787600,B6_14,0.029
,,00109.791840,B6_34,0.166
,,00109.794160,B6_34,0.016
,,00109.818160,B6_14,0.094
,,00109.820960,B6_14,0.016
,,00109.842480,B1_33,0.019
,,00109.878640,D1_33,0.048
,,00109.880880,D1_33,0.056
,,00109.881200,D1_34,0.039
,,00109.881200,D1_42,0.193
,,00109.881520,D1_24,0.302
,,00109.884240,D1_33,0.026
,,00109.884640,D1_42,0.019
,,00109.884800,D1_24,0.177
,,00109.885440,D1_34,0.01
,,00109.885680,D3_32,0.015
,,00109.887040,D1_24,0.043
,,00109.887280,D1_42,0.08
,,00109.888320,D1_33,0.021
,,00109.889360,D1_24,0.016
,,00109.889520,D3_32,0.014
,,00109.936160,A3_12,0.014
,,00109.936160,B6_33,0.038
,,00109.936320,A3_11,0.021
,,00109.938960,B6_34,0.227
,,00109.940320,B6_33,0.011
,,00109.940800,A3_22,0.013
,,00109.941200,A3_14,0.044
,,00109.941280,A3_34,0.013
,,00109.941520,A3_13,0.022
,,00109.942160,B6_34,0.037
,,00109.942560,B6_33,0.015
,,00109.943920,A3_14,0.031
,,00109.944560,B6_34,0.364
,,00109.945440,A3_34,0.018
,,00109.946320,A3_13,0.026
,,00109.946560,A3_14,0.029
,,00109.947760,A3_24,0.019
,,00109.948640,A3_43,0.064
,,00109.949280,A3_34,0.02
,,00109.949680,A3_14,0.024
,,00109.950240,A3_13,0.041
,,00109.951040,A3_24,0.033
,,00109.951120,A3_44,0.027
,,00109.951440,A3_22,0.024
,,00109.951440,A3_43,0.043
,,00109.952560,A3_14,0.023
,,00109.952880,A3_34,0.027
,,00109.953120,A3_13,0.109
,,00109.953760,A3_44,0.018
,,00109.954160,A3_43,0.067
,,00109.954960,A3_32,0.016
,,00109.955680,A3_24,0.054
,,00109.955680,B6_14,0.03
,,00109.956000,A3_13,0.016
,,00109.956400,A3_43,0.032
,,00109.957120,A3_44,0.029
,,00109.958240,A3_13,0.129
,,00109.958400,A3_22,0.014
,,00109.958560,A3_24,0.066
,,00109.958640,A3_14,0.02
,,00109.958640,A3_34,0.029
,,00109.958800,A3_43,0.026
,,00109.959440,B6_43,0.024
,,00109.960080,A3_44,0.02
,,00109.960160,B6_33,0.028
,,00109.961040,A3_24,0.066
,,00109.961120,A3_14,0.027
,,00109.961200,A3_13,0.023
,,00109.961280,A3_43,0.025
,,00109.962240,A3_34,0.024
,,00109.963040,A3_44,0.023
,,00109.963360,A3_23,0.016
,,00109.963360,A3_24,0.034
,,00109.963520,A3_43,0.015
,,00109.963760,A3_13,0.178
,,00109.964320,A3_14,0.029
,,00109.964800,A3_34,0.029
,,00109.964800,B6_33,0.1
,,00109.965600,A3_22,0.016
,,00109.965600,A3_41,0.01
,,00109.965680,A3_44,0.084
,,00109.966160,A3_13,0.081
,,00109.966320,A3_24,0.063
,,00109.966560,A3_14,0.028
,,00109.966800,B6_14,0.031
,,00109.966880,A3_43,0.026
,,00109.967200,A3_31,0.014
,,00109.967360,A3_34,0.029
,,00109.968160,A3_33,0.021
,,00109.968320,A3_22,0.02
,,00109.968480,A3_41,0.012
,,00109.969040,A3_14,0.073
,,00109.969040,A3_32,0.032
,,00109.970000,A3_34,0.035
,,00109.970320,A3_43,0.074
,,00109.970960,A3_13,0.221
,,00109.971040,A3_23,0.019
,,00109.971760,A3_14,0.064
,,00109.971760,A3_44,0.158
,,00109.971840,A3_24,0.099
,,00109.971920,A3_32,0.046
,,00109.972400,A3_22,0.045
,,00109.972560,A3_31,0.018
,,00109.972640,A3_33,0.011
,,00109.972720,A3_41,0.037
,,00109.973040,A3_43,0.033
,,00109.973280,A3_34,0.021
,,00109.973520,A3_21,0.022
,,00109.973680,A3_13,0.111
,,00109.974080,A3_14,0.037
,,00109.974080,A3_44,0.084
,,00109.974160,A3_24,0.07
,,00109.974560,A3_12,0.018
,,00109.974720,A3_23,0.022
,,00109.975120,A3_22,0.04
,,00109.975200,A3_32,0.028
,,00109.975280,A3_41,0.019
,,00109.975440,A3_11,0.043
,,00109.975840,A3_31,0.016
,,00109.975920,A3_13,0.088
,,00109.975920,A3_43,0.077
,,00109.976080,A3_21,0.013
,,00109.976320,A3_14,0.051
,,00109.976640,A3_24,0.11
,,00109.976800,A3_34,0.023
,,00109.976880,A3_44,0.089
,,00109.977040,A3_12,0.049
,,00109.977520,B6_33,0.028
,,00109.977600,A3_22,0.056
,,00109.978320,A3_21,0.013
,,00109.978720,A3_11,0.041
,,00109.978720,A3_13,0.061
,,00109.978720,A3_14,0.036
,,00109.978800,A3_43,0.108
,,00109.978960,A3_24,0.06
,,00109.979040,A3_31,0.017
,,00109.979360,A3_44,0.049
,,00109.979440,A3_32,0.028
,,00109.979920,A3_12,0.027
,,00109.980000,A3_34,0.012
,,00109.980560,A3_21,0.022
,,00109.981040,A3_22,0.056
,,00109.981120,A3_11,0.034
,,00109.981120,A3_14,0.057
,,00109.981200,A3_41,0.014
,,00109.981200,A3_43,0.053
,,00109.981760,A3_13,0.065
,,00109.982000,A3_44,0.047
,,00109.982160,A3_31,0.02
,,00109.982240,A3_12,0.02
,,00109.982560,A3_32,0.019
,,00109.983200,A3_21,0.011
,,00109.983200,A3_24,0.043
,,00109.983280,A3_34,0.011
,,00109.983440,A3_11,0.03
,,00109.983600,A3_22,0.031
,,00109.983920,A3_43,0.051
,,00109.984080,A3_14,0.019
,,00109.984160,A3_41,0.01
,,00109.984320,A3_13,0.03
,,00109.984480,A3_44,0.062
,,00109.984880,A3_12,0.018
,,00109.984960,A3_32,0.017
,,00109.985760,A3_11,0.019
,,00109.985760,A3_21,0.008
,,00109.985920,A3_22,0.059
,,00109.986000,A3_31,0.018
,,00109.986160,A3_24,0.054
,,00109.986720,A3_13,0.025
,,00109.986800,A3_44,0.044
,,00109.986880,A3_43,0.045
,,00109.986960,A3_14,0.034
,,00109.987040,A3_34,0.015
,,00109.987360,A3_12,0.028
,,00109.987600,B6_14,0.035
,,00109.988000,A3_32,0.017
,,00109.988160,A3_22,0.027
,,00109.988480,A3_11,0.026
,,00109.988560,A3_24,0.097
,,00109.989360,A3_14,0.026
,,00109.989440,A3_34,0.018
,,00109.989440,A3_44,0.108
,,00109.989520,A3_43,0.033
,,00109.989680,A3_21,0.025
,,00109.989840,A3_13,0.028
,,00109.989920,A3_12,0.018
,,00109.990080,A3_31,0.013
,,00109.990320,A3_32,0.021
,,00109.990880,A3_24,0.049
,,00109.991120,A3_22,0.048
,,00109.992080,A3_34,0.016
,,00109.992080,A3_44,0.033
,,00109.992160,A3_11,0.017
,,00109.992240,A3_14,0.023
,,00109.992400,A3_13,0.028
,,00109.992720,A3_31,0.015
,,00109.992960,A3_43,0.06
,,00109.993200,A3_21,0.026
,,00109.993520,A3_22,0.018
,,00109.993520,A3_32,0.019
,,00109.994160,A3_24,0.056
,,00109.994400,A3_11,0.021
,,00109.994400,A3_44,0.049
,,00109.994960,A3_14,0.015
,,00109.995120,A3_12,0.018
,,00109.995200,A3_43,0.052
,,00109.995920,A3_31,0.014
,,00109.996080,A3_22,0.053
,,00109.996320,A3_13,0.024
,,00109.997120,A3_21,0.01
,,00109.997120,A3_24,0.038
,,00109.997200,A3_44,0.042
,,00109.997280,A3_14,0.033
,,00109.997600,A3_32,0.022
,,00109.997840,A3_34,0.016
,,00109.997920,A3_12,0.014
,,00109.997920,A3_43,0.112
,,00109.998480,A3_22,0.024
,,00109.998880,A3_13,0.03
,,00109.999760,A3_24,0.029
,,00109.999840,A3_14,0.021
,,00110.000240,A3_44,0.069
,,00110.000400,A3_43,0.063
,,00110.000880,A3_31,0.017
,,00110.001120,A3_32,0.013
,,00110.001200,A3_13,0.025
,,00110.001200,A3_22,0.016
,,00110.001520,B6_14,0.032
,,00110.002160,A3_11,0.028
,,00110.002320,A3_14,0.023
,,00110.002320,A3_34,0.017
,,00110.002880,A3_43,0.03
,,00110.003120,A3_24,0.032
,,00110.003360,A3_44,0.043
,,00110.003440,A3_22,0.04
,,00110.004000,A3_32,0.016
,,00110.004240,A3_13,0.035
,,00110.004480,A3_31,0.015
,,00110.004560,A3_12,0.018
,,00110.004800,A3_11,0.016
,,00110.004800,A3_21,0.013
,,00110.004880,A3_14,0.04
,,00110.004880,A3_41,0.008
,,00110.005120,A3_43,0.062
,,00110.005600,A3_24,0.039
,,00110.005680,A3_44,0.045
,,00110.005760,A3_22,0.018
,,00110.006160,B6_33,0.102
,,00110.006320,A3_32,0.021
,,00110.006560,A3_13,0.028
,,00110.007280,A3_11,0.027
,,00110.007280,A3_14,0.012
,,00110.007920,A3_24,0.023
,,00110.008080,A3_22,0.027
,,00110.008080,A3_44,0.048
,,00110.008160,A3_43,0.043
,,00110.008560,A3_21,0.023
,,00110.009200,A3_13,0.037
,,00110.009440,A3_12,0.033
,,00110.009600,A3_34,0.017
,,00110.009680,A3_32,0.022
,,00110.010160,A3_24,0.05
,,00110.010240,A3_11,0.031
,,00110.010240,A3_14,0.027
,,00110.010400,A3_44,0.052
,,00110.010960,A3_22,0.028
,,00110.010960,A3_43,0.053
,,00110.011120,A3_31,0.018
,,00110.011680,A3_13,0.029
,,00110.012000,A3_32,0.017
,,00110.012880,A3_14,0.019
,,00110.013120,A3_11,0.015
,,00110.013440,A3_44,0.042
,,00110.013520,A3_24,0.023
,,00110.013600,A3_21,0.018
,,00110.013600,A3_34,0.016
,,00110.013600,A3_43,0.049
,,00110.014400,A3_32,0.022
,,00110.014960,A3_13,0.034
,,00110.015040,A3_22,0.015
,,00110.015120,A3_31,0.014
,,00110.015600,A3_14,0.024
,,00110.015680,A3_44,0.096
,,00110.015840,A3_12,0.019
,,00110.015920,A3_43,0.054
,,00110.016160,A3_21,0.017
,,00110.016480,A3_24,0.023
,,00110.016800,B6_14,0.371
,,00110.017360,A3_31,0.018
,,00110.017680,A3_13,0.027
,,00110.018080,A3_14,0.015
,,00110.018240,A3_22,0.027
,,00110.018560,A3_43,0.037
,,00110.018560,A3_44,0.045
,,00110.018640,A3_21,0.012
,,00110.018800,A3_11,0.023
,,00110.018800,A3_24,0.022
,,00110.018880,A3_12,0.031
,,00110.018880,A3_32,0.018
,,00110.019440,A3_34,0.012
,,00110.020480,A3_14,0.015
,,00110.020640,B6_14,0.022
,,00110.021120,A3_44,0.029
,,00110.021200,A3_43,0.025
,,00110.021280,A3_11,0.015
,,00110.021280,A3_12,0.037
,,00110.021440,A3_24,0.043
,,00110.021760,A3_13,0.025
,,00110.021920,A3_22,0.027
,,00110.022640,A3_32,0.021
,,00110.023200,A3_14,0.022
,,00110.023680,A3_24,0.024
,,00110.023680,A3_43,0.041
,,00110.023920,B6_14,0.03
,,00110.024160,A3_22,0.013
,,00110.024560,A3_13,0.022
,,00110.024560,A3_44,0.036
,,00110.024800,A3_12,0.021
,,00110.025120,A3_21,0.024
,,00110.025600,A3_31,0.015
,,00110.026480,A3_24,0.053
,,00110.026560,A3_14,0.024
,,00110.026800,A3_44,0.06
,,00110.027200,A3_43,0.054
,,00110.027280,A3_22,0.027
,,00110.027680,A3_12,0.025
,,00110.027920,A3_11,0.027
,,00110.029040,A3_44,0.029
,,00110.029120,A3_13,0.017
,,00110.029360,A3_24,0.059
,,00110.029680,A3_14,0.028
,,00110.030000,A3_32,0.013
,,00110.030000,A3_43,0.034
,,00110.030240,A3_22,0.022
,,00110.030640,A3_12,0.013
,,00110.032000,A3_11,0.025
,,00110.032080,A3_13,0.028
,,00110.032160,A3_14,0.019
,,00110.032320,A3_43,0.052
,,00110.032480,A3_22,0.022
,,00110.032480,A3_24,0.033
,,00110.032640,A3_44,0.059
,,00110.033040,A3_12,0.025
,,00110.034160,A3_21,0.018
,,00110.034560,A3_14,0.02
,,00110.034800,A3_24,0.016
,,00110.035040,A3_44,0.032
,,00110.035200,A3_13,0.023
,,00110.035440,A3_43,0.049
,,00110.035600,A3_32,0.018
,,00110.036800,A3_41,0.01
,,00110.037280,A3_11,0.022
,,00110.037280,A3_12,0.012
,,00110.037280,A3_14,0.023
,,00110.037360,A3_24,0.031
,,00110.037840,A3_13,0.026
,,00110.037920,A3_44,0.04
,,00110.038000,A3_43,0.03
,,00110.038080,A3_32,0.017
,,00110.039280,A3_31,0.01
,,00110.039680,A3_24,0.054
,,00110.039760,A3_22,0.015
,,00110.040880,A3_13,0.023
,,00110.040880,A3_43,0.019
,,00110.041120,A3_44,0.025
,,00110.041200,A3_11,0.017
,,00110.041760,A3_21,0.031
,,00110.042160,A3_24,0.026
,,00110.042880,A3_32,0.014
,,00110.043600,A3_13,0.026
,,00110.043680,A3_12,0.02
,,00110.043680,A3_43,0.015
,,00110.043760,A3_44,0.029
,,00110.044080,A3_22,0.02
,,00110.044640,A3_21,0.015
,,00110.045120,A3_24,0.019
,,00110.046000,A3_44,0.027
,,00110.046080,A3_12,0.015
,,00110.046080,A3_43,0.052
,,00110.048240,A3_32,0.021
,,00110.048480,A3_11,0.017
,,00110.048800,A3_24,0.02
,,00110.049760,A3_43,0.022
,,00110.049920,A3_12,0.013
,,00110.050560,A3_21,0.019
,,00110.051360,A3_14,0.018
,,00110.052160,A3_31,0.012
,,00110.052320,A3_13,0.03
,,00110.053200,A3_43,0.027
,,00110.054400,A3_24,0.021
,,00110.055040,A3_22,0.012
,,00110.056640,A3_14,0.019
,,00110.057440,A3_44,0.017
,,00110.057760,A3_43,0.023
,,00110.057920,A3_13,0.018
,,00110.058000,A3_11,0.014
,,00110.059200,A3_14,0.02
,,00110.060800,A3_13,0.021
,,00110.060800,A3_34,0.017
,,00110.060880,A3_24,0.025
,,00110.061040,A3_44,0.025
,,00110.062480,A3_14,0.036
,,00110.063040,A3_34,0.024
,,00110.063360,A3_24,0.053
,,00110.063360,A3_44,0.11
,,00110.063840,A3_43,0.062
,,00110.064160,A3_13,0.04
,,00110.064880,A3_14,0.047
,,00110.065680,A3_22,0.013
,,00110.065760,A3_24,0.055
,,00110.066080,A3_44,0.044
,,00110.066240,A3_34,0.018
,,00110.066240,A3_43,0.076
,,00110.066400,A3_12,0.02
,,00110.066640,A3_32,0.018
,,00110.068000,A3_13,0.038
,,00110.068240,A3_22,0.035
,,00110.068400,A3_24,0.028
,,00110.068560,A3_34,0.017
,,00110.068560,A3_44,0.072
,,00110.068960,A3_43,0.037
,,00110.069040,A3_32,0.019
,,00110.069200,A3_23,0.014
,,00110.069360,A3_14,0.017
,,00110.069600,A3_11,0.012
,,00110.069600,A3_12,0.053
,,00110.070560,A3_13,0.029
,,00110.070560,A3_22,0.033
,,00110.070800,A3_24,0.072
,,00110.070880,A3_21,0.027
,,00110.071280,A3_43,0.051
,,00110.071440,A3_44,0.049
,,00110.072000,A3_31,0.014
,,00110.072160,A3_11,0.023
,,00110.072480,A3_14,0.029
,,00110.072560,A3_12,0.061
,,00110.072880,A3_13,0.031
,,00110.072960,A3_22,0.03
,,00110.073360,A3_24,0.031
,,00110.073520,A3_32,0.016
,,00110.073760,A3_44,0.028
,,00110.073840,A3_21,0.009
,,00110.074320,A3_43,0.034
,,00110.074480,A3_31,0.017
,,00110.074720,A3_14,0.018
,,00110.074880,A3_12,0.016
,,00110.075120,A3_13,0.021
,,00110.075440,A3_22,0.023
,,00110.075520,A3_11,0.016
,,00110.076000,A3_24,0.024
,,00110.076160,A3_21,0.015
,,00110.076240,A3_44,0.033
,,00110.076480,A3_32,0.015
,,00110.076720,A3_43,0.029
,,00110.077120,A3_31,0.018
,,00110.077360,A3_14,0.015
,,00110.077600,A3_13,0.025
,,00110.077840,A3_22,0.02
,,00110.078160,A3_11,0.019
,,00110.078320,A3_12,0.067
,,00110.078880,A3_24,0.025
,,00110.078880,A3_44,0.021
,,00110.078960,A3_21,0.016
,,00110.079360,A3_43,0.017
,,00110.080000,A3_13,0.022
,,00110.080080,A3_14,0.013
,,00110.080960,C2_11,0.122
,,00110.081120,A3_24,0.017
,,00110.081520,A3_21,0.009
,,00110.081760,A3_11,0.013
,,00110.081840,A3_43,0.024
,,00110.081920,A3_12,0.015
,,00110.083200,C2_11,0.009
,,00110.084240,A3_43,0.017
,,00110.084480,A3_24,0.018
,,00110.088240,A3_43,0.016
,,00110.089200,D1_21,0.333
,,00110.089200,D1_31,0.049
,,00110.090560,B6_43,0.022
,,00110.091440,D1_21,0.022
,,00110.091600,A3_22,0.01
,,00110.092240,A3_44,0.015
,,00110.092720,D1_24,0.017
,,00110.092800,A3_43,0.011
,,00110.093600,A3_32,0.012
,,00110.094880,A3_13,0.019
,,00110.095200,D1_21,0.011
,,00110.095840,B6_33,0.03
,,00110.165040,B6_44,0.026
,,00110.209440,B6_44,0.078
,,00110.211680,B6_44,0.01
,,00110.215600,B6_44,0.034
,,00110.221280,B6_44,0.024
,,00110.238240,A2_13,0.022
,,00110.244960,B1_33,0.024
,,00110.253920,B2_41,0.009
,,00110.276480,D3_32,0.012
,,00110.297120,B6_14,0.383
,,00110.299360,B6_14,0.092
,,00110.303920,B6_14,0.029
,,00110.346320,B6_33,0.016
,,00110.354080,B6_33,0.109
,,00110.359680,B6_33,0.028
,,00110.360480,B6_14,0.026
,,00110.492960,C2_11,0.128
,,00110.504480,B6_14,0.033
,,00110.510640,B6_43,0.024
,,00110.514960,B6_33,0.029
,,00110.516320,B6_14,0.033
,,00110.519040,B6_33,0.022
,,00110.576560,D4_14,0.022
,,00110.623520,B6_14,0.369
,,00110.625920,B6_14,0.091
,,00110.633360,B6_14,0.033
,,00110.667840,B6_43,0.022
,,00110.671600,B6_33,0.029
,,00110.704800,B6_33,0.022
,,00110.710800,B6_44,0.074
,,00110.713600,B6_44,0.015
,,00110.715840,B6_44,0.022
,,00110.719200,B6_44,0.018
,,00110.783040,B6_14,0.03
,,00110.827360,B1_33,0.02
,,00110.865520,B6_14,0.097
,,00110.874560,C2_11,0.126
,,00110.879920,B6_33,0.034
,,00110.882720,B6_34,0.187
,,00110.885040,B6_34,0.3
,,00110.885680,B6_33,0.032
,,00110.888640,B6_34,0.226
,,00110.892160,B6_34,0.016
,,00110.907360,B6_33,0.104
,,00110.946400,B6_33,0.017
,,00110.978800,B6_14,0.032
,,00111.023280,A2_13,0.023
,,00111.025280,A2_12,0.012
,,00111.026720,A2_11,0.03
,,00111.028880,B6_44,0.026
,,00111.053680,B6_43,0.027
,,00111.058160,B6_33,0.029
,,00111.079360,B6_14,0.365
,,00111.081680,B6_14,0.076
,,00111.084080,B6_14,0.043
,,00111.101200,B6_44,0.04
,,00111.129840,B1_33,0.017
,,00111.148880,B4_34,0.021
,,00111.150480,B4_43,0.042
,,00111.150880,B4_44,0.017
,,00111.151680,B4_34,0.075
,,00111.151760,B4_33,0.032
,,00111.151840,B4_24,0.019
,,00111.152000,B4_21,0.013
,,00111.152800,B4_43,0.026
,,00111.153200,B4_44,0.017
,,00111.154000,B4_33,0.037
,,00111.154240,B4_24,0.099
,,00111.154800,B4_34,0.021
,,00111.154880,B4_42,0.036
,,00111.156320,B4_33,0.048
,,00111.156640,B4_24,0.043
,,00111.156880,B4_43,0.06
,,00111.157040,B4_44,0.011
,,00111.159280,B4_33,0.018
,,00111.159280,B4_43,0.218
,,00111.162160,B4_43,0.071
,,00111.163120,B4_42,0.022
,,00111.164800,B4_43,0.014
,,00111.165840,B4_42,0.013
,,00111.169440,B4_43,0.054
,,00111.174720,B6_44,0.078
,,00111.175840,B6_33,0.027
,,00111.175920,B4_43,0.029
,,00111.177120,B6_44,0.011
,,00111.181840,B6_44,0.033
,,00111.194320,B6_44,0.042
,,00111.198480,B6_44,0.029
,,00111.201840,B6_14,0.027
,,00111.258960,D3_32,0.018
,,00111.282640,B6_14,0.369
,,00111.284880,B6_14,0.105
,,00111.287920,B6_14,0.034
,,00111.288400,C2_11,0.128
,,00111.330400,D1_21,0.359
,,00111.330480,D1_31,0.048
,,00111.332800,D1_21,0.014
,,00111.345200,B6_33,0.033
,,00111.347040,B6_43,0.023
,,00111.347680,B6_33,0.048
,,00111.347920,B6_34,0.481
,,00111.350800,B6_33,0.013
,,00111.351120,B6_34,0.034
,,00111.354160,C1_44,0.027
,,00111.356160,B6_14,0.032
,,00111.356160,B6_33,0.017
,,00111.360800,C1_44,0.039
,,00111.364320,B6_14,0.028
,,00111.370560,C1_44,0.02
,,00111.373120,C1_44,0.016
,,00111.383600,C1_44,0.033
,,00111.386400,C1_44,0.031
,,00111.399200,C1_44,0.025
,,00111.402960,C1_44,0.02
,,00111.448000,C1_44,0.043
,,00111.489360,B6_44,0.025
,,00111.495680,B6_44,0.026
,,00111.541680,B6_14,0.1
,,00111.544960,B6_14,0.016
,,00111.548560,B6_14,0.038
,,00111.555760,D3_32,0.025
,,00111.555920,D3_21,0.025
,,00111.558240,D3_21,0.035
,,00111.559440,D3_23,0.014
,,00111.561120,D3_21,0.007
,,00111.565120,C3_24,0.013
,,00111.566160,B6_33,0.031
,,00111.567840,C1_44,0.04
,,00111.584000,B6_33,0.098
,,00111.632560,A2_13,0.019
,,00111.632880,A2_11,0.031
,,00111.636720,A2_13,0.01
,,00111.640560,B6_14,0.028
,,00111.655360,D1_33,0.049
,,00111.657680,D1_33,0.043
,,00111.657920,D1_42,0.224
,,00111.658000,D1_34,0.036
,,00111.658160,D1_24,0.244
,,00111.658240,D1_22,0.01
,,00111.660560,C2_11,0.126
,,00111.660640,D1_24,0.175
,,00111.661040,D1_34,0.019
,,00111.661440,D1_42,0.018
,,00111.661600,D1_33,0.009
,,00111.663920,D1_24,0.054
,,00111.664080,D1_42,0.066
,,00111.666320,D1_24,0.024
,,00111.700080,A2_42,0.011
,,00111.700400,A2_32,0.018
,,00111.708000,A2_21,0.034
,,00111.742240,B6_14,0.368
,,00111.744560,B6_14,0.08
,,00111.746800,B6_14,0.045
,,00111.778560,C2_14,0.036
,,00111.787840,B6_33,0.099
,,00111.789600,B6_43,0.022
,,00111.790560,B6_34,0.051
,,00111.792160,B6_33,0.022
,,00111.793040,B6_34,0.314
,,00111.796480,B6_34,0.017
,,00111.824400,D4_14,0.023
,,00111.877040,B6_44,0.023
,,00111.901120,B6_44,0.027
,,00111.902320,B6_14,0.033
,,00111.925280,B6_14,0.026
,,00111.955040,B6_14,0.031
,,00111.996080,B6_14,0.035
,,00112.024160,B6_33,0.027
,,00112.042160,C2_11,0.125
,,00112.044400,C2_11,0.011
,,00112.055120,B6_14,0.029
,,00112.097360,B6_33,0.034
,,00112.101360,B6_34,0.196
,,00112.102480,B6_33,0.013
,,00112.103680,B6_34,0.036
,,00112.104880,B6_23,0.083
,,00112.106000,B6_34,0.016
,,00112.110080,B6_33,0.035
,,00112.115280,B6_33,0.028
,,00112.119440,B6_34,0.31
,,00112.120880,B6_14,0.37
,,00112.121360,B6_33,0.016
,,00112.122080,B6_34,0.02
,,00112.123200,B6_14,0.086
,,00112.125520,B6_14,0.043
,,00112.126960,B6_34,0.021
,,00112.140160,B6_33,0.025
,,00112.142720,B6_33,0.031
,,00112.143040,B6_34,0.013
,,00112.144560,D1_31,0.045
,,00112.144640,D1_21,0.348
,,00112.145280,B6_34,0.052
,,00112.146960,D1_21,0.009
,,00112.147600,B6_34,0.011
,,00112.163760,B6_43,0.022
,,00112.170320,B6_33,0.078
,,00112.175280,B6_44,0.036
,,00112.223920,B1_33,0.02
,,00112.232560,B1_33,0.018
,,00112.244960,B1_13,0.011
,,00112.245440,B1_33,0.02
,,00112.271520,B6_14,0.034
,,00112.283280,B3_43,0.016
,,00112.305440,B5_13,0.027
,,00112.310480,B6_14,0.096
,,00112.311360,A2_11,0.034
,,00112.313280,B6_14,0.017
,,00112.342560,B6_43,0.022
,,00112.344000,B3_42,0.022
,,00112.347280,B6_33,0.027
,,00112.354240,B6_33,0.022
,,00112.375040,D4_14,0.024
,,00112.383840,B6_44,0.023
,,00112.416240,B6_44,0.026
,,00112.443520,C2_11,0.13
,,00112.460240,B6_14,0.032
,,00112.504560,D3_21,0.017
,,00112.562240,D1_33,0.049
,,00112.564720,D1_33,0.051
,,00112.564800,D1_34,0.035
,,00112.564880,D1_42,0.216
,,00112.565120,D1_22,0.012
,,00112.565200,D1_24,0.279
,,00112.565280,B6_14,0.386
,,00112.567760,B6_14,0.025
,,00112.568320,D1_42,0.025
,,00112.568560,D1_33,0.012
,,00112.568640,D1_24,0.071
,,00112.571680,D1_42,0.01
,,00112.571760,D1_24,0.022
,,00112.592480,B6_33,0.029
,,00112.596400,B6_14,0.018
,,00112.596480,B3_14,0.022
,,00112.604080,B6_14,0.031
,,00112.626960,A2_11,0.031
,,00112.628080,B1_33,0.022
,,00112.654000,A2_11,0.041
,,00112.659920,A2_11,0.012
,,00112.660080,A2_34,0.012
,,00112.669840,B6_14,0.032
,,00112.671680,A2_33,0.024
,,00112.673200,A2_21,0.043
,,00112.673600,B6_33,0.114
,,00112.674880,B6_14,0.029
,,00112.676400,B6_34,0.021
,,00112.676880,B6_33,0.016
,,00112.680080,B6_34,0.29
,,00112.683200,B6_34,0.013
,,00112.717600,B6_33,0.02
,,00112.733200,D3_32,0.018
,,00112.736880,D3_32,0.011
,,00112.751520,D4_14,0.021
,,00112.801280,B6_43,0.029
,,00112.802400,B6_14,0.369
,,00112.804640,B6_14,0.111
,,00112.805920,B6_43,0.026
,,00112.810480,B6_14,0.036
,,00112.811520,B6_33,0.032
,,00112.815760,B6_33,0.113
,,00112.819120,C2_11,0.129
,,00112.849120,B6_44,0.023
,,00112.853840,B6_44,0.022
,,00112.918320,B6_14,0.031
,,00112.971040,A6_22,0.031
,,00112.973040,A6_21,0.038
,,00112.973280,A6_12,0.029
,,00112.973600,A6_11,0.039
,,00112.974640,A6_22,0.175
,,00112.975680,A6_21,0.208
,,00112.977280,A6_12,0.028
,,00112.978000,A6_22,0.032
,,00112.978320,A6_11,0.032
,,00112.978560,A6_42,0.016
,,00112.979440,A6_21,0.141
,,00112.980640,A6_11,0.017
,,00112.980880,A6_12,0.013
,,00112.981280,A6_22,0.167
,,00112.981280,A6_31,0.021
,,00112.983280,A6_32,0.02
,,00112.983440,A6_21,0.209
,,00112.983600,A6_11,0.01
,,00112.983840,A6_22,0.064
,,00112.984800,A6_31,0.035
,,00112.985760,A6_21,0.172
,,00112.986560,A6_32,0.016
,,00112.987040,A6_12,0.029
,,00112.987520,A6_11,0.053
,,00112.987520,A6_22,0.164
,,00112.987760,A6_31,0.031
,,00112.988480,A6_21,0.278
,,00112.989520,A6_32,0.027
,,00112.989840,A6_11,0.047
,,00112.989920,A6_12,0.033
,,00112.990640,A6_31,0.026
,,00112.990800,A6_42,0.035
,,00112.991280,A6_22,0.19
,,00112.991440,A6_21,0.134
,,00112.992880,A6_11,0.054
,,00112.993200,A6_43,0.038
,,00112.993280,A6_12,0.063
,,00112.993360,A6_32,0.017
,,00112.993440,B1_33,0.046
,,00112.993600,A6_42,0.048
,,00112.993840,A6_21,0.364
,,00112.993840,A6_31,0.023
,,00112.993840,A6_44,0.013
,,00112.994400,A6_22,0.249
,,00112.995520,A6_11,0.047
,,00112.995840,A6_42,0.031
,,00112.995920,A6_43,0.021
,,00112.996160,A6_12,0.035
,,00112.996320,A6_31,0.015
,,00112.996960,A6_32,0.023
,,00112.997680,A6_21,0.169
,,00112.997840,A6_11,0.099
,,00112.998240,A6_22,0.104
,,00112.998800,A6_12,0.044
,,00112.999040,A6_31,0.02
,,00112.999280,A6_32,0.013
,,00112.999520,A6_42,0.029
,,00113.000240,A6_11,0.064
,,00113.000240,A6_21,0.12
,,00113.001120,A6_12,0.023
,,00113.001440,A6_31,0.026
,,00113.001760,A6_32,0.019
,,00113.002080,A6_22,0.224
,,00113.002320,A6_44,0.018
,,00113.002480,A6_21,0.071
