AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_8DIV_11-04-2023(000)(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,215.000000,512.000000,104.000000,23.000000,1.000000,1004.000000,95.000000,0.000000,727.000000,361.000000,6.000000,1145.000000,132.000000,330.000000,102.000000,24.000000,181.000000,0.000000,994.000000,0.000000,247.000000,391.000000,6.000000,0.000000
    Mean Firing Rate (Hz),0.111979,0.266667,0.054167,0.011979,0.000521,0.522917,0.049479,0.000000,0.378646,0.188021,0.003125,0.596354,0.068750,0.171875,0.053125,0.012500,0.094271,0.000000,0.517708,0.000000,0.128646,0.203646,0.003125,0.000000
    ISI Coefficient of Variation - Avg,2.412209,1.682627,2.658512,3.466840, ,2.597316,1.901791, ,1.874237,1.362669, ,1.194607,2.167252,2.240620,1.489915,1.416652,0.537133, ,1.117809, ,1.608997,0.537448, , 
    Number of Active Electrodes,3.000000,6.000000,3.000000,1.000000,0.000000,3.000000,2.000000,0.000000,5.000000,3.000000,0.000000,6.000000,1.000000,3.000000,1.000000,1.000000,1.000000,0.000000,6.000000,0.000000,2.000000,2.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.588889,0.700000,0.250000,0.191667, ,2.783333,0.395833, ,1.198333,0.975000, ,1.579167,1.075000,0.913889,0.841667,0.125000,1.475000, ,1.375000, ,1.025000,1.616667, , 
Electrode Burst Metrics
    Number of Bursts,8.000000,24.000000,4.000000,3.000000,0.000000,54.000000,3.000000,0.000000,26.000000,7.000000,0.000000,39.000000,3.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,2.000000,3.000000,3.000000,1.000000,0.000000,3.000000,2.000000,0.000000,5.000000,1.000000,0.000000,3.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.158664,0.063669,0.217640,0.178933, ,0.219685,0.305900, ,0.113257,0.154709, ,0.128659,1.247120,0.192667,0.250347, , , , , ,0.072400, , , 
    Burst Duration - Std (sec),0.066264,0.012789,0.120266, , ,0.077967,0.109432, ,0.019421, , ,0.068426, ,0.148202, , , , , , , , , , 
    Number of Spikes per Burst - Avg,22.166667,6.060897,16.333333,7.666667, ,16.311111,9.750000, ,9.779524,8.714286, ,6.688889,29.333333,9.666667,9.000000, , , , , ,7.000000, , , 
    Number of Spikes per Burst - Std,21.448906,0.222681,9.291573, , ,8.506294,0.353553, ,2.136324, , ,1.700109, ,7.234178, , , , , , , , , , 
    Mean ISI within Burst - Avg (sec),0.012668,0.012581,0.014137,0.026749, ,0.017393,0.035764, ,0.014318,0.021702, ,0.022737,0.044140,0.022882,0.032348, , , , , ,0.012067, , , 
    Mean ISI within Burst - Std (sec),0.009709,0.002914,0.002604, , ,0.004439,0.009649, ,0.003233, , ,0.008797, ,0.005776, , , , , , , , , , 
    Median ISI within Burst - Avg (sec),0.010833,0.008821,0.010413,0.021507, ,0.011725,0.034030, ,0.010200,0.016549, ,0.014800,0.040960,0.010378,0.038107, , , , , ,0.012800, , , 
    Median ISI within Burst - Std (sec),0.009117,0.004872,0.006219, , ,0.005284,0.020322, ,0.003022, , ,0.008942, ,0.002482, , , , , , , , , , 
    Median/Mean ISI within Burst - Avg,0.818030,0.688362,0.712052,0.820079, ,0.630726,0.901067, ,0.729148,0.702718, ,0.618944,0.926856,0.506228,1.087383, , , , , ,1.060773, , , 
    Median/Mean ISI within Burst - Std,0.082701,0.220352,0.281479, , ,0.167922,0.332960, ,0.106598, , ,0.203845, ,0.179893, , , , , , , , , , 
    Inter-Burst Interval - Avg (sec),31.676180,17.191519,2.688720,43.369120, ,5.398458,0.280480, ,13.033732,17.330800, ,33.342333,39.569800,53.642640,3.616640, , , , , , , , , 
    Inter-Burst Interval - Std (sec),3.315850,10.110494,0.000000,0.000000, ,3.394119,0.000000, ,12.906223,0.000000, ,43.561683,0.000000,0.000000,0.000000, , , , , , , , , 
    Burst Frequency - Avg (Hz),0.033333,0.066667,0.011111,0.025000, ,0.150000,0.012500, ,0.043333,0.058333, ,0.108333,0.025000,0.013889,0.025000, , , , , ,0.008333, , , 
    Burst Frequency - Std (Hz),0.011785,0.041667,0.004811, , ,0.155680,0.005893, ,0.027259, , ,0.106393, ,0.009623, , , , , , , , , , 
    IBI Coefficient of Variation - Avg,0.695514,0.859088, ,0.541660, ,0.903615, , ,0.928636,0.985833, ,1.033715,0.026889,0.884446,1.263276, , , , , , , , , 
    IBI Coefficient of Variation - Std,0.535338,0.036282, ,0.000000, ,0.071136, , ,0.322046,0.000000, ,0.266089,0.000000,0.000000,0.000000, , , , , , , , , 
    Burst Percentage - Avg,26.971129,13.964658,49.485714,100.000000,0.000000,46.600161,29.991087, ,25.537992,5.000000,0.000000,9.598792,34.108527,32.117212,13.366337,0.000000,0.000000, ,0.000000, ,7.526882,0.000000,0.000000, 
    Burst Percentage - Std,39.742498,23.491780,45.347817, , ,33.514702,10.272585, ,21.917837,11.180340,0.000000,15.013624,48.236742,40.287777,18.902855,0.000000,0.000000, ,0.000000, ,13.036942,0.000000,0.000000, 
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , ,0.008333, , , , , , , , , , , , , , , 
    Network Burst Duration - Avg (sec), , , , , , , , ,0.416400, , , , , , , , , , , , , , , 
