AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_13DIV_16-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,1397.000000,8728.000000,3481.000000,292.000000,151.000000,5143.000000,608.000000,28.000000,1423.000000,1500.000000,217.000000,2836.000000,880.000000,1229.000000,526.000000,49.000000,695.000000,30.000000,2094.000000,0.000000,410.000000,990.000000,32.000000,96.000000
    Mean Firing Rate (Hz),0.727604,4.545833,1.813021,0.152083,0.078646,2.678646,0.316667,0.014583,0.741146,0.781250,0.113021,1.477083,0.458333,0.640104,0.273958,0.025521,0.361979,0.015625,1.090625,0.000000,0.213542,0.515625,0.016667,0.050000
    ISI Coefficient of Variation - Avg,2.326626,3.019347,3.489396,3.245241,2.385706,2.615298,1.647700,3.707304,2.081756,1.808447,1.522731,1.300540,1.742523,3.146522,2.420253,1.662891,2.886913,0.937615,1.821314, ,2.314018,4.375189,4.241233,1.745741
    Number of Active Electrodes,9.000000,12.000000,13.000000,4.000000,3.000000,8.000000,2.000000,1.000000,10.000000,8.000000,6.000000,9.000000,5.000000,4.000000,3.000000,2.000000,4.000000,1.000000,9.000000,0.000000,7.000000,6.000000,1.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.282407,6.061111,2.229487,0.597917,0.405556,5.356250,2.495833,0.125000,1.179167,1.534375,0.301389,2.617593,1.425000,2.560417,1.452778,0.200000,1.441667,0.241667,1.937963, ,0.479762,1.366667,0.266667,0.800000
Electrode Burst Metrics
    Number of Bursts,55.000000,409.000000,132.000000,13.000000,12.000000,265.000000,20.000000,2.000000,141.000000,107.000000,8.000000,129.000000,35.000000,83.000000,11.000000,4.000000,43.000000,0.000000,31.000000,0.000000,15.000000,73.000000,3.000000,4.000000
    Number of Bursting Electrodes,6.000000,11.000000,12.000000,3.000000,3.000000,8.000000,2.000000,1.000000,8.000000,8.000000,3.000000,6.000000,4.000000,4.000000,2.000000,2.000000,4.000000,0.000000,8.000000,0.000000,6.000000,6.000000,1.000000,1.000000
    Burst Duration - Avg (sec),0.092111,0.123587,0.107304,0.164810,0.065275,0.093103,0.053739,0.069040,0.028375,0.045756,0.059502,0.085487,0.077211,0.084884,0.112353,0.167227,0.069039, ,0.121443, ,0.101565,0.086023,0.200987,0.268020
    Burst Duration - Std (sec),0.034663,0.040858,0.048281,0.001034,0.038022,0.058059,0.015602, ,0.008325,0.015430,0.021974,0.038582,0.027723,0.015404,0.019526,0.098052,0.012622, ,0.030325, ,0.074073,0.042429, , 
    Number of Spikes per Burst - Avg,15.980556,15.853468,17.675595,13.321429,5.769841,11.365312,8.107143,7.500000,7.060076,7.615038,8.611111,6.604681,14.163194,13.103918,11.750000,11.333333,9.822671, ,15.732955, ,6.338889,9.688091,10.666667,9.000000
    Number of Spikes per Burst - Std,10.937197,4.803162,10.805590,11.711836,0.333617,5.698253,0.151523, ,1.408769,1.938857,5.411750,0.987859,6.181106,2.793683,6.717514,3.771236,2.850721, ,9.698242, ,1.539180,4.506662, , 
    Mean ISI within Burst - Avg (sec),0.008147,0.010964,0.008837,0.023257,0.013702,0.009461,0.008196,0.010166,0.004713,0.007181,0.010352,0.015736,0.007162,0.006973,0.013409,0.015956,0.009865, ,0.012047, ,0.020760,0.010145,0.021271,0.038264
    Mean ISI within Burst - Std (sec),0.003040,0.003856,0.006230,0.017507,0.007766,0.002794,0.002955, ,0.000613,0.002560,0.003998,0.007308,0.003327,0.001753,0.010860,0.003169,0.003581, ,0.007962, ,0.020097,0.003534, , 
    Median ISI within Burst - Avg (sec),0.006334,0.007528,0.005160,0.015120,0.005782,0.006188,0.004171,0.004980,0.003603,0.004572,0.008833,0.010642,0.005736,0.004466,0.003636,0.006300,0.006773, ,0.007855, ,0.017710,0.005881,0.018680,0.036280
    Median ISI within Burst - Std (sec),0.003873,0.003673,0.002694,0.014844,0.001953,0.001506,0.001572, ,0.000689,0.001261,0.004381,0.007532,0.002604,0.001071,0.000119,0.001047,0.002490, ,0.007587, ,0.020650,0.003232, , 
    Median/Mean ISI within Burst - Avg,0.759449,0.678758,0.675080,0.600572,0.531558,0.692940,0.636923,0.507112,0.811393,0.715010,0.839109,0.634055,0.818843,0.690924,0.458179,0.427896,0.737607, ,0.641591, ,0.834282,0.685213,0.860019,0.887795
    Median/Mean ISI within Burst - Std,0.163917,0.089111,0.159310,0.147557,0.196074,0.111995,0.056066, ,0.077982,0.073651,0.154921,0.099530,0.167525,0.066144,0.387795,0.058007,0.035183, ,0.112868, ,0.246903,0.093118, , 
    Inter-Burst Interval - Avg (sec),30.285571,5.490270,12.035697,36.320569,18.049298,9.891826,12.623495,16.153600,8.018153,12.572663,13.865136,9.717371,23.941341,6.374824,21.424888,14.381320,13.023360, ,39.038760, ,19.538967,15.232040,8.992680,38.277573
    Inter-Burst Interval - Std (sec),37.707934,3.626283,8.436435,32.016892,9.594857,6.153288,7.312493,0.000000,4.347571,9.465551,0.000000,7.533559,27.378622,2.914409,1.445315,0.000000,7.311363, ,19.054273, ,11.219450,15.702873,0.000000,0.000000
    Burst Frequency - Avg (Hz),0.076389,0.309848,0.091667,0.036111,0.033333,0.276042,0.083333,0.016667,0.146875,0.111458,0.022222,0.179167,0.072917,0.172917,0.045833,0.016667,0.089583, ,0.032292, ,0.020833,0.101389,0.025000,0.033333
    Burst Frequency - Std (Hz),0.045770,0.237955,0.043228,0.020972,0.022048,0.380930,0.047140, ,0.058408,0.158549,0.024056,0.157299,0.047811,0.070177,0.005893,0.011785,0.068845, ,0.025757, ,0.014672,0.050667, , 
    IBI Coefficient of Variation - Avg,1.050676,0.791328,0.734479,0.724308,1.152446,0.545851,0.558532, ,0.569988,0.530884,0.507628,0.980544,0.547560,0.784824,0.975844,1.388347,0.960662, ,0.802748, ,1.057323,1.827735,0.717238,0.366223
    IBI Coefficient of Variation - Std,0.173138,0.126750,0.155277,0.379634,0.132909,0.198002,0.205075, ,0.275566,0.169246,0.000000,0.136632,0.157826,0.250471,0.355450,0.000000,0.393211, ,0.147293, ,0.274839,0.641839,0.000000,0.000000
    Burst Percentage - Avg,29.777958,74.143020,58.833386,34.406966,33.890625,68.054616,11.134803,33.333333,52.248064,30.710406,24.083578,16.300483,21.401629,83.346876,26.965323,58.823529,56.148716,0.000000,32.778273, ,21.078688,56.185554,100.000000,37.500000
    Burst Percentage - Std,36.152620,23.939566,34.525399,44.983760,27.431751,28.982020,18.338001,57.735027,35.873054,29.504840,29.937735,18.636735,31.055038,6.050621,47.005652,52.283497,32.876509,0.000000,30.262044, ,23.071285,39.611470, , 
Network Burst Metrics
    Number of Network Bursts,7.000000,37.000000,10.000000,0.000000,0.000000,13.000000,0.000000,0.000000,11.000000,5.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,6.000000,0.000000,0.000000
    Network Burst Frequency,0.058333,0.308333,0.083333, , ,0.108333, , ,0.091667,0.041667, ,0.016667,0.008333, , , , , ,0.016667, , ,0.050000, , 
    Network Burst Duration - Avg (sec),0.207029,0.630026,0.372784, , ,0.376215, , ,0.069280,0.138352, ,0.254800,0.238240, , , , , ,0.399880, , ,0.426813, , 
    Network Burst Duration - Std (sec),0.078950,0.568186,0.227791, , ,0.227527, , ,0.049884,0.050167, ,0.206588, , , , , , ,0.051421, , ,0.195294, , 
    Number of Spikes per Network Burst - Avg,122.857143,184.432432,293.900000, , ,134.692308, , ,64.545455,77.000000, ,53.000000,59.000000, , , , , ,163.000000, , ,109.500000, , 
    Number of Spikes per Network Burst - Std,21.590342,144.562662,124.285022, , ,40.450349, , ,9.201778,37.953919, ,0.000000, , , , , , ,15.556349, , ,51.589728, , 
    Mean ISI within Network Burst - Avg (sec),0.001669,0.005088,0.001265, , ,0.002673, , ,0.001140,0.001947, ,0.004900,0.004108, , , , , ,0.002495, , ,0.003924, , 
    Mean ISI within Network Burst - Std (sec),0.000394,0.005184,0.000378, , ,0.000945, , ,0.000907,0.000730, ,0.003973, , , , , , ,0.000557, , ,0.001007, , 
    Median ISI within Network Burst - Avg (sec),0.000834,0.002305,0.000400, , ,0.000926, , ,0.000465,0.000912, ,0.002340,0.002320, , , , , ,0.000960, , ,0.001467, , 
    Median ISI within Network Burst - Std (sec),0.000152,0.003059,0.000053, , ,0.000300, , ,0.000138,0.000166, ,0.002121, , , , , , ,0.000226, , ,0.000364, , 
    Median/Mean ISI within Network Burst - Avg,0.529301,0.382209,0.337334, , ,0.365139, , ,0.523343,0.517785, ,0.449935,0.564809, , , , , ,0.384199, , ,0.375888, , 
    Median/Mean ISI within Network Burst - Std,0.166235,0.158636,0.095152, , ,0.106589, , ,0.183147,0.179184, ,0.068121, , , , , , ,0.004918, , ,0.039002, , 
    Number of Elecs Participating in Burst - Avg,8.857143,9.486486,13.100000, , ,7.769231, , ,10.090909,8.800000, ,8.000000,7.000000, , , , , ,9.000000, , ,6.500000, , 
    Number of Elecs Participating in Burst - Std,1.069045,2.008615,0.567646, , ,0.725011, , ,1.044466,1.303840, ,2.828427, , , , , , ,0.000000, , ,0.547723, , 
    Number of Spikes per Network Burst per Channel - Avg,13.851190,17.861870,22.336996, , ,17.222222, , ,6.391185,8.490404, ,7.066667,8.428571, , , , , ,18.111111, , ,16.678571, , 
    Number of Spikes per Network Burst per Channel - Std,1.407644,11.228647,8.917549, , ,5.015699, , ,0.534230,2.750069, ,2.498444, , , , , , ,1.728483, , ,7.121233, , 
    Network Burst Percentage,61.560487,78.185151,84.429762, , ,34.046276, , ,49.894589,25.666667, ,3.737659,6.704545, , , , , ,15.568290, , ,66.363636, , 
    Network IBI Coefficient of Variation,0.924742,0.556605,0.407947, , ,0.287528, , ,0.737039,0.458755, , , , , , , , , , , ,1.544845, , 
    Network Normalized Duration IQR,0.496967,1.960898,1.073694, , ,1.351551, , ,0.421297,0.313440, , , , , , , , , , , ,0.534200, , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.183422,0.364647,0.468769,0.024305,0.049613,0.148315,0.045254,0.000000,0.458019,0.283664,0.065673,0.110430,0.116131,0.118409,0.028154,0.021558,0.119132,-0.000000,0.144475,0.000000,0.085816,0.151931,0.000000,0.000000
    Area Under Cross-Correlation,0.939167,12.999931,6.346944,0.027778,0.011736,2.328542,0.040764,0.000000,1.672569,0.817986,0.036875,0.455347,0.270417,0.393958,0.020278,0.001944,0.169444,0.000000,0.522986,0.000000,0.043403,0.397569,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation,16.000000,26.000000,21.000000,37.000000,7.000000,13.000000,5.000000, ,12.000000,12.000000,7.000000,3.000000,5.000000,20.000000,3.000000,9.000000,11.000000,1.000000,8.000000, ,5.000000,15.000000, , 
    Full Width at Half Height of Cross-Correlation,88.000000,101.000000,71.000000,78.000000,10.000000,68.000000,13.000000, ,27.000000,25.000000,36.000000,12.000000,40.000000,54.000000,5.000000,9.000000,47.000000,1.000000,14.000000, ,13.000000,35.000000, , 
    Synchrony Index,0.312279,0.723398,0.650287,0.135977,0.231742,0.531732,0.098344,0.000000,0.689377,0.270170,0.339582,0.190166,0.168519,0.527205,0.127344,0.316463,0.373312,0.000116,0.290921,0.000000,0.138031,0.336863,0.000000,0.000000
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,21.000000,34.000000,12.000000, , ,22.000000, , ,43.000000,34.000000, ,23.000000,33.000000, , , , , ,42.000000, , ,32.000000, , 
