AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_16DIV_19-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,2206.000000,5796.000000,2781.000000,241.000000,331.000000,4001.000000,764.000000,82.000000,2499.000000,2192.000000,1096.000000,3663.000000,1373.000000,944.000000,382.000000,206.000000,168.000000,6.000000,1248.000000,1.000000,624.000000,487.000000,157.000000,170.000000
    Mean Firing Rate (Hz),1.148958,3.018750,1.448438,0.125521,0.172396,2.083854,0.397917,0.042708,1.301563,1.141667,0.570833,1.907812,0.715104,0.491667,0.198958,0.107292,0.087500,0.003125,0.650000,0.000521,0.325000,0.253646,0.081771,0.088542
    ISI Coefficient of Variation - Avg,3.292457,2.452095,4.434042,3.298830,2.559157,2.827807,1.586547,1.866610,3.174036,1.839923,2.000734,1.535778,2.291076,2.275739,2.138773,4.808864,1.738123, ,1.789393, ,1.657659,2.943633,3.116566,4.854950
    Number of Active Electrodes,12.000000,11.000000,13.000000,3.000000,4.000000,8.000000,3.000000,2.000000,15.000000,12.000000,9.000000,9.000000,12.000000,6.000000,4.000000,3.000000,3.000000,0.000000,8.000000,0.000000,5.000000,6.000000,2.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.527083,4.389394,1.780128,0.613889,0.687500,4.163542,2.097222,0.341667,1.388333,1.518056,1.014815,3.378704,0.948611,1.311111,0.787500,0.566667,0.463889, ,1.300000, ,1.030000,0.666667,0.620833,1.416667
Electrode Burst Metrics
    Number of Bursts,75.000000,385.000000,125.000000,11.000000,29.000000,271.000000,57.000000,0.000000,144.000000,112.000000,69.000000,142.000000,51.000000,49.000000,28.000000,8.000000,6.000000,0.000000,27.000000,0.000000,22.000000,23.000000,19.000000,7.000000
    Number of Bursting Electrodes,12.000000,11.000000,13.000000,3.000000,4.000000,8.000000,2.000000,0.000000,14.000000,6.000000,6.000000,7.000000,9.000000,4.000000,4.000000,3.000000,3.000000,0.000000,5.000000,0.000000,5.000000,3.000000,2.000000,1.000000
    Burst Duration - Avg (sec),0.174309,0.069006,0.099169,0.190973,0.077126,0.080043,0.043680, ,0.067653,0.095881,0.065687,0.101090,0.134470,0.119890,0.076730,0.204204,0.068160, ,0.166960, ,0.043455,0.110211,0.170493,0.203909
    Burst Duration - Std (sec),0.125732,0.025140,0.023343,0.034819,0.029914,0.015527,0.010397, ,0.015954,0.023184,0.013555,0.023670,0.064920,0.058008,0.037664,0.054139,0.050068, ,0.114690, ,0.017938,0.015794,0.060762, 
