AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_14DIV_17-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,1585.000000,5618.000000,2648.000000,221.000000,133.000000,4080.000000,1476.000000,40.000000,5547.000000,1503.000000,612.000000,3925.000000,1028.000000,663.000000,477.000000,320.000000,283.000000,25.000000,2409.000000,0.000000,362.000000,713.000000,21.000000,115.000000
    Mean Firing Rate (Hz),0.825521,2.926042,1.379167,0.115104,0.069271,2.125000,0.768750,0.020833,2.889063,0.782813,0.318750,2.044271,0.535417,0.345313,0.248438,0.166667,0.147396,0.013021,1.254688,0.000000,0.188542,0.371354,0.010937,0.059896
    ISI Coefficient of Variation - Avg,2.617973,2.404332,3.608246,3.898839,1.751343,2.374270,2.119868,1.342068,4.304879,1.443020,2.048588,1.959465,2.267440,1.997871,2.682566,3.701437,1.789657,2.881142,2.208947, ,2.801456,3.311417,0.739200,1.838716
    Number of Active Electrodes,10.000000,12.000000,13.000000,2.000000,4.000000,8.000000,4.000000,2.000000,13.000000,10.000000,7.000000,9.000000,5.000000,4.000000,3.000000,4.000000,3.000000,1.000000,9.000000,0.000000,6.000000,6.000000,1.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.311667,3.900000,1.694872,0.850000,0.277083,4.250000,3.052083,0.166667,3.555769,1.245833,0.725000,3.629630,1.670000,1.350000,1.325000,0.664583,0.769444,0.208333,2.230556, ,0.497222,0.988889,0.175000,0.958333
Electrode Burst Metrics
    Number of Bursts,51.000000,305.000000,92.000000,7.000000,5.000000,241.000000,90.000000,0.000000,277.000000,82.000000,39.000000,181.000000,36.000000,29.000000,20.000000,17.000000,11.000000,1.000000,63.000000,0.000000,28.000000,30.000000,1.000000,3.000000
    Number of Bursting Electrodes,7.000000,11.000000,12.000000,1.000000,3.000000,7.000000,2.000000,0.000000,12.000000,5.000000,7.000000,7.000000,4.000000,4.000000,3.000000,3.000000,3.000000,1.000000,8.000000,0.000000,5.000000,4.000000,1.000000,1.000000
    Burst Duration - Avg (sec),0.154310,0.095487,0.108716,0.173566,0.080311,0.061238,0.054286, ,0.123338,0.067329,0.044145,0.113431,0.136950,0.132509,0.104851,0.158363,0.100688,0.341200,0.136209, ,0.068004,0.158833,0.173840,0.165307
    Burst Duration - Std (sec),0.078617,0.016638,0.051208, ,0.049273,0.037183,0.003074, ,0.025961,0.018462,0.008528,0.056070,0.056549,0.040900,0.013282,0.012301,0.031189, ,0.034632, ,0.053681,0.032769, , 
    Number of Spikes per Burst - Avg,20.205682,13.051137,20.227315,27.142857,6.000000,9.913387,14.297403, ,18.513397,8.393279,7.928571,11.368307,19.662199,11.934524,9.661111,13.708333,11.000000,17.000000,16.412202, ,7.783333,16.229167,21.000000,7.333333
    Number of Spikes per Burst - Std,13.998350,2.238390,12.848964, ,0.000000,4.045311,0.266313, ,8.022955,2.463024,4.134439,4.202114,10.248543,2.827600,3.141140,9.521631,1.833030, ,15.619533, ,2.093600,9.161457, , 
    Mean ISI within Burst - Avg (sec),0.010976,0.009958,0.007346,0.006631,0.015995,0.006907,0.003866, ,0.007358,0.009444,0.007610,0.010771,0.010141,0.012766,0.014233,0.020432,0.010069,0.021325,0.014677, ,0.009504,0.012852,0.008692,0.023558
    Mean ISI within Burst - Std (sec),0.006523,0.002151,0.003165, ,0.009808,0.001410,0.000492, ,0.006173,0.002719,0.003170,0.003340,0.004873,0.001119,0.006268,0.019484,0.003572, ,0.006551, ,0.005109,0.005010, , 
    Median ISI within Burst - Avg (sec),0.005880,0.006837,0.004295,0.003286,0.005747,0.004932,0.002892, ,0.004942,0.004875,0.006397,0.005731,0.005835,0.005882,0.005606,0.017057,0.007043,0.016880,0.010499, ,0.006445,0.007082,0.006960,0.014333
    Median ISI within Burst - Std (sec),0.003813,0.001919,0.001783, ,0.002630,0.000633,0.000004, ,0.006084,0.001694,0.002954,0.002392,0.001958,0.001881,0.002994,0.021715,0.002159, ,0.005934, ,0.003839,0.002917, , 
    Median/Mean ISI within Burst - Avg,0.563428,0.696839,0.689329,0.543283,0.482777,0.771860,0.811646, ,0.727735,0.602051,0.827629,0.582934,0.622158,0.559303,0.458075,0.704404,0.700063,0.791559,0.631042, ,0.700359,0.592991,0.800736,0.709643
    Median/Mean ISI within Burst - Std,0.113786,0.076760,0.107825, ,0.270143,0.103189,0.045534, ,0.077342,0.070023,0.062499,0.041817,0.182073,0.120009,0.128521,0.251595,0.101562, ,0.094221, ,0.123181,0.044012, , 
    Inter-Burst Interval - Avg (sec),14.682633,9.205369,15.412769,16.366827,42.456720,12.030785,2.854329, ,5.426354,18.267091,20.910154,11.904821,16.332570,15.879346,22.618127,15.393446,14.281520, ,10.027578, ,9.677900,4.704364, ,19.880080
    Inter-Burst Interval - Std (sec),4.426871,8.426821,4.779672,0.000000,0.000000,10.368623,0.917439, ,1.267154,17.527845,17.606616,14.541802,11.520150,0.537032,15.312640,1.376369,9.346990, ,2.334869, ,3.945684,3.069683, ,0.000000
    Burst Frequency - Avg (Hz),0.060714,0.231061,0.063889,0.058333,0.013889,0.286905,0.375000, ,0.192361,0.136667,0.046429,0.215476,0.075000,0.060417,0.055556,0.047222,0.030556,0.008333,0.065625, ,0.046667,0.062500,0.008333,0.025000
    Burst Frequency - Std (Hz),0.039882,0.217757,0.028501, ,0.009623,0.408017,0.117851, ,0.034167,0.171958,0.039340,0.178499,0.036004,0.007979,0.039382,0.033679,0.019245, ,0.032562, ,0.028013,0.030807, , 
    IBI Coefficient of Variation - Avg,0.942181,0.718941,0.827210,0.707009,0.629635,0.517547,0.630279, ,0.702072,0.630262,0.671331,0.959763,0.888054,0.799959,0.709251,0.898984,0.737924, ,1.063015, ,1.415258,0.803229, ,1.227595
    IBI Coefficient of Variation - Std,0.163034,0.202087,0.170764,0.000000,0.000000,0.186827,0.072886, ,0.179841,0.142706,0.432743,0.142188,0.332991,0.348263,0.387725,0.304718,0.000670, ,0.449168, ,0.192737,0.306418, ,0.000000
    Burst Percentage - Avg,35.473561,55.949060,62.255243,16.666667,17.182663,52.534019,25.797988,0.000000,86.832213,17.551199,43.646713,34.391086,30.195355,36.065634,52.023363,47.282051,23.303488,68.000000,44.070477, ,43.751881,44.328605,100.000000,19.130435
