AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_12DIV_15-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,1587.000000,2684.000000,2211.000000,209.000000,126.000000,3794.000000,860.000000,5.000000,2119.000000,1017.000000,231.000000,3021.000000,547.000000,668.000000,75.000000,27.000000,504.000000,33.000000,2229.000000,0.000000,238.000000,456.000000,52.000000,53.000000
    Mean Firing Rate (Hz),0.826562,1.397917,1.151563,0.108854,0.065625,1.976042,0.447917,0.002604,1.103646,0.529687,0.120313,1.573438,0.284896,0.347917,0.039063,0.014063,0.262500,0.017188,1.160938,0.000000,0.123958,0.237500,0.027083,0.027604
    ISI Coefficient of Variation - Avg,3.373797,1.709169,3.241384,3.048798,2.345470,2.097533,1.982100, ,2.522296,1.610125,1.046309,1.593953,1.559863,2.210309,2.735767,1.202395,2.233302,1.520493,1.683503, ,1.992236,2.126183,3.042266,0.971673
    Number of Active Electrodes,8.000000,10.000000,13.000000,3.000000,4.000000,8.000000,2.000000,0.000000,12.000000,7.000000,4.000000,8.000000,4.000000,4.000000,1.000000,1.000000,3.000000,1.000000,9.000000,0.000000,6.000000,5.000000,1.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.646875,2.233333,1.416026,0.575000,0.256250,3.952083,3.579167, ,1.464583,1.194048,0.435417,3.144792,1.100000,1.383333,0.541667,0.175000,1.380556,0.266667,2.063889, ,0.318056,0.755000,0.333333,0.441667
Electrode Burst Metrics
    Number of Bursts,56.000000,138.000000,82.000000,8.000000,4.000000,232.000000,65.000000,0.000000,148.000000,62.000000,2.000000,151.000000,19.000000,40.000000,4.000000,2.000000,18.000000,0.000000,56.000000,0.000000,9.000000,22.000000,3.000000,0.000000
    Number of Bursting Electrodes,7.000000,9.000000,12.000000,1.000000,2.000000,6.000000,2.000000,0.000000,12.000000,6.000000,2.000000,7.000000,3.000000,4.000000,1.000000,2.000000,3.000000,0.000000,8.000000,0.000000,5.000000,3.000000,1.000000,0.000000
    Burst Duration - Avg (sec),0.154631,0.090784,0.124635,0.135680,0.132900,0.085913,0.054497, ,0.058408,0.062671,0.055600,0.077586,0.114240,0.112925,0.085800,0.097520,0.128216, ,0.079392, ,0.117923,0.099479,0.135600, 
    Burst Duration - Std (sec),0.055513,0.050955,0.070791, ,0.090481,0.034400,0.003566, ,0.026459,0.027185,0.014821,0.020669,0.016313,0.035960, ,0.076368,0.090576, ,0.039140, ,0.052964,0.011790, , 
