AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_15DIV_18-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,215.000000,578.000000,46.000000,0.000000,23.000000,562.000000,118.000000,2.000000,386.000000,179.000000,125.000000,535.000000,69.000000,49.000000,42.000000,7.000000,88.000000,0.000000,476.000000,0.000000,16.000000,156.000000,5.000000,0.000000
    Mean Firing Rate (Hz),0.111979,0.301042,0.023958,0.000000,0.011979,0.292708,0.061458,0.001042,0.201042,0.093229,0.065104,0.278646,0.035937,0.025521,0.021875,0.003646,0.045833,0.000000,0.247917,0.000000,0.008333,0.081250,0.002604,0.000000
    ISI Coefficient of Variation - Avg,2.211231,1.819820,3.909728, ,1.536370,7.135300,1.960047, ,3.651161,2.585271,2.027211,6.780907,2.086258,3.652698,1.272653, ,4.278501, ,1.759018, , ,6.314697, , 
    Number of Active Electrodes,6.000000,8.000000,1.000000,0.000000,1.000000,7.000000,2.000000,0.000000,12.000000,5.000000,5.000000,7.000000,3.000000,2.000000,1.000000,0.000000,2.000000,0.000000,7.000000,0.000000,0.000000,3.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.265278,0.582292,0.166667, ,0.091667,0.658333,0.450000, ,0.256944,0.270000,0.188333,0.627381,0.169444,0.137500,0.275000, ,0.300000, ,0.558333, , ,0.397222, , 
Electrode Burst Metrics
    Number of Bursts,9.000000,36.000000,1.000000,0.000000,0.000000,45.000000,8.000000,0.000000,33.000000,9.000000,6.000000,22.000000,4.000000,4.000000,0.000000,0.000000,4.000000,0.000000,16.000000,0.000000,0.000000,6.000000,0.000000,0.000000
    Number of Bursting Electrodes,7.000000,6.000000,1.000000,0.000000,0.000000,8.000000,2.000000,0.000000,13.000000,3.000000,5.000000,5.000000,3.000000,4.000000,0.000000,0.000000,2.000000,0.000000,5.000000,0.000000,0.000000,3.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.090510,0.081679,0.028560, , ,0.046510,0.048307, ,0.040304,0.043413,0.053368,0.086599,0.120920,0.080880, , ,0.123620, ,0.046929, , ,0.145733, , 
    Burst Duration - Std (sec),0.033639,0.026296, , , ,0.015278,0.010503, ,0.011901,0.032800,0.011997,0.050494,0.085951,0.099764, , ,0.057276, ,0.030283, , ,0.005631, , 
    Number of Spikes per Burst - Avg,17.809524,11.458333,5.000000, , ,9.916054,7.083333, ,10.371795,7.166667,9.700000,9.977778,9.500000,9.000000, , ,6.000000, ,7.072727, , ,23.333333, , 
    Number of Spikes per Burst - Std,9.765505,4.792355, , , ,4.205519,0.589256, ,2.914010,1.755942,2.224860,3.613589,2.291288,3.162278, , ,1.414214, ,1.159581, , ,6.751543, , 
    Mean ISI within Burst - Avg (sec),0.008426,0.009275,0.007140, , ,0.005806,0.008829, ,0.004350,0.006245,0.006441,0.012789,0.014717,0.008542, , ,0.029720, ,0.007992, , ,0.007008, , 
    Mean ISI within Burst - Std (sec),0.007254,0.003934, , , ,0.001861,0.003558, ,0.002106,0.003306,0.002025,0.004895,0.009497,0.008221, , ,0.015995, ,0.006381, , ,0.002369, , 
    Median ISI within Burst - Avg (sec),0.004486,0.006176,0.006640, , ,0.004308,0.006017, ,0.003245,0.003771,0.003884,0.007897,0.009973,0.004010, , ,0.019170, ,0.003769, , ,0.004113, , 
    Median ISI within Burst - Std (sec),0.002206,0.004472, , , ,0.001395,0.003983, ,0.001036,0.000872,0.001554,0.004123,0.009072,0.001180, , ,0.015259, ,0.000786, , ,0.000839, , 
    Median/Mean ISI within Burst - Avg,0.669391,0.651644,0.929972, , ,0.781930,0.613257, ,0.805809,0.719051,0.637101,0.622385,0.584731,0.659405, , ,0.516876, ,0.678786, , ,0.611313, , 
    Median/Mean ISI within Burst - Std,0.209824,0.113869, , , ,0.073179,0.148693, ,0.108876,0.223318,0.239230,0.097538,0.161295,0.265108, , ,0.041166, ,0.308731, , ,0.088269, , 
    Inter-Burst Interval - Avg (sec),4.473920,2.009411, , , ,55.181842,3.589392, ,5.906651,3.565200,9.637280,4.751331,6.890800, , , ,8.587200, ,0.673080, , ,4.870747, , 
    Inter-Burst Interval - Std (sec),0.000000,0.695557, , , ,46.384618,2.131344, ,2.021473,2.065204,0.000000,4.287914,0.000000, , , ,2.288990, ,0.724021, , ,0.004940, , 
    Burst Frequency - Avg (Hz),0.010714,0.050000,0.008333, , ,0.046875,0.033333, ,0.021154,0.025000,0.010000,0.036667,0.011111,0.008333, , ,0.016667, ,0.026667, , ,0.016667, , 
    Burst Frequency - Std (Hz),0.006299,0.024152, , , ,0.054178,0.023570, ,0.006469,0.022048,0.003727,0.022515,0.004811,0.000000, , ,0.000000, ,0.036515, , ,0.000000, , 
    IBI Coefficient of Variation - Avg,0.973113,0.730237, , , ,2.449141,0.921143, ,0.012688,0.254710, ,0.749767, , , , , , ,0.922258, , , , , 
    IBI Coefficient of Variation - Std,0.000000,0.190075, , , ,1.155136,0.000000, ,0.000216,0.000000, ,0.152704, , , , , , ,0.000000, , , , , 
    Burst Percentage - Avg,43.778009,35.569408,4.166667, ,0.000000,72.524303,17.261905,0.000000,85.390847,15.821550,29.903517,27.467690,27.450980,56.556373,0.000000,0.000000,21.568627, ,14.458184, ,0.000000,42.000000,0.000000, 
    Burst Percentage - Std,42.995041,34.392434,10.206207, ,0.000000,16.292647,26.765866, ,28.201757,24.226604,29.515457,26.627368,34.381603,45.863977,0.000000, ,31.454142, ,20.209168, ,0.000000,52.421370,0.000000, 
Network Burst Metrics
    Number of Network Bursts,1.000000,2.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
    Network Burst Frequency,0.008333,0.016667, , , ,0.025000, , ,0.025000, ,0.008333,0.008333, , , , , , , , , ,0.008333, , 
    Network Burst Duration - Avg (sec),0.283200,0.198800, , , ,0.135707, , ,0.073440, ,0.093760,0.182720, , , , , , , , , ,0.175200, , 
    Network Burst Duration - Std (sec), ,0.216318, , , ,0.077075, , ,0.057991, , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg,160.000000,112.500000, , , ,87.666667, , ,128.000000, ,60.000000,126.000000, , , , , , , , , ,73.000000, , 
    Number of Spikes per Network Burst - Std, ,82.731493, , , ,43.821608, , ,59.808026, , , , , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec),0.001781,0.001467, , , ,0.001756, , ,0.000527, ,0.001589,0.001462, , , , , , , , , ,0.002433, , 
    Mean ISI within Network Burst - Std (sec), ,0.000852, , , ,0.001289, , ,0.000165, , , , , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec),0.000480,0.000640, , , ,0.000827, , ,0.000293, ,0.000800,0.000800, , , , , , , , , ,0.001720, , 
    Median ISI within Network Burst - Std (sec), ,0.000226, , , ,0.000323, , ,0.000046, , , , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg,0.269492,0.470801, , , ,0.558526, , ,0.578760, ,0.503413,0.547285, , , , , , , , , ,0.706849, , 
    Median/Mean ISI within Network Burst - Std, ,0.119039, , , ,0.251582, , ,0.132371, , , , , , , , , , , , , , , 
