AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_18DIV_21-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,960.000000,951.000000,57.000000,107.000000,4.000000,414.000000,173.000000,2.000000,278.000000,321.000000,105.000000,683.000000,180.000000,66.000000,42.000000,29.000000,38.000000,2.000000,575.000000,0.000000,104.000000,11.000000,10.000000,1.000000
    Mean Firing Rate (Hz),0.500000,0.495312,0.029687,0.055729,0.002083,0.215625,0.090104,0.001042,0.144792,0.167187,0.054688,0.355729,0.093750,0.034375,0.021875,0.015104,0.019792,0.001042,0.299479,0.000000,0.054167,0.005729,0.005208,0.000521
    ISI Coefficient of Variation - Avg,2.525294,4.335143,1.905095,1.325281, ,2.275112,2.058531, ,2.617113,5.131021,2.947243,6.193646,3.860467,1.807636,1.565757,0.682816,1.116013, ,4.715235, ,2.461322,2.827481, , 
    Number of Active Electrodes,10.000000,10.000000,2.000000,2.000000,0.000000,7.000000,3.000000,0.000000,11.000000,7.000000,7.000000,9.000000,5.000000,3.000000,3.000000,1.000000,1.000000,0.000000,8.000000,0.000000,4.000000,1.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.795833,0.786667,0.100000,0.362500, ,0.482143,0.438889, ,0.190909,0.365476,0.121429,0.630556,0.246667,0.155556,0.102778,0.100000,0.308333, ,0.597917, ,0.179167,0.091667, , 
Electrode Burst Metrics
    Number of Bursts,32.000000,36.000000,3.000000,3.000000,0.000000,28.000000,10.000000,0.000000,14.000000,19.000000,6.000000,25.000000,7.000000,4.000000,1.000000,3.000000,0.000000,0.000000,11.000000,0.000000,4.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,10.000000,11.000000,3.000000,3.000000,0.000000,8.000000,2.000000,0.000000,14.000000,6.000000,4.000000,9.000000,6.000000,2.000000,1.000000,3.000000,0.000000,0.000000,8.000000,0.000000,3.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.210658,0.166837,0.104560,0.459733, ,0.068079,0.068600, ,0.088960,0.076713,0.059510,0.202205,0.103993,0.078320,0.059040,0.044560, , ,0.268935, ,0.126027, , , 
    Burst Duration - Std (sec),0.075345,0.061241,0.061205,0.231483, ,0.029588,0.030038, ,0.041655,0.027767,0.025288,0.064648,0.026078,0.083608, ,0.018745, , ,0.120913, ,0.064044, , , 
    Number of Spikes per Burst - Avg,23.896667,24.368182,8.666667,30.666667, ,11.377976,11.700000, ,18.928571,11.404762,7.500000,22.794444,19.416667,7.000000,7.000000,9.000000, , ,46.125000, ,8.000000, , , 
    Number of Spikes per Burst - Std,16.031585,11.854794,1.527525,36.692415, ,3.678408,3.535534, ,10.709193,4.740117,1.471960,9.572044,14.409777,0.000000, ,3.000000, , ,39.653634, ,4.358899, , , 
    Mean ISI within Burst - Avg (sec),0.016475,0.010027,0.014616,0.029659, ,0.007847,0.005632, ,0.005512,0.007677,0.009303,0.013367,0.008890,0.011465,0.009840,0.005501, , ,0.009284, ,0.018987, , , 
    Mean ISI within Burst - Std (sec),0.015393,0.004376,0.010531,0.017992, ,0.003402,0.001221, ,0.002097,0.002012,0.003645,0.007920,0.006452,0.011689, ,0.001133, , ,0.005909, ,0.009483, , , 
    Median ISI within Burst - Avg (sec),0.012465,0.006660,0.006280,0.031213, ,0.003527,0.002776, ,0.003317,0.004571,0.005155,0.007311,0.006660,0.003593,0.008160,0.004880, , ,0.004785, ,0.014253, , , 
    Median ISI within Burst - Std (sec),0.016630,0.004472,0.004449,0.028300, ,0.000842,0.000057, ,0.000771,0.002715,0.001786,0.005149,0.006695,0.001574, ,0.001120, , ,0.003464, ,0.015235, , , 
    Median/Mean ISI within Burst - Avg,0.610952,0.663605,0.533975,0.845640, ,0.612135,0.604020, ,0.655776,0.616801,0.592001,0.592141,0.736595,0.530321,0.829268,0.884709, , ,0.562462, ,0.636454, , , 
    Median/Mean ISI within Burst - Std,0.189092,0.176475,0.343698,0.511622, ,0.211924,0.113267, ,0.202359,0.194105,0.101223,0.158339,0.185523,0.346028, ,0.027283, , ,0.141245, ,0.380693, , , 
    Inter-Burst Interval - Avg (sec),0.387041,2.385772, , , ,2.215397,1.351680, , ,7.152442,9.086520,2.600910,7.900000,2.784920, , , , ,1.794933, ,8.449040, , , 
    Inter-Burst Interval - Std (sec),0.215999,0.758280, , , ,0.933225,0.001471, , ,3.892411,0.006958,0.676646,0.000000,0.000000, , , , ,0.014781, ,0.000000, , , 
    Burst Frequency - Avg (Hz),0.026667,0.027273,0.008333,0.008333, ,0.029167,0.041667, ,0.008333,0.026389,0.012500,0.023148,0.009722,0.016667,0.008333,0.008333, , ,0.011458, ,0.011111, , , 
    Burst Frequency - Std (Hz),0.015615,0.023889,0.000000,0.000000, ,0.033333,0.000000, ,0.000000,0.017010,0.004811,0.014299,0.003402,0.011785, ,0.000000, , ,0.004313, ,0.004811, , , 
    IBI Coefficient of Variation - Avg,0.733670,0.902982, , , ,0.443841,0.436045, , ,0.386993, ,0.711511, ,0.632062, , , , , , , , , , 
    IBI Coefficient of Variation - Std,0.108738,0.186661, , , ,0.185547,0.001621, , ,0.052415, ,0.085622, ,0.000000, , , , , , , , , , 
    Burst Percentage - Avg,67.296357,75.011371,20.046620,46.428571,0.000000,67.301275,23.314054,0.000000,88.621693,36.601915,31.002523,77.016387,35.561311,24.000000,12.500000,60.000000,0.000000,0.000000,74.032217, ,18.817204,0.000000,0.000000,0.000000
    Burst Percentage - Std,37.867936,24.920679,37.104696,51.458325,0.000000,28.450949,40.012963, ,25.189999,37.254910,35.278856,28.926546,43.326240,33.615473,25.000000,54.772256,0.000000, ,35.354805, ,31.576256, ,0.000000, 
Network Burst Metrics
    Number of Network Bursts,3.000000,3.000000,0.000000,1.000000,0.000000,2.000000,1.000000,0.000000,1.000000,2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.025000,0.025000, ,0.008333, ,0.016667,0.008333, ,0.008333,0.016667, ,0.016667,0.008333, , , , , ,0.008333, , , , , 
    Network Burst Duration - Avg (sec),0.345893,0.944240, ,0.726880, ,0.127760,0.208480, ,0.184160,0.192680, ,0.611200,0.148560, , , , , ,0.493280, , , , , 
    Network Burst Duration - Std (sec),0.280573,1.107300, , , ,0.032470, , , ,0.132314, ,0.176494, , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg,291.666667,271.333333, ,107.000000, ,105.000000,59.000000, ,268.000000,86.500000, ,254.000000,132.000000, , , , , ,440.000000, , , , , 
    Number of Spikes per Network Burst - Std,308.003788,201.953790, , , ,77.781746, , , ,20.506097, ,246.073160, , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec),0.001520,0.004067, ,0.006857, ,0.001543,0.003594, ,0.000690,0.002129, ,0.005228,0.001134, , , , , ,0.001124, , , , , 
    Mean ISI within Network Burst - Std (sec),0.000722,0.005178, , , ,0.000842, , , ,0.001037, ,0.005782, , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec),0.000773,0.001333, ,0.002520, ,0.000800,0.001760, ,0.000320,0.000920, ,0.001720,0.000880, , , , , ,0.000720, , , , , 
    Median ISI within Network Burst - Std (sec),0.000378,0.001619, , , ,0.000339, , , ,0.000057, ,0.001640, , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg,0.506353,0.353067, ,0.367488, ,0.538512,0.489639, ,0.463944,0.482865, ,0.400371,0.775983, , , , , ,0.640772, , , , , 
    Median/Mean ISI within Network Burst - Std,0.041571,0.075816, , , ,0.073896, , , ,0.208571, ,0.129034, , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg,10.333333,9.666667, ,6.000000, ,7.500000,6.000000, ,15.000000,9.000000, ,9.000000,12.000000, , , , , ,8.000000, , , , , 
    Number of Elecs Participating in Burst - Std,2.081666,1.527525, , , ,0.707107, , , ,2.828427, ,1.414214, , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg,25.883838,27.469697, ,17.833333, ,13.571429,9.833333, ,17.866667,9.733766, ,26.400000,11.000000, , , , , ,55.000000, , , , , 
    Number of Spikes per Network Burst per Channel - Std,24.222038,17.454565, , , ,9.091373, , , ,0.780572, ,23.193102, , , , , , , , , , , , 
    Network Burst Percentage,91.145833,85.594111, ,100.000000, ,50.724638,34.104046, ,96.402878,53.894081, ,74.377745,73.333333, , , , , ,76.521739, , , , , 
    Network IBI Coefficient of Variation,0.237871,0.014090, , , , , , , , , , , , , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , , , , , , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.304074,0.377565,0.178018,0.102099,0.027259,0.265705,0.124275,0.000000,0.523843,0.237083,0.260610,0.204940,0.235371,0.123064,0.081938,0.152151,0.003407,0.000000,0.150140,0.000000,0.098772,0.000000,0.013192,0.000000
    Area Under Cross-Correlation,1.291319,1.692222,0.017778,0.020139,0.000069,0.373542,0.053542,0.000000,0.770347,0.165139,0.045000,0.771181,0.160486,0.009306,0.004236,0.010764,0.000069,0.000000,0.503958,0.000000,0.014722,0.000000,0.000139,0.000000
    Full Width at Half Height of Normalized Cross-Correlation,9.000000,12.000000,9.000000,30.000000,2.000000,13.000000,7.000000, ,13.000000,8.000000,7.000000,12.000000,5.000000,6.000000,2.000000,6.000000,6.000000, ,7.000000, ,13.000000, ,8.000000, 
    Full Width at Half Height of Cross-Correlation,47.000000,147.000000,23.000000,26.000000,2.000000,38.000000,18.000000, ,80.000000,27.000000,14.000000,199.000000,74.000000,11.000000,2.000000,20.000000,6.000000, ,201.000000, ,20.000000, ,8.000000, 
    Synchrony Index,0.646283,0.672347,0.357491,0.464078,0.341292,0.611454,0.525703,0.000000,0.763304,0.354336,0.587325,0.646397,0.422233,0.298135,0.397576,0.513732,0.147263,0.000000,0.489798,0.000000,0.347711,0.000000,0.079546,0.000000
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,21.000000,34.000000, ,32.000000, ,22.000000,33.000000, ,43.000000,43.000000, ,33.000000,11.000000, , , , , ,34.000000, , , , , 
    Percent Bursts with Start Electrode,66.666667,66.666667, ,100.000000, ,100.000000,100.000000, ,100.000000,100.000000, ,50.000000,100.000000, , , , , ,100.000000, , , , , 
    Burst Peak (Max Spikes per sec),3333.333333,2666.666667, ,2000.000000, ,2500.000000,2000.000000, ,6000.000000,1500.000000, ,2500.000000,4000.000000, , , , , ,4000.000000, , , , , 
    Time to Burst Peak (ms),54.500000,101.500000, ,79.500000, ,76.500000,25.500000, ,8.500000,6.500000, ,30.500000,81.500000, , , , , ,57.500000, , , , , 
Viability Metrics
    Resistance - Avg (kOhms),14.113506,21.959337,20.841035,10.485661,10.471535,14.137187,13.500679,13.935003,32.063369,25.070614,15.741416,23.779940,18.763772,20.353393,15.976924,19.498781,15.723143,12.928639,17.325847,4.845847,22.577274,14.725422,15.564303,9.749936
