AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Baseline_WT hippocampal culture_17DIV_20-04-2023(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,715.000000,403.000000,343.000000,123.000000,29.000000,280.000000,288.000000,4.000000,644.000000,169.000000,39.000000,419.000000,92.000000,196.000000,15.000000,277.000000,109.000000,1.000000,447.000000,0.000000,80.000000,69.000000,0.000000,35.000000
    Mean Firing Rate (Hz),0.372396,0.209896,0.178646,0.064062,0.015104,0.145833,0.150000,0.002083,0.335417,0.088021,0.020313,0.218229,0.047917,0.102083,0.007813,0.144271,0.056771,0.000521,0.232813,0.000000,0.041667,0.035937,0.000000,0.018229
    ISI Coefficient of Variation - Avg,1.702350,5.559445,2.920096,1.458772,2.973455,1.925968,5.304434, ,4.460809,3.358447,2.184503,4.488785,0.536789,3.821266, ,4.770906,4.745055, ,5.721187, ,3.308598,2.517585, ,5.507919
    Number of Active Electrodes,11.000000,9.000000,10.000000,3.000000,1.000000,5.000000,2.000000,0.000000,14.000000,6.000000,1.000000,5.000000,3.000000,4.000000,0.000000,3.000000,2.000000,0.000000,7.000000,0.000000,3.000000,3.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.536364,0.360185,0.269167,0.294444,0.083333,0.461667,1.120833, ,0.382143,0.226389,0.100000,0.673333,0.219444,0.391667, ,0.755556,0.441667, ,0.526190, ,0.119444,0.166667, ,0.291667
Electrode Burst Metrics
    Number of Bursts,21.000000,26.000000,13.000000,6.000000,2.000000,19.000000,11.000000,0.000000,41.000000,10.000000,2.000000,21.000000,3.000000,6.000000,0.000000,9.000000,2.000000,0.000000,12.000000,0.000000,1.000000,4.000000,0.000000,1.000000
    Number of Bursting Electrodes,10.000000,6.000000,12.000000,4.000000,2.000000,3.000000,2.000000,0.000000,14.000000,5.000000,1.000000,4.000000,3.000000,4.000000,0.000000,3.000000,2.000000,0.000000,7.000000,0.000000,1.000000,4.000000,0.000000,1.000000
    Burst Duration - Avg (sec),0.308844,0.051623,0.119547,0.195847,0.035160,0.068596,0.131823, ,0.066530,0.081992,0.017040,0.039966,0.092027,0.140020, ,0.283458,0.151560, ,0.210756, ,0.013520,0.096720, ,0.241840
    Burst Duration - Std (sec),0.098340,0.029533,0.027530,0.090518,0.002093,0.023660,0.014186, ,0.017396,0.026132, ,0.041365,0.002858,0.108218, ,0.258394,0.106292, ,0.094920, , ,0.002258, , 
    Number of Spikes per Burst - Avg,27.383333,6.356481,24.375000,10.583333,6.000000,11.833333,23.683333, ,15.369048,10.650000,5.000000,6.629464,26.333333,23.750000, ,36.000000,6.000000, ,32.809524, ,5.000000,15.750000, ,31.000000
    Number of Spikes per Burst - Std,18.155544,1.293671,13.492633,11.166667,1.414214,3.655285,4.926177, ,5.656166,2.987474, ,1.370965,10.785793,13.219304, ,38.935845,1.414214, ,23.817094, , ,7.932003, , 
    Mean ISI within Burst - Avg (sec),0.017846,0.010249,0.007614,0.033350,0.007263,0.005962,0.005084, ,0.005010,0.009647,0.004260,0.007600,0.004292,0.005550, ,0.010122,0.034707, ,0.009109, ,0.003380,0.009225, ,0.008061
    Mean ISI within Burst - Std (sec),0.015216,0.006179,0.005381,0.022457,0.001636,0.000992,0.000159, ,0.001568,0.004464, ,0.007036,0.002338,0.002132, ,0.005466,0.031075, ,0.005770, , ,0.007063, , 
    Median ISI within Burst - Avg (sec),0.014737,0.003973,0.003095,0.027367,0.004360,0.003422,0.002752, ,0.003192,0.005894,0.003480,0.005285,0.002973,0.003575, ,0.004306,0.034200, ,0.006029, ,0.003040,0.005960, ,0.004560
    Median ISI within Burst - Std (sec),0.017034,0.001650,0.000411,0.030556,0.001980,0.000458,0.000045, ,0.000723,0.003727, ,0.004409,0.000335,0.000587, ,0.000824,0.027266, ,0.004349, , ,0.004766, , 
    Median/Mean ISI within Burst - Avg,0.690383,0.617573,0.556602,0.627868,0.647388,0.644397,0.650259, ,0.737271,0.692803,0.839715,0.804332,0.790409,0.719679, ,0.513370,1.057635, ,0.659864, ,0.899408,0.648806, ,0.565663
    Median/Mean ISI within Burst - Std,0.261893,0.242145,0.249979,0.393297,0.418386,0.051567,0.038498, ,0.127390,0.297932, ,0.152987,0.269387,0.156684, ,0.148731,0.161351, ,0.155345, , ,0.073529, , 
    Inter-Burst Interval - Avg (sec),0.622857,10.001068,7.095200,0.515320, ,1.616296,1.530968, ,3.749480,5.372596,9.727600,6.087849, ,4.425400, ,0.986351, , ,58.894507, , , , , 
    Inter-Burst Interval - Std (sec),0.225147,8.752464,0.000000,0.000000, ,0.810254,0.228299, ,0.052841,1.513168,0.000000,7.247295, ,1.094092, ,0.409742, , ,58.382550, , , , , 
    Burst Frequency - Avg (Hz),0.017500,0.036111,0.009028,0.012500,0.008333,0.052778,0.045833, ,0.024405,0.016667,0.016667,0.043750,0.008333,0.012500, ,0.025000,0.008333, ,0.014286, ,0.008333,0.008333, ,0.008333
    Burst Frequency - Std (Hz),0.007297,0.026701,0.002406,0.008333,0.000000,0.045896,0.005893, ,0.002227,0.010206, ,0.022948,0.000000,0.004811, ,0.008333,0.000000, ,0.007927, , ,0.000000, , 
    IBI Coefficient of Variation - Avg,0.691758,1.531707, ,0.885763, ,0.499607,0.932129, ,0.074669,0.694182, ,1.511042, , , ,0.892878, , ,0.753493, , , , , 
    IBI Coefficient of Variation - Std,0.242346,1.004156, ,0.000000, ,0.112767,0.117258, ,0.000271,0.000000, ,0.779034, , , ,0.259882, , ,0.908482, , , , , 
    Burst Percentage - Avg,65.098035,22.723539,81.851555,42.974806,33.125000,32.749080,32.770733,0.000000,91.929825,41.025592,11.904762,19.057968,33.333333,61.111851,0.000000,45.833333,10.353535,0.000000,59.003163, ,6.250000,76.380952, ,88.571429
    Burst Percentage - Std,41.191703,29.571650,35.069710,37.193136,38.371810,40.967457,50.770173,0.000000,26.003155,39.958027,31.497039,24.488950,50.000000,36.650665,0.000000,51.031036,11.497528, ,38.059605, ,19.764235,43.044037, , 
Network Burst Metrics
    Number of Network Bursts,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.016667,0.008333,0.008333,0.008333, , , , ,0.025000,0.008333, , ,0.008333, , , , , ,0.008333, , , , , 
    Network Burst Duration - Avg (sec),0.534720,0.121920,0.188080,0.902240, , , , ,0.098373,0.194480, , ,0.099840, , , , , ,0.650640, , , , , 
    Network Burst Duration - Std (sec),0.487395, , , , , , , ,0.052948, , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg,357.500000,50.000000,319.000000,102.000000, , , , ,214.666667,88.000000, , ,92.000000, , , , , ,275.000000, , , , , 
