AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-1h(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , ,0.033333,0.008333, , , , , , , , , , , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , ,0.134120,0.312720, , , , , , , , , , , , 
    Network Burst Duration - Std (sec), , , , , , , , , , ,0.032031, , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , ,77.000000,79.000000, , , , , , , , , , , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , ,18.708287, , , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001895,0.004009, , , , , , , , , , , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000850, , , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001010,0.002400, , , , , , , , , , , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000089, , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , ,0.596804,0.598619, , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , ,0.204294, , , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , ,7.500000,8.000000, , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Std, , , , , , , , , , ,1.290994, , , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , , , , , ,10.182540,9.875000, , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , , , , , ,1.330401, , , , , , , , , , , , , 
    Network Burst Percentage, , , , , , , , , , ,50.741351,10.154242, , , , , , , , , , , , 
    Network IBI Coefficient of Variation, , , , , , , , , , ,0.880559, , , , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , ,0.142268, , , , , , , , , , , , , 
Synchrony Metrics
