AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge(000).spk
File Type,24-well

Analysis Start,240.000000
Analysis End,360.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
    Burst Frequency - Avg (Hz), ,0.008333,0.129487, , ,0.106250, ,0.097917,0.038333,0.008333,0.165278,0.125000,0.065278,0.038889,0.041667,0.022222, ,0.008333, , ,0.028571,0.112500,0.027778,0.012500
    Burst Frequency - Std (Hz), ,0.000000,0.016533, , ,0.051539, ,0.004167,0.007027,0.000000,0.101846,0.090779,0.011143,0.017347,0.016667,0.004811, , , , ,0.017252,0.208333,0.017347,0.005893
    IBI Coefficient of Variation - Avg, , ,0.320357, , ,0.508503, ,0.451448,0.555109, ,0.493651,0.729260,0.471760,0.593818,0.973828,1.364883, , , , ,0.306818,0.723328,1.129025, 
    IBI Coefficient of Variation - Std, , ,0.081257, , ,0.403956, ,0.028577,0.089904, ,0.082127,0.427815,0.214526,0.117391,0.383827,0.016484, , , , ,0.207458,0.000000,0.189851, 
    Burst Percentage - Avg,0.000000,74.632035,84.055444,0.000000, ,25.290513,0.000000,74.964396,63.662007,91.266026,28.364141,38.985636,76.737158,28.668653,43.685741,35.466999,0.000000,70.588235,0.000000,0.000000,34.245393,20.153879,27.272727,40.000000
    Burst Percentage - Std,0.000000,40.225823,35.363908,0.000000, ,39.822144,0.000000,42.633042,47.111296,22.162405,41.079271,37.253175,40.796196,42.811165,47.315192,49.134557,0.000000, ,0.000000, ,38.219858,36.559319,46.709937,54.772256
Network Burst Metrics
    Number of Network Bursts,0.000000,1.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.000000,20.000000,6.000000,7.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, ,0.008333,0.133333, , , , , ,0.041667,0.008333,0.166667,0.050000,0.058333, , ,0.016667, , , , ,0.025000, , , 
    Network Burst Duration - Avg (sec), ,0.147520,0.221985, , , , , ,0.134384,0.136480,0.218152,0.117640,0.486549, , ,0.594480, , , , ,0.306800, , , 
