AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_32DIV_05-05-2023_BlockersChallenge-24h(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
    Inter-Burst Interval - Avg (sec), ,17.869221,28.504602, ,1.350403, , ,50.340520, , ,8.255965,16.954430, ,25.221809, , , , , , ,33.042429, , , 
    Inter-Burst Interval - Std (sec), ,7.993873,21.526752, ,1.839896, , ,5.047161, , ,2.679299,12.502782, ,9.319406, , , , , , ,23.281941, , , 
    Burst Frequency - Avg (Hz), ,0.071212,0.026923, ,0.116667, , ,0.022222, , ,0.133333,0.104762, ,0.033333, ,0.008333, , , , ,0.040476, , ,0.008333
    Burst Frequency - Std (Hz), ,0.031038,0.044378, ,0.108333, , ,0.004811, , ,0.071443,0.135217, ,0.022048, , , , , , ,0.059982, , , 
    IBI Coefficient of Variation - Avg, ,0.520940,0.874471, ,0.752091, , ,1.390393, , ,0.587464,0.562622, ,0.621772, , , , , , ,0.280185, , , 
    IBI Coefficient of Variation - Std, ,0.072375,0.434147, ,0.345409, , ,0.000028, , ,0.095533,0.108173, ,0.021087, , , , , , ,0.190805, , , 
    Burst Percentage - Avg, ,58.148530,77.916134, ,44.780531,0.000000, ,54.741379, , ,45.936032,36.333898, ,11.436142,0.000000,23.809524, , , , ,34.747449, , ,45.348837
    Burst Percentage - Std, ,32.584130,24.219674, ,41.633886, , ,52.830598, , ,44.000469,38.976140, ,11.293013, , , , , , ,37.822619, , ,64.132941
Network Burst Metrics
    Number of Network Bursts,0.000000,8.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, ,0.066667,0.008333, ,0.025000, , , , , ,0.083333,0.033333, , , , , , , , ,0.008333, , , 
    Network Burst Duration - Avg (sec), ,0.078100,0.498960, ,0.467920, , , , , ,0.106728,0.214120, , , , , , , , ,0.248720, , , 
    Network Burst Duration - Std (sec), ,0.029172, , ,0.384024, , , , , ,0.031941,0.076312, , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, ,132.500000,518.000000, ,117.000000, , , , , ,57.800000,83.750000, , , , , , , , ,90.000000, , , 
    Number of Spikes per Network Burst - Std, ,37.466175, , ,109.123783, , , , , ,6.729702,22.691775, , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), ,0.000629,0.000965, ,0.004448, , , , , ,0.001886,0.002643, , , , , , , , ,0.002795, , , 
    Mean ISI within Network Burst - Std (sec), ,0.000241, , ,0.002041, , , , , ,0.000595,0.001044, , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), ,0.000315,0.000320, ,0.001933, , , , , ,0.000896,0.001600, , , , , , , , ,0.001520, , , 
    Median ISI within Network Burst - Std (sec), ,0.000143, , ,0.000335, , , , , ,0.000141,0.000630, , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, ,0.528740,0.331570, ,0.472672, , , , , ,0.521570,0.655186, , , , , , , , ,0.543905, , , 
    Median/Mean ISI within Network Burst - Std, ,0.168303, , ,0.133768, , , , , ,0.181780,0.268359, , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, ,11.625000,13.000000, ,6.666667, , , , , ,7.000000,7.500000, , , , , , , , ,8.000000, , , 
    Number of Elecs Participating in Burst - Std, ,0.916125, , ,0.577350, , , , , ,0.471405,1.000000, , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, ,11.340385,39.846154, ,17.134921, , , , , ,8.310119,11.114583, , , , , , , , ,11.250000, , , 
    Number of Spikes per Network Burst per Channel - Std, ,3.099779, , ,15.231999, , , , , ,1.266428,2.243142, , , , , , , , , , , , 
    Network Burst Percentage, ,65.594059,49.903661, ,34.445535, , , , , ,55.737705,16.136802, , , , , , , , ,11.583012, , , 
    Network IBI Coefficient of Variation, ,0.425701, , ,0.343050, , , , , ,0.476869,0.133880, , , , , , , , , , , , 
    Network Normalized Duration IQR, ,0.000000, , , , , , , , ,0.169317,0.041932, , , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000000,0.549829,0.299606,0.000000,0.135204,0.000000,0.000000,0.058154,0.000000,0.000000,0.220751,0.080603,0.000000,0.128177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113822,0.000000,0.000000,0.005328
    Area Under Cross-Correlation,0.000000,2.986111,1.409444,0.000000,0.335000,0.000000,0.000000,0.025278,0.000000,0.000000,0.575139,0.283333,0.000000,0.070208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134722,0.000000,0.000000,0.000625
    Full Width at Half Height of Normalized Cross-Correlation, ,14.000000,13.000000, ,13.000000, , ,4.000000, , ,14.000000,10.000000, ,6.000000, , , , , , ,9.000000, , ,17.000000
    Full Width at Half Height of Cross-Correlation, ,39.000000,159.000000, ,31.000000, , ,22.000000, , ,37.000000,43.000000, ,10.000000, , , , , , ,19.000000, , ,11.000000
    Synchrony Index,0.000000,0.639696,0.677314,0.000000,0.390481,0.000000,0.000000,0.240281,0.000000,0.000000,0.419494,0.178907,0.000000,0.543397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201046,0.000000,0.000000,0.271655
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode, ,34.000000,13.000000, ,21.000000, , , , , ,21.000000,14.000000, , , , , , , , ,21.000000, , , 
    Percent Bursts with Start Electrode, ,62.500000,100.000000, ,33.333333, , , , , ,50.000000,25.000000, , , , , , , , ,100.000000, , , 
    Burst Peak (Max Spikes per sec), ,2500.000000,7000.000000, ,1666.666667, , , , , ,1600.000000,1750.000000, , , , , , , , ,2000.000000, , , 
    Time to Burst Peak (ms), ,39.500000,112.500000, ,10.500000, , , , , ,15.500000,150.500000, , , , , , , , ,3.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),28.088305,26.664225,25.416886,12.988021,13.735876,19.036570,21.588878,14.685451,31.586273,21.684033,16.470262,26.924689,25.917666,17.198719,16.088134,19.238047,13.989762,13.541502,22.055878,6.055635,19.353304,17.945297,15.123417,13.052257
    Resistance - Std (kOhms),12.987782,9.884055,8.499428,5.030905,6.441083,10.221429,11.788343,6.097546,10.512460,8.993072,6.937165,12.493480,10.617246,9.344612,6.762482,11.286699,5.915525,6.220766,10.972374,0.340762,8.640928,8.467719,8.231971,4.977405
    Number of Covered Electrodes,10.000000,12.000000,11.000000,1.000000,2.000000,6.000000,6.000000,3.000000,14.000000,8.000000,4.000000,9.000000,12.000000,4.000000,3.000000,3.000000,3.000000,3.000000,9.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Weighted Mean Resistance (kOhms),35.272351,29.281504,27.852115,28.429337,27.094267,29.860005,31.887353,25.199973,33.028056,28.205371,26.002034,33.998985,29.173350,30.064787,26.883488,37.628789,24.206416,23.464366,29.192405, ,26.551353,27.750837,28.762340,29.506989

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
    Number of Spikes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.000000,12.000000,136.000000,106.000000,169.000000,21.000000,0.000000,36.000000,1.000000,205.000000,189.000000,378.000000,0.000000,101.000000,55.000000,85.000000,202.000000,61.000000,124.000000,177.000000,34.000000,0.000000,19.000000,0.000000,32.000000,38.000000,7.000000,80.000000,10.000000,0.000000,151.000000,103.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,441.000000,161.000000,295.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.000000,19.000000,4.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,0.000000,0.000000,33.000000,0.000000,0.000000,0.000000,58.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,80.000000,207.000000,185.000000,406.000000,0.000000,13.000000,3.000000,0.000000,0.000000,0.000000,0.000000,27.000000,0.000000,0.000000,96.000000,130.000000,30.000000,0.000000,878.000000,1.000000,4.000000,32.000000,27.000000,0.000000,0.000000,477.000000,96.000000,0.000000,0.000000,25.000000,376.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,196.000000,68.000000,0.000000,193.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,94.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,233.000000,0.000000,125.000000,0.000000,11.000000,272.000000,61.000000,35.000000,3.000000,8.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.000000
    Mean Firing Rate (Hz),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.016667,0.100000,1.133333,0.883333,1.408333,0.175000,0.000000,0.300000,0.008333,1.708333,1.575000,3.150000,0.000000,0.841667,0.458333,0.708333,1.683333,0.508333,1.033333,1.475000,0.283333,0.000000,0.158333,0.000000,0.266667,0.316667,0.058333,0.666667,0.083333,0.000000,1.258333,0.858333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.675000,1.341667,2.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641667,0.158333,0.033333,0.183333,0.000000,0.000000,0.000000,0.000000,0.000000,0.608333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325000,0.000000,0.000000,0.275000,0.000000,0.000000,0.000000,0.483333,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.666667,1.725000,1.541667,3.383333,0.000000,0.108333,0.025000,0.000000,0.000000,0.000000,0.000000,0.225000,0.000000,0.000000,0.800000,1.083333,0.250000,0.000000,7.316667,0.008333,0.033333,0.266667,0.225000,0.000000,0.000000,3.975000,0.800000,0.000000,0.000000,0.208333,3.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.633333,0.566667,0.000000,1.608333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.783333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,1.941667,0.000000,1.041667,0.000000,0.091667,2.266667,0.508333,0.291667,0.025000,0.066667,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.358333
    ISI Coefficient of Variation, , , , , , , , , , , , , , , , ,2.295679,1.611811,1.905472,2.804120,2.565222,2.037361, ,2.024024, ,2.558682,2.681690,2.471002, ,1.701316,2.267973,2.390274,2.116840,2.003110,2.213848,1.947219,0.521030, ,1.312394, ,0.957977,0.849582, ,1.329884,1.250582, ,2.706476,2.561814, , , , , , , , , , , , , , , , , , ,2.707814,1.543017,2.205592, , , , , , , ,1.123290,1.398581, ,1.209164, , , , , ,0.918819, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.106939, , ,5.604378, , , ,1.603902,0.977073, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.843487,2.060606,2.944849,3.133783,2.033975, ,0.833513, , , , , ,0.895252, , ,2.111458,4.298425,5.329383, ,1.124229, , ,2.257724,1.147357, , ,1.395085,2.334646, , ,1.300312,1.092391, , , , , , , , , , , , , , , , ,1.363494,0.863374, ,1.506356, , , , , , , ,1.517683, , , , , , , , , , , , , , , , , , , , , , ,1.694953, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.961191, ,1.096937, ,0.796120,1.175535,2.107656,2.965376, , , ,2.200075, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.180121
Electrode Burst Metrics
