AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_32DIV_05-05-2023_BlockersChallenge-24h(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,0.000000,1616.000000,1038.000000,0.000000,1019.000000,73.000000,0.000000,172.000000,0.000000,0.000000,1037.000000,2076.000000,0.000000,551.000000,7.000000,21.000000,0.000000,0.000000,0.000000,0.000000,777.000000,0.000000,0.000000,46.000000
    Mean Firing Rate (Hz),0.000000,0.841667,0.540625,0.000000,0.530729,0.038021,0.000000,0.089583,0.000000,0.000000,0.540104,1.081250,0.000000,0.286979,0.003646,0.010937,0.000000,0.000000,0.000000,0.000000,0.404687,0.000000,0.000000,0.023958
    ISI Coefficient of Variation - Avg, ,2.254971,1.647563, ,1.697910,0.918819, ,3.573073, , ,1.857115,2.253284, ,1.312727, ,1.694953, , , , ,1.757556, , ,3.180121
    Number of Active Electrodes,0.000000,13.000000,12.000000,0.000000,6.000000,1.000000,0.000000,4.000000,0.000000,0.000000,8.000000,9.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz), ,1.035256,0.715972, ,1.409722,0.608333, ,0.358333, , ,1.077083,1.917593, ,1.147917, ,0.175000, , , , ,0.905952, , ,0.358333
Electrode Burst Metrics
    Number of Bursts,0.000000,94.000000,42.000000,0.000000,70.000000,0.000000,0.000000,8.000000,0.000000,0.000000,80.000000,88.000000,0.000000,12.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,34.000000,0.000000,0.000000,1.000000
    Number of Bursting Electrodes,0.000000,11.000000,13.000000,0.000000,5.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000,7.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,1.000000
    Burst Duration - Avg (sec), ,0.043108,0.166830, ,0.123179, , ,0.035502, , ,0.059241,0.086828, ,0.042444, ,0.099440, , , , ,0.104962, , ,0.233760
    Burst Duration - Std (sec), ,0.010826,0.058239, ,0.037492, , ,0.012394, , ,0.011500,0.064701, ,0.025166, , , , , , ,0.059842, , , 
    Number of Spikes per Burst - Avg, ,11.537211,27.217216, ,9.667030, , ,9.833333, , ,9.674696,15.500000, ,5.920635, ,5.000000, , , , ,8.119048, , ,39.000000
    Number of Spikes per Burst - Std, ,3.079273,17.870807, ,3.387622, , ,3.883727, , ,3.136982,18.325510, ,1.316504, , , , , , ,2.601129, , , 
    Mean ISI within Burst - Avg (sec), ,0.004573,0.010144, ,0.016665, , ,0.004171, , ,0.007335,0.009289, ,0.008241, ,0.024860, , , , ,0.015351, , ,0.006152
    Mean ISI within Burst - Std (sec), ,0.001164,0.006808, ,0.012092, , ,0.000569, , ,0.001557,0.008505, ,0.003363, , , , , , ,0.008229, , , 
    Median ISI within Burst - Avg (sec), ,0.003395,0.005781, ,0.010261, , ,0.003778, , ,0.004266,0.007514, ,0.005693, ,0.021440, , , , ,0.012788, , ,0.003440
    Median ISI within Burst - Std (sec), ,0.000847,0.004027, ,0.008851, , ,0.000712, , ,0.001265,0.007331, ,0.002762, , , , , , ,0.010776, , , 
    Median/Mean ISI within Burst - Avg, ,0.793625,0.615902, ,0.569338, , ,0.901446, , ,0.662254,0.817451, ,0.715689, ,0.862430, , , , ,0.763732, , ,0.559206
    Median/Mean ISI within Burst - Std, ,0.060850,0.212666, ,0.085237, , ,0.047341, , ,0.055633,0.156075, ,0.234598, , , , , , ,0.238465, , , 
