AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-30min(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
    Burst Duration - Std (sec), , , , , , , , , , ,0.025653,0.021881,0.021898,0.016533,0.002546, , , , , ,0.374273, , , 
    Number of Spikes per Burst - Avg, , ,11.333333, , , , ,6.000000, , ,10.161765,7.776099,19.205808,6.666667,11.000000, , , , , ,19.120588,10.000000, ,24.000000
    Number of Spikes per Burst - Std, , , , , , , , , , ,3.447215,3.020530,14.467960,2.081666,8.485281, , , , , ,28.486567, , , 
    Mean ISI within Burst - Avg (sec), , ,0.014414, , , , ,0.006096, , ,0.008414,0.007195,0.010633,0.007004,0.013000, , , , , ,0.009015,0.019700, ,0.004285
    Mean ISI within Burst - Std (sec), , , , , , , , , , ,0.003277,0.002497,0.006986,0.001486,0.011285, , , , , ,0.003805, , , 
    Median ISI within Burst - Avg (sec), , ,0.006338, , , , ,0.002400, , ,0.004613,0.004271,0.005503,0.003523,0.006460, , , , , ,0.005180,0.011905, ,0.003280
    Median ISI within Burst - Std (sec), , , , , , , , , , ,0.002019,0.000887,0.003767,0.000323,0.003762, , , , , ,0.002764, , , 
    Median/Mean ISI within Burst - Avg, , ,0.481144, , , , ,0.393701, , ,0.598216,0.727825,0.592028,0.555321,0.595836, , , , , ,0.648058,0.608702, ,0.765422
    Median/Mean ISI within Burst - Std, , , , , , , , , , ,0.123241,0.114277,0.178558,0.121683,0.227881, , , , , ,0.293619, , , 
    Inter-Burst Interval - Avg (sec), , ,2.581910, , , , , , , ,33.028056,17.591355,11.827694,40.479307, , , , , , ,14.273882,3.381605, , 
    Inter-Burst Interval - Std (sec), , ,0.000000, , , , , , , ,16.088647,15.655814,9.603871,18.617801, , , , , , ,9.455931,0.000000, , 
    Burst Frequency - Avg (Hz), , ,0.075000, , , , ,0.008333, , ,0.050000,0.056250,0.107051,0.019444,0.008333, , , , , ,0.045000,0.291667, ,0.008333
    Burst Frequency - Std (Hz), , , , , , , , , , ,0.051370,0.037500,0.039798,0.012729,0.000000, , , , , ,0.054836, , , 
    IBI Coefficient of Variation - Avg, , ,0.789376, , , , , , , ,1.045035,0.820674,0.360546,0.039484, , , , , , ,0.657124,0.691320, , 
    IBI Coefficient of Variation - Std, , ,0.000000, , , , , , , ,0.256828,0.432690,0.238385,0.000000, , , , , , ,0.074461,0.000000, , 
    Burst Percentage - Avg,0.000000,0.000000,55.135135,0.000000, , ,0.000000,100.000000, , ,32.006559,18.675378,72.821295,24.295878,33.333333, , , ,0.000000, ,18.742754,59.931507, ,100.000000
    Burst Percentage - Std, , , , , , , , , , ,39.903706,30.570623,37.555717,27.299034,51.639778, , , ,0.000000, ,26.779350, , , 
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , ,0.025000,0.016667,0.133333, , , , , , , ,0.008333, , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , ,0.189813,0.119320,0.159170, , , , , , , ,0.900560, , , 
    Network Burst Duration - Std (sec), , , , , , , , , , ,0.078028,0.000962,0.021372, , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , ,65.333333,51.500000,246.187500, , , , , , , ,121.000000, , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , ,11.590226,2.121320,27.398829, , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.003100,0.002364,0.000650, , , , , , , ,0.007505, , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , ,0.001709,0.000080,0.000050, , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001493,0.001920,0.000425, , , , , , , ,0.002760, , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000372,0.000113,0.000038, , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , ,0.541394,0.813306,0.656763, , , , , , , ,0.367771, , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , ,0.162588,0.075463,0.064605, , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , ,8.666667,7.500000,14.750000, , , , , , , ,9.000000, , , 
    Number of Elecs Participating in Burst - Std, , , , , , , , , , ,0.577350,0.707107,0.447214, , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , , , , , ,7.504630,6.883929,16.695833, , , , , , , ,13.444444, , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , , , , , ,0.911214,0.366180,1.820723, , , , , , , , , , , 
    Network Burst Percentage, , , , , , , , , , ,36.229205,13.411458,99.974619, , , , , , , ,17.018284, , , 
    Network IBI Coefficient of Variation, , , , , , , , , , ,0.861849, ,0.264086, , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , , , ,0.065357, , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144569,0.103817,0.459660,0.180445,0.069087,0.000000,0.000000,0.000000,0.002708,0.000000,0.170189,0.000000,0.000000,0.000000
    Area Under Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168611,0.131111,8.231042,0.038264,0.005139,0.000000,0.000000,0.000000,0.000139,0.000000,0.199028,0.000000,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation, , , , , , , , , , ,14.000000,8.000000,16.000000,9.000000,7.000000, , , ,21.000000, ,8.000000, , , 
