AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,1102.000000,364.000000,1098.000000,186.000000,60.000000,1425.000000,93.000000,143.000000,317.000000,292.000000,224.000000,1132.000000,0.000000,31.000000,28.000000,0.000000,5.000000,12.000000,6.000000,0.000000,153.000000,30.000000,74.000000,27.000000
    Mean Firing Rate (Hz),0.573958,0.189583,0.571875,0.096875,0.031250,0.742188,0.048438,0.074479,0.165104,0.152083,0.116667,0.589583,0.000000,0.016146,0.014583,0.000000,0.002604,0.006250,0.003125,0.000000,0.079687,0.015625,0.038542,0.014063
    ISI Coefficient of Variation - Avg,8.384142,1.689865,5.853526,1.322736,1.042506,11.777629,4.217102,4.132380,0.797474,5.380437,1.951792,3.965030, ,1.442948,1.440535, , ,2.816648, , ,3.278558,0.994474,1.377581,1.917823
    Number of Active Electrodes,12.000000,11.000000,13.000000,6.000000,2.000000,9.000000,2.000000,4.000000,13.000000,8.000000,6.000000,12.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,6.000000,2.000000,2.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.760417,0.269697,0.698077,0.248611,0.170833,1.305556,0.287500,0.297917,0.196795,0.280208,0.300000,0.781944, ,0.141667,0.216667, , ,0.100000, , ,0.186111,0.125000,0.275000,0.225000
Electrode Burst Metrics
    Number of Bursts,44.000000,12.000000,36.000000,9.000000,5.000000,81.000000,3.000000,11.000000,14.000000,16.000000,7.000000,42.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10.000000,1.000000,3.000000,2.000000
    Number of Bursting Electrodes,12.000000,12.000000,12.000000,6.000000,5.000000,9.000000,3.000000,4.000000,14.000000,10.000000,6.000000,12.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,1.000000,3.000000,1.000000
    Burst Duration - Avg (sec),0.129408,0.120227,0.146838,0.223320,0.119136,0.107953,0.101653,0.064797,0.091091,0.112748,0.273647,0.110548, ,0.028800,0.261760, , ,0.036800, , ,0.092739,0.016160,0.226853,0.138760
    Burst Duration - Std (sec),0.044610,0.026722,0.010367,0.109425,0.019740,0.041980,0.084246,0.021988,0.027415,0.045507,0.072312,0.038508, , , , , , , , ,0.049732, ,0.170590, 
    Number of Spikes per Burst - Avg,25.145833,29.416667,29.916667,15.416667,11.600000,15.573362,18.000000,12.166667,22.428571,15.800000,29.416667,22.844444, ,7.000000,26.000000, , ,11.000000, , ,10.190476,5.000000,24.000000,12.500000
    Number of Spikes per Burst - Std,16.800791,13.872526,12.183882,13.536679,9.370165,8.299601,10.148892,6.379945,8.959003,7.188726,10.669661,14.611742, , , , , , , , ,4.285450, ,15.874508, 
    Mean ISI within Burst - Avg (sec),0.007612,0.005940,0.006300,0.019732,0.017716,0.007691,0.005337,0.006142,0.004494,0.009718,0.011160,0.007199, ,0.004800,0.010470, , ,0.003680, , ,0.011913,0.004040,0.008843,0.013374
