Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_22DIV_25-04-2023,00121.032880,C2_11,5,0.0904
Description,"WT hippocampal culture. Basal activity measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00121.031840,C2_12,5,0.02032
Maestro Edge (Maestro-) Settings,,00121.032560,C2_14,11,0.09208
   Original File Time,04/25/2023 12:46:01,00121.344880,B6_14,39,0.12768
   Sampling Frequency,12.5 kHz,00121.487280,B6_11,6,0.04016
   Voltage Scale,5.484861781483107E-08 V/sample,00121.338960,B6_33,26,0.13712
   Experiment Start Time,04/25/2023 12:45:44,00121.342960,B6_23,23,0.13448
   Referencing Method,Median,00121.337760,B6_34,19,0.12936
   Acquire Viability,On,00121.340720,B6_24,7,0.11736
   Analog Mode Setting,Neural Spikes,00121.337840,B6_44,18,0.15968
   Plate Type,CytoView MEA 24,00122.081120,A2_21,17,0.05184
   Digital Low Pass Filter,3 kHz Kaiser Window,00122.082080,A2_11,18,0.0476
   Digital High Pass Filter,200 Hz IIR,00122.083600,A2_13,12,0.03584
   Temperature Set Point,37.0 Degrees C,00122.085440,A2_14,13,0.03704
   Current Temperature,37.0 Degrees C,00122.084480,A2_33,14,0.04136
   Heater Power,On,00122.091120,A2_24,7,0.02736
   Barcode Plate Type,TwentyFourWell,00122.084240,A2_34,15,0.04384
   Plate Serial Number,100-0914,00122.084320,A2_32,13,0.03664
   CO2 Conc. Set Point,5.0 %,00122.086160,A2_43,9,0.02648
   Actual CO2 Conc.,5.0 %,00122.088080,A2_44,9,0.02816
   Gas Mixer Status,Regulating,00122.084480,A2_42,9,0.02832
   AxIS Version,3.6.2.2,00122.538960,D1_24,8,0.02064
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00123.090480,D3_44,5,0.05032
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00123.390240,D1_21,21,0.1996
,,00123.400720,D1_31,16,0.18456
Spike Detector Settings,,00123.401440,D1_42,16,0.09552
   Method,Adaptive Threshold Crossing,00123.469360,A3_41,5,0.03728
   Threshold,6,00123.469360,A3_21,20,0.08336
   Threshold Status,Variable,00123.446480,A3_31,16,0.11072
   Threshold Crossing Only,True,00123.429520,A3_11,15,0.12952
   Pre-Spike Duration,0.84 ms,00123.429120,A3_12,32,0.12624
   Post-Spike Duration,2.16 ms,00123.435840,A3_13,44,0.1316
   Coincident Event Filter,Default (Well),00123.447600,A3_23,8,0.05872
   Coincidence Occurrence Threshold,4 Electrodes,00123.432080,A3_14,42,0.12912
   Coincidence Event Window,160 µs,00123.441520,A3_24,47,0.13
   Allow Sample Overlap,false,00123.437520,A3_34,22,0.1264
   Spike Count Interval,1 s,00123.457040,A3_32,29,0.10928
,,00123.440800,A3_44,48,0.13128
Burst Detector Settings,,00123.440400,A3_43,42,0.12656
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00124.034720,B6_44,5,0.0116
   Maximum Inter-Spike Interval,100 ms,00124.412960,B1_33,24,0.17296
   Minimum Number of Spikes,5,00124.466240,B1_32,13,0.04104
   Enable Network Burst Detection,False,00125.347440,B6_11,5,0.01112
   Synchrony Window,20 ms,00125.988320,B4_33,13,0.09424
,,00125.991680,B4_24,21,0.0908
,,00125.991920,B4_42,6,0.07728
,,00125.987840,B4_43,12,0.09544
,,00125.987920,B4_44,6,0.0144
,,00125.994880,B4_21,13,0.07888
,,00125.979760,B5_14,7,0.01816
,,00125.981360,B5_13,6,0.01552
,,00125.986400,B5_44,8,0.03112
,,00125.985280,B5_21,6,0.0544
,,00126.326560,A5_14,6,0.03232
,,00126.334160,A5_13,8,0.04016
,,00126.333440,A5_21,9,0.03744
,,00126.456240,D1_24,5,0.01128
,,00127.113760,B6_23,5,0.01112
,,00127.682800,B3_31,9,0.0288
,,00127.676160,B3_14,8,0.0224
,,00127.682320,B3_33,7,0.0224
,,00127.675680,B3_24,5,0.01664
,,00127.679120,B3_34,6,0.02744
,,00127.682080,B3_32,8,0.02144
,,00127.674640,B3_43,14,0.03608
,,00127.674080,B3_44,8,0.03016
