Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_17DIV_20-04-2023,00013.503200,C4_13,58,0.80416
Description,"WT hippocampal culture. Basal activity measured on 20.04.23, 17DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00014.369600,B6_33,6,0.0152
Maestro Edge (Maestro-) Settings,,00014.375360,B6_34,5,0.0108
   Original File Time,04/20/2023 15:03:02,00122.120800,B5_44,5,0.01224
   Sampling Frequency,12.5 kHz,00122.066400,A6_22,5,0.0224
   Voltage Scale,5.484861781483107E-08 V/sample,00122.233760,A1_22,6,0.21464
   Experiment Start Time,04/20/2023 15:02:44,00122.503280,C2_14,5,0.03728
   Referencing Method,Median,00122.592960,B4_21,6,0.05256
   Acquire Viability,On,00122.483520,B6_33,8,0.01864
   Analog Mode Setting,Neural Spikes,00122.489760,B6_23,5,0.03608
   Plate Type,CytoView MEA 24,00122.488240,B6_34,6,0.01272
   Digital Low Pass Filter,3 kHz Kaiser Window,00122.227600,A1_41,69,0.6396
   Digital High Pass Filter,200 Hz IIR,00122.206720,A1_21,106,0.67336
   Temperature Set Point,37.0 Degrees C,00122.232000,A1_31,22,0.42384
   Current Temperature,37.0 Degrees C,00122.234560,A1_11,11,0.42384
   Heater Power,On,00122.198720,A1_13,62,0.47432
   Barcode Plate Type,TwentyFourWell,00122.774800,A1_13,15,0.09704
   Plate Serial Number,100-0914,00122.197680,A1_23,75,0.47536
   CO2 Conc. Set Point,5.0 %,00122.774640,A1_23,13,0.09712
   Actual CO2 Conc.,5.0 %,00122.198640,A1_33,16,0.46168
   Gas Mixer Status,Regulating,00122.081440,A1_34,86,0.59256
   AxIS Version,3.6.2.2,00122.776800,A1_34,22,0.1
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00122.242000,A1_44,28,0.62016
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00122.559840,B4_33,22,0.11184
,,00122.565120,B4_24,13,0.10464
Spike Detector Settings,,00122.568480,B4_42,14,0.09816
   Method,Adaptive Threshold Crossing,00122.558800,B4_43,24,0.18992
   Threshold,6,00122.666080,D4_34,6,0.09736
   Threshold Status,Variable,00122.663040,D4_42,24,0.09416
   Threshold Crossing Only,True,00122.655520,D4_43,13,0.09944
   Pre-Spike Duration,0.84 ms,00122.661440,D4_32,20,0.096
   Post-Spike Duration,2.16 ms,00122.808960,A6_21,7,0.02216
   Coincident Event Filter,Default (Well),00122.797520,A6_22,11,0.0336
   Coincidence Occurrence Threshold,4 Electrodes,00123.046880,A1_41,5,0.01128
   Coincidence Event Window,160 µs,00123.103360,B6_33,6,0.01296
