Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_13DIV_16-04-2023,00122.295840,A6_21,8,0.02064
Description,"WT hippocampal culture. Basal activity measured on 16.04.23, 13DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",00122.296720,A6_22,6,0.0228
Maestro Edge (Maestro-) Settings,,00122.103600,B6_14,13,0.52024
   Original File Time,04/16/2023 18:29:02,00122.626000,D1_21,11,0.04816
   Sampling Frequency,12.5 kHz,00122.645440,D1_31,8,0.02712
   Voltage Scale,5.484861781483107E-08 V/sample,00122.615760,D1_42,5,0.06384
   Experiment Start Time,04/16/2023 18:28:44,00122.789280,A2_33,5,0.02024
   Referencing Method,Median,00122.519760,A2_34,5,0.15616
   Acquire Viability,On,00122.727600,A6_21,8,0.02784
   Analog Mode Setting,Neural Spikes,00122.424480,A6_22,29,0.33296
   Plate Type,CytoView MEA 24,00123.049440,A6_21,9,0.10256
   Digital Low Pass Filter,3 kHz Kaiser Window,00123.048000,A6_22,16,0.10824
   Digital High Pass Filter,200 Hz IIR,00123.384560,B4_43,6,0.02608
   Temperature Set Point,37.0 Degrees C,00123.468480,A6_22,7,0.03144
   Current Temperature,36.8 Degrees C,00123.623440,A6_21,16,0.11184
   Heater Power,On,00123.622480,A6_22,20,0.15064
   Barcode Plate Type,TwentyFourWell,00124.186400,C2_11,6,0.02112
   Plate Serial Number,100-0914,00124.189600,C2_14,5,0.028
   CO2 Conc. Set Point,5.0 %,00124.578320,A6_12,9,0.02992
   Actual CO2 Conc.,5.2 %,00124.580240,A6_11,11,0.05752
   Gas Mixer Status,Regulating,00124.588480,A6_32,5,0.04208
   AxIS Version,3.6.2.2,00124.586640,A6_31,7,0.03808
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00124.636400,B4_34,5,0.01904
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00124.636800,B4_43,12,0.03232
,,00124.603120,A6_43,7,0.09224
Spike Detector Settings,,00124.456160,A6_21,35,0.25504
   Method,Adaptive Threshold Crossing,00124.455920,A6_22,37,0.25848
   Threshold,6,00125.168000,A2_33,16,0.13992
   Threshold Status,Variable,00125.195600,A2_34,16,0.1116
   Threshold Crossing Only,True,00125.312720,B3_14,7,0.01752
   Pre-Spike Duration,0.84 ms,00125.296560,B3_34,6,0.0284
   Post-Spike Duration,2.16 ms,00125.311680,B3_43,9,0.02888
   Coincident Event Filter,Default (Well),00125.303360,B3_44,5,0.01976
   Coincidence Occurrence Threshold,4 Electrodes,00125.086320,D6_44,5,0.254
   Coincidence Event Window,160 µs,00125.591360,A1_13,7,0.05616
   Allow Sample Overlap,false,00125.584400,A1_23,12,0.07264
   Spike Count Interval,1 s,00125.571520,A1_34,13,0.15512
,,00126.293760,B4_43,6,0.01608
Burst Detector Settings,,00126.271040,D4_14,5,0.0508
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00126.263120,D4_13,5,0.0532
   Maximum Inter-Spike Interval,100 ms,00126.255440,D4_11,9,0.06856
   Minimum Number of Spikes,5,00125.828640,D4_42,26,0.32592
   Enable Network Burst Detection,False,00126.256160,D4_42,10,0.0732
   Synchrony Window,20 ms,00125.821360,D4_32,44,0.49968
,,00126.078240,B6_14,9,0.10888
,,00126.162160,B6_33,8,0.03872
,,00126.086720,B6_23,8,0.1032
,,00126.165600,B6_34,6,0.02288
,,00126.708880,C2_34,5,0.02104
,,00126.783040,A2_33,6,0.02216
,,00126.613040,B6_14,14,0.06928
,,00126.616560,B6_11,7,0.04016
,,00127.320720,C2_12,19,0.05376
,,00127.309360,C2_11,24,0.23472
,,00127.329200,C2_14,26,0.21168
,,00127.321600,C2_34,22,0.22264
,,00127.558560,A6_22,9,0.0468
,,00127.732000,C2_14,8,0.03904
,,00127.750880,C2_34,9,0.0264
,,00128.071040,A2_34,5,0.05016
,,00128.004320,D4_14,5,0.0924
,,00127.999840,D4_13,8,0.1332
,,00127.993520,D4_11,8,0.10288
,,00128.010320,D4_42,15,0.09376
,,00127.994560,D4_32,19,0.10904
,,00128.586800,B4_43,5,0.01336
,,00128.234880,A6_22,5,0.20144
,,00129.027200,A2_32,6,0.0568
,,00128.538000,A6_22,50,0.55208
,,00128.942560,B6_33,5,0.01624
,,00129.175920,B3_14,7,0.03056
,,00129.191520,B3_32,5,0.01656
,,00129.188160,B3_43,5,0.0128
,,00129.184480,B3_44,5,0.01448
,,00129.179360,B3_42,5,0.01936
,,00128.729280,A6_21,27,0.52856
,,00129.535360,A2_21,5,0.10512
,,00129.508800,A2_11,7,0.04032
,,00130.059920,B4_43,9,0.024
