Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_10DIV_13-04-2023,00000.044080,A4_32,6,0.10376
Description,"WT hippocampal culture. Basal activity measured on 13.04.23, 10DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914


",00000.129920,D1_42,5,0.19464
,,00000.138800,A3_13,9,0.05328
Maestro Edge (Maestro-) Settings,,00000.195200,A6_22,5,0.06256
   Original File Time,04/13/2023 13:24:02,00000.194960,B6_14,6,0.09264
   Sampling Frequency,12.5 kHz,00000.442400,A2_34,5,0.13464
   Voltage Scale,5.484861781483107E-08 V/sample,00000.575360,B3_32,5,0.07336
   Experiment Start Time,04/13/2023 13:23:44,00000.271680,A3_14,12,0.23496
   Referencing Method,Median,00000.222800,A3_24,13,0.28992
   Acquire Viability,On,00000.284240,A3_34,10,0.17752
   Analog Mode Setting,Neural Spikes,00000.211680,A3_44,32,0.2956
   Plate Type,CytoView MEA 24,00000.329600,A3_43,14,0.18072
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.293600,A3_13,51,0.43752
   Digital High Pass Filter,200 Hz IIR,00000.765040,A6_22,12,0.0984
   Temperature Set Point,37.0 Degrees C,00001.239040,A6_22,11,0.19032
   Current Temperature,37.0 Degrees C,00001.676720,A2_21,7,0.11928
   Heater Power,On,00001.901120,B1_32,22,0.24304
   Barcode Plate Type,TwentyFourWell,00002.009360,B1_33,20,0.14136
   Plate Serial Number,100-0914,00002.344320,A2_33,9,0.02704
   CO2 Conc. Set Point,5.0 %,00002.195360,A2_34,15,0.18184
   Actual CO2 Conc.,5.0 %,00002.360640,B3_43,5,0.024
   Gas Mixer Status,Regulating,00002.500720,A2_21,5,0.07752
   AxIS Version,3.6.2.2,00002.363760,B3_32,5,0.04992
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00002.358800,B3_42,8,0.06592
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00002.066640,A6_22,13,0.36024
,,00002.686320,A6_22,8,0.094
AxIS Playback,,00002.994960,A2_33,11,0.04288
   AxIS Version,3.6.2.2,00003.070400,D1_24,26,0.16224
   File Name,Baseline_WT hippocampal culture_10DIV_13-04-2023(000).raw,00003.080480,D1_34,14,0.20848
   Plate Type,CytoView MEA 24,00002.995280,A2_21,10,0.164
   Requested File Section,0s to 9m57s,00002.994800,A2_34,10,0.19944
   Actual File Section Run,0s to 9m57s,00003.065600,C3_12,8,0.11992
   Recording Offset from File Start,0s,00003.238240,B3_43,5,0.02704
,,00003.281840,A6_22,6,0.03272
Spike Detector Settings,,00003.612560,A6_22,6,0.2556
   Method,Adaptive Threshold Crossing,00004.164000,A6_21,7,0.11768
   Threshold,6,00004.234560,A6_22,12,0.13664
   Threshold Status,Variable,00004.909600,A6_21,11,0.04704
   Threshold Crossing Only,True,00004.776080,A6_22,17,0.18128
   Pre-Spike Duration,0.84 ms,00005.528240,C3_12,6,0.05168
   Post-Spike Duration,2.16 ms,00005.388160,A6_21,71,0.50872
   Coincident Event Filter,Default (Well),00006.046000,A2_21,5,0.01584
   Coincidence Occurrence Threshold,4 Electrodes,00005.880480,A2_33,5,0.0856
   Coincidence Event Window,160 µs,00005.815120,A2_34,11,0.26624
   Allow Sample Overlap,false,00006.005520,A6_21,5,0.064
   Spike Count Interval,1 s,00005.125600,A6_22,77,0.7812
,,00005.887520,B6_14,5,0.19752
Burst Detector Settings,,00006.411520,B1_33,14,0.20232
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00006.411600,B1_32,12,0.19344
   Maximum Inter-Spike Interval,100 ms,00006.531600,B6_33,8,0.06304
   Minimum Number of Spikes,5,00006.862640,B3_33,5,0.15688
   Enable Network Burst Detection,True,00006.864400,B3_32,6,0.10776
   Maximum Inter-Spike Interval (network bursts),100 ms,00006.743120,B3_43,5,0.21272
   Minimum Number of Spikes (network bursts),50,00007.452080,D1_34,16,0.18912
   Minimum Participating Electrodes (%),35,00007.445600,D1_24,36,0.22496
   Synchrony Window,20 ms,00007.662960,B6_33,5,0.02376
,,00008.302400,A6_22,10,0.222
,,00008.576720,A2_21,7,0.10672
,,00009.538960,A6_22,5,0.10016
,,00009.630240,A2_33,11,0.2284
,,00009.548320,A2_34,8,0.2228
,,00009.948480,A2_21,7,0.0528
,,00009.984480,A2_11,5,0.12088
,,00009.966800,A2_33,8,0.06392
,,00009.945760,A2_34,8,0.16768
,,00009.920320,B6_33,6,0.01808
,,00010.840800,B4_33,6,0.0928
,,00010.719760,B4_34,10,0.21168
,,00010.801040,B4_43,19,0.11832
,,00011.094560,B6_33,6,0.01592
,,00011.158880,A3_44,6,0.09496
,,00011.294080,B6_33,8,0.05376
,,00011.274000,B6_44,7,0.03048
,,00011.306640,A2_33,5,0.116
,,00010.999520,A6_22,33,0.49792
,,00011.564320,A1_41,7,0.18952
,,00011.382880,A6_21,20,0.3636
,,00011.701280,A6_22,8,0.03024
,,00011.934720,A3_13,10,0.032
,,00012.223520,A6_22,10,0.34328
,,00013.079120,B3_14,9,0.0548
,,00013.076560,B3_43,5,0.02456
,,00012.813600,A6_22,7,0.12968
,,00013.078720,B3_32,8,0.1072
,,00013.080240,B3_42,6,0.09992
,,00013.244240,A6_22,7,0.23184
,,00013.731040,A2_21,5,0.01824
,,00013.635280,B6_33,10,0.11264
,,00013.609040,B6_44,9,0.06512
,,00014.009520,B3_32,6,0.04632
,,00014.769200,A6_22,6,0.01992
,,00015.057840,A2_21,5,0.01576
,,00015.068640,A2_11,6,0.01976
,,00015.006800,A2_34,8,0.09624
,,00015.517680,A6_22,5,0.05136
,,00015.940480,A6_21,9,0.04408
,,00015.935120,A6_22,12,0.08928
,,00016.303680,B3_14,15,0.05816
,,00016.365600,A4_32,29,0.2348
,,00016.507280,A6_22,6,0.0216
,,00016.790720,A2_21,7,0.07216
,,00016.580080,B3_14,14,0.08816
,,00016.841600,A6_21,8,0.02312
,,00016.836400,A6_22,7,0.02536
,,00016.607920,B6_33,8,0.06944
,,00017.388720,A2_33,16,0.13232
,,00017.414800,A6_22,6,0.02768
,,00017.568800,A2_21,5,0.14656
,,00017.392400,A2_34,11,0.41752
,,00017.834080,A2_21,7,0.14968
,,00017.765840,A2_11,6,0.2164
,,00017.745200,A2_33,11,0.1632
,,00017.934880,B4_43,13,0.16392
,,00017.948160,A6_21,5,0.03
,,00017.942640,A6_22,8,0.03952
,,00017.810640,B6_14,9,0.1672
,,00018.265600,B3_32,5,0.06104
,,00018.155280,A3_14,12,0.16872
,,00018.230000,A3_24,10,0.13504
,,00018.043440,A3_34,9,0.18896
,,00018.022640,A3_44,41,0.33136
,,00018.025920,A3_43,26,0.33032
,,00018.059040,A3_13,61,0.37264
,,00018.610560,A3_13,8,0.02448
,,00018.732000,A6_22,8,0.05696
,,00019.267440,A6_22,5,0.01536
,,00019.636640,A6_22,5,0.01192
,,00019.582960,A2_21,14,0.24184
,,00019.614480,A2_11,10,0.2188
,,00019.777920,A2_14,6,0.07432
,,00019.766640,A2_33,7,0.0196
,,00019.766880,A2_34,7,0.022
,,00019.761680,A2_32,6,0.02488
,,00019.966640,A6_22,5,0.01408
,,00020.227760,D1_24,6,0.03688
,,00020.234560,D1_34,5,0.02384
,,00020.283920,A6_21,5,0.01816
,,00020.279760,A6_22,9,0.03768
,,00020.455760,D1_24,13,0.0404
,,00020.467760,D1_34,8,0.13984
,,00020.822800,A6_22,6,0.01904
,,00021.250800,A6_22,5,0.06232
,,00021.281440,A1_21,57,0.16488
,,00021.306400,A1_23,12,0.1388
,,00021.400720,A2_21,5,0.01352
,,00021.407840,A2_34,5,0.01448
,,00021.822640,A6_21,6,0.03256
,,00021.715280,A6_22,12,0.1428
,,00022.191440,B6_33,5,0.0276
,,00022.489360,D1_24,13,0.068
,,00022.495760,D1_34,10,0.05272
,,00022.560800,B3_32,8,0.06408
,,00022.570880,A6_22,7,0.07336
,,00022.773600,A6_22,5,0.01096
,,00023.177440,B4_43,5,0.06608
,,00023.315120,A6_22,9,0.06584
,,00023.814080,B3_32,7,0.04304
,,00023.814080,B3_43,5,0.04376
,,00023.814000,B3_42,6,0.04136
,,00023.729920,A6_22,6,0.0184
,,00023.849680,C2_11,5,0.21648
,,00023.799280,C2_12,12,0.14096
,,00024.327520,A2_21,7,0.0244
,,00024.334080,A2_33,5,0.01128
,,00024.141760,A6_22,6,0.0192
,,00025.447680,A2_21,6,0.03552
,,00025.475600,A2_14,10,0.08696
,,00025.455920,A2_33,12,0.09032
,,00025.456160,A2_34,15,0.18248
,,00025.451280,A2_32,6,0.09824
,,00025.491760,B4_43,8,0.08768
,,00025.306240,C5_44,9,0.27352
,,00025.600560,A2_21,10,0.23848
,,00025.825120,A3_13,8,0.02128
,,00025.696400,C5_44,10,0.15184
,,00025.628320,A6_22,12,0.07888
,,00025.803360,D3_32,12,0.25888
,,00025.548800,B6_14,43,0.59888
,,00025.892880,B6_23,13,0.23216
,,00026.126880,C4_11,5,0.20208
,,00026.356640,A2_21,7,0.15992
,,00026.260400,A2_11,7,0.16432
,,00026.422160,A2_33,5,0.01088
,,00026.428720,A2_34,5,0.07496
,,00026.452880,A3_44,7,0.12952
,,00026.546880,A6_22,8,0.14776
,,00026.595120,A6_21,27,0.5464
,,00026.796000,A6_22,20,0.33864
,,00027.154080,B6_33,5,0.04584
,,00027.808880,A2_21,10,0.02848
,,00027.815680,A2_33,6,0.01984
,,00028.461200,A2_21,7,0.01792
,,00028.404400,A6_21,5,0.10984
,,00028.353440,A6_22,10,0.18184
,,00028.804640,B3_32,6,0.03968
,,00028.812000,B3_43,7,0.03472
,,00028.806640,B3_42,10,0.04248
,,00028.866080,B4_43,6,0.06264
,,00029.528160,A1_23,5,0.07944
,,00029.610720,A2_21,5,0.0192
,,00029.621520,A2_34,5,0.01424
,,00029.361920,B6_14,5,0.03848
,,00029.644560,B1_33,6,0.02208
,,00029.618640,B1_32,7,0.11976
,,00029.525120,A4_32,25,0.19224
,,00030.243440,A6_21,6,0.02144
,,00030.243280,A6_22,12,0.0416
,,00030.331120,A2_21,11,0.16104
,,00030.603920,B4_43,5,0.02688
,,00030.718800,B3_31,13,0.13104
