Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-1h,08403.371440,D3_21,5,0.00992
Description,"WT hippocampal culture. Blcokers challenge on 04.05.23, 31DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",08407.641600,D3_21,5,0.01496
Maestro Edge (Maestro-) Settings,,08409.812880,C2_14,7,0.03792
   Original File Time,05/04/2023 16:18:03,08410.882720,D3_21,5,0.01576
   Sampling Frequency,12.5 kHz,08415.963120,D3_21,6,0.01576
   Voltage Scale,5.484861781483107E-08 V/sample,08416.908640,C2_14,8,0.02792
   Experiment Start Time,05/04/2023 13:59:44,08417.026640,B6_33,6,0.02728
   Referencing Method,Median,08417.682240,B6_14,5,0.15592
   Acquire Viability,On,08419.609120,D3_21,6,0.01312
   Analog Mode Setting,Neural Spikes,08422.985760,D4_14,5,0.15408
   Plate Type,CytoView MEA 24,08423.194000,D3_21,6,0.01488
   Digital Low Pass Filter,3 kHz Kaiser Window,08423.659440,B6_14,5,0.10784
   Digital High Pass Filter,200 Hz IIR,08425.784720,B5_21,5,0.01016
   Temperature Set Point,37.0 Degrees C,08428.588400,C2_11,8,0.05112
   Current Temperature,37.0 Degrees C,08428.591920,C2_14,11,0.04456
   Heater Power,On,08429.546560,D3_21,5,0.01472
   Barcode Plate Type,TwentyFourWell,08432.123200,D3_21,5,0.01576
   Plate Serial Number,100-0914,08437.037600,C2_14,7,0.05744
   CO2 Conc. Set Point,5.0 %,08439.647280,B6_14,5,0.12232
   Actual CO2 Conc.,5.0 %,08440.422960,D3_21,5,0.01168
   Gas Mixer Status,Regulating,08443.053280,A3_22,5,0.04664
   AxIS Version,3.6.2.2,08443.808800,C2_11,5,0.01712
   Maestro Edge (Maestro-) Firmware,3.6.2.2,08444.038640,D3_21,6,0.01592
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,08444.738160,D4_14,6,0.17744
,,08446.878240,C2_14,6,0.03304
Spike Detector Settings,,08452.775600,A3_22,8,0.18744
   Method,Adaptive Threshold Crossing,08453.862960,B5_14,17,0.05704
   Threshold,6,08453.845280,B5_12,8,0.06352
   Threshold Status,Variable,08453.854560,B5_13,14,0.06
   Threshold Crossing Only,True,08453.866960,B5_44,12,0.05568
   Pre-Spike Duration,0.84 ms,08453.831440,B5_21,22,0.082
   Post-Spike Duration,2.16 ms,08455.770800,D3_21,5,0.01408
   Coincident Event Filter,Default (Well),08455.578400,B6_14,7,0.1248
   Coincidence Occurrence Threshold,4 Electrodes,08455.697520,B6_12,12,0.124
   Coincidence Event Window,160 µs,08455.693600,B6_11,50,0.15848
   Allow Sample Overlap,false,08456.822640,C2_14,10,0.0412
   Spike Count Interval,1 s,08457.124400,A3_22,8,0.2124
,,08460.356640,B2_41,6,0.03816
Burst Detector Settings,,08461.720560,B6_33,5,0.02648
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,08462.971760,C2_11,6,0.01592
   Maximum Inter-Spike Interval,100 ms,08462.972400,C2_12,5,0.01408
   Minimum Number of Spikes,5,08462.974320,C2_14,8,0.03432
   Enable Network Burst Detection,False,08463.074240,A6_21,12,0.03696
   Synchrony Window,20 ms,08463.076880,A6_22,8,0.03336
,,08468.750640,D3_21,5,0.01416
,,08470.140160,C2_14,6,0.05064
,,08475.914320,D3_21,5,0.01488
,,08476.139600,B2_41,7,0.03144
,,08476.660640,B5_21,7,0.09848
,,08477.017600,C2_14,8,0.0468
,,08477.700800,C4_11,5,0.05352
,,08481.276560,D3_21,5,0.01496
,,08484.275360,B2_31,20,0.07288
,,08484.276800,B2_22,22,0.07704
,,08484.574160,D3_21,5,0.01072
,,08488.139120,D3_21,5,0.01136
,,08489.602320,B5_21,5,0.0104
,,08493.193680,B6_33,6,0.0268
,,08493.709520,D3_21,5,0.0104
,,08495.345680,A3_22,6,0.0496
,,08495.458080,C2_11,6,0.0984
,,08495.454720,C2_14,11,0.09328
,,08495.462320,C2_34,5,0.09376
,,08498.107280,B5_14,15,0.0748
,,08498.094000,B5_12,8,0.07992
,,08498.096720,B5_13,19,0.08064
,,08498.105600,B5_44,22,0.1364
,,08498.078080,B5_21,19,0.10744
,,08502.242480,B6_33,6,0.02896
