Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_31DIV_04-05-2023,00000.484160,B2_41,6,0.03144
Description,"WT hippocampal culture. Basal activity measured on 04.05.23, 31DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",00000.316480,A5_14,7,0.13832
,,00000.298560,A5_21,12,0.15208
Maestro Edge (Maestro-) Settings,,00000.300080,A5_41,7,0.1436
   Original File Time,05/04/2023 14:00:02,00000.964000,D4_34,10,0.06888
   Sampling Frequency,12.5 kHz,00001.239920,D3_21,22,0.10464
   Voltage Scale,5.484861781483107E-08 V/sample,00001.240560,D3_31,6,0.09336
   Experiment Start Time,05/04/2023 13:59:44,00001.257680,D3_11,5,0.07912
   Referencing Method,Median,00001.238480,D3_23,6,0.09192
   Acquire Viability,On,00001.242160,D3_32,9,0.12512
   Analog Mode Setting,Neural Spikes,00000.841840,D4_14,28,0.35816
   Plate Type,CytoView MEA 24,00000.847760,D4_13,35,0.34952
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.975840,D4_11,22,0.20992
   Digital High Pass Filter,200 Hz IIR,00001.140480,D4_34,6,0.01928
   Temperature Set Point,37.0 Degrees C,00000.951280,D4_42,47,0.24224
   Current Temperature,37.1 Degrees C,00000.953360,D4_43,53,0.23472
   Heater Power,On,00000.894960,D4_32,87,0.31936
   Barcode Plate Type,TwentyFourWell,00001.589120,B5_21,10,0.02736
   Plate Serial Number,100-0914,00001.320240,B6_14,7,0.0992
   CO2 Conc. Set Point,5.0 %,00001.341040,B6_33,7,0.07824
   Actual CO2 Conc.,5.0 %,00001.405120,B6_23,6,0.01384
   Gas Mixer Status,Regulating,00001.403920,B6_34,5,0.01136
   AxIS Version,3.6.2.2,00001.403440,B6_44,5,0.0104
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00002.006000,B5_21,5,0.01192
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00002.305840,B6_14,5,0.01096
,,00002.824960,A3_41,5,0.01672
AxIS Playback,,00002.821600,A3_21,14,0.05464
   AxIS Version,3.6.2.2,00002.802000,A3_31,18,0.09032
   File Name,Baseline_WT hippocampal culture_31DIV_04-05-2023(000).raw,00002.791840,A3_11,13,0.09048
   Plate Type,CytoView MEA 24,00002.794880,A3_12,24,0.09944
   Requested File Section,0s to 9m57s,00002.797200,A3_13,36,0.10008
   Actual File Section Run,0s to 9m57s,00002.805680,A3_23,15,0.09056
   Recording Offset from File Start,0s,00002.796560,A3_14,36,0.1024
,,00002.807040,A3_34,18,0.08808
Spike Detector Settings,,00002.802960,A3_32,20,0.09056
   Method,Adaptive Threshold Crossing,00002.802640,A3_43,32,0.09528
   Threshold,6,00002.803280,A3_44,33,0.09928
   Threshold Status,Variable,00003.174080,B6_33,5,0.01248
   Threshold Crossing Only,True,00004.655120,B2_41,6,0.09024
   Pre-Spike Duration,0.84 ms,00004.669280,B2_31,21,0.08696
   Post-Spike Duration,2.16 ms,00004.677760,B2_22,19,0.08
   Coincident Event Filter,Default (Well),00004.664000,B2_42,9,0.07392
   Coincidence Occurrence Threshold,4 Electrodes,00005.062640,B1_33,26,0.09344
   Coincidence Event Window,160 µs,00005.063440,B1_32,23,0.09544
   Allow Sample Overlap,false,00005.068560,B1_42,12,0.09208
   Spike Count Interval,1 s,00005.427680,B4_11,14,0.19032
,,00005.426000,B4_33,18,0.11432
Burst Detector Settings,,00005.425200,B4_34,6,0.04352
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00005.427280,B4_24,11,0.10864
   Maximum Inter-Spike Interval,100 ms,00005.426000,B4_42,7,0.06536
   Minimum Number of Spikes,5,00005.422880,B4_43,13,0.1168
   Enable Network Burst Detection,True,00005.423760,B4_44,6,0.07104
   Maximum Inter-Spike Interval (network bursts),100 ms,00005.425760,B4_21,22,0.19384
   Minimum Number of Spikes (network bursts),50,00005.428960,B4_31,10,0.18896
   Minimum Participating Electrodes (%),35,00005.429840,B4_22,5,0.05448
   Synchrony Window,20 ms,00005.620560,D3_21,9,0.06864
,,00005.603600,B6_44,5,0.07392
,,00006.229600,C2_11,10,0.072
,,00006.118960,C2_14,16,0.19048
,,00006.118160,C2_34,11,0.18408
,,00006.762400,A3_21,14,0.08728
,,00006.747760,A3_31,21,0.10304
,,00006.737440,A3_11,19,0.11936
,,00006.749360,A3_12,26,0.10536
,,00006.742320,A3_13,39,0.11568
,,00006.750880,A3_23,16,0.10416
,,00006.742640,A3_14,37,0.11448
,,00006.748080,A3_34,19,0.10568
,,00006.753120,A3_32,24,0.1004
,,00006.748080,A3_44,38,0.112
,,00006.747920,A3_43,36,0.11056
,,00006.642320,A5_14,8,0.11664
,,00006.625280,A5_21,10,0.11264
,,00006.629280,A5_41,5,0.10384
,,00006.934480,A5_14,5,0.02936
,,00006.920160,A5_21,9,0.08616
,,00007.156880,B6_14,5,0.01072
,,00007.154160,B6_33,6,0.01392
,,00007.155360,B6_44,8,0.03584
,,00008.524560,A4_12,6,0.02888
,,00008.498080,A4_32,28,0.09016
,,00008.505920,A4_21,9,0.07296
,,00008.501120,A4_22,10,0.0776
,,00008.824880,B6_33,5,0.01112
,,00008.825600,B6_44,5,0.01152
,,00008.984000,D3_21,11,0.07528
,,00008.982400,D3_23,6,0.07896
,,00008.767200,A4_12,6,0.16872
,,00008.796480,A4_32,23,0.18216
,,00009.080560,A4_32,9,0.0264
,,00008.782160,A4_21,7,0.17176
,,00008.784400,A4_22,16,0.30264
,,00008.828080,B6_14,50,0.19624
,,00008.866560,B6_11,17,0.10544
,,00008.827600,B6_23,12,0.18872
,,00008.948080,B6_34,6,0.04824
,,00008.938240,B6_44,17,0.10496
,,00009.235040,A4_32,10,0.02712
,,00009.106880,B5_21,12,0.0692
,,00009.407120,A6_42,45,0.23984
,,00009.410000,A6_32,22,0.2316
,,00009.410000,A6_31,31,0.2344
,,00009.404800,A6_12,52,0.25072
,,00009.404320,A6_11,56,0.25192
,,00009.423520,A6_43,28,0.23936
,,00009.426480,A6_44,14,0.22688
,,00009.404160,A6_21,70,0.25472
,,00009.402640,A6_22,67,0.25728
,,00009.764400,A6_12,43,0.3692
,,00009.764160,A6_11,31,0.37048
,,00009.764480,A6_42,32,0.37736
,,00009.777200,A6_43,23,0.3644
,,00009.943280,A6_32,7,0.18368
,,00009.778000,A6_44,7,0.22536
,,00009.760560,A6_21,53,0.37632
,,00009.766880,A6_31,22,0.36272
,,00009.763760,A6_22,63,0.37544
,,00011.076000,B2_41,6,0.0252
,,00011.044000,B6_14,7,0.0192
,,00011.047920,B6_33,5,0.01176
,,00011.048880,B6_23,6,0.0128
,,00011.048480,B6_34,5,0.01192
,,00011.556720,B5_13,7,0.05304
,,00011.560080,B5_21,9,0.0436
,,00012.111760,A3_41,8,0.08256
,,00012.121920,A3_21,14,0.08528
,,00012.101360,A3_31,17,0.0996
,,00012.092560,A3_11,15,0.11344
,,00012.099280,A3_12,25,0.1084
,,00012.096960,A3_13,37,0.11128
,,00012.105760,A3_23,18,0.09728
,,00012.097120,A3_14,38,0.11064
,,00012.109120,A3_34,21,0.092
,,00012.103120,A3_32,18,0.10112
,,00012.102560,A3_44,35,0.10384
,,00012.102560,A3_43,35,0.1032
,,00012.561280,D3_21,6,0.01776
,,00012.559840,D3_23,8,0.05328
,,00012.561680,D3_32,8,0.0772
,,00012.557680,D3_44,5,0.04256
,,00012.752000,B1_33,6,0.01272
,,00012.582800,D3_11,9,0.06984
,,00012.609440,D4_14,10,0.0792
,,00012.790560,D4_14,25,0.34696
,,00012.788640,D4_13,32,0.29784
,,00012.789840,D4_11,22,0.2344
,,00012.792640,D4_33,9,0.3472
,,00012.785760,D4_34,24,0.35048
,,00013.521920,B1_33,5,0.01128
,,00013.252560,D4_14,11,0.1492
,,00013.252800,D4_13,11,0.14816
,,00013.250960,D4_11,14,0.15104
,,00013.243040,D4_34,7,0.16568
,,00012.776400,D4_42,87,0.63384
,,00012.777760,D4_43,124,0.6348
