Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_16DIV_19-04-2023,00122.052240,A2_21,9,0.0248
Description,"WT hippocampal culture. Basal activity measured on 19.04.23, 16DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914

",00122.057120,A2_11,6,0.01808
Maestro Edge (Maestro-) Settings,,00122.063280,A2_14,6,0.01544
   Original File Time,04/19/2023 14:52:02,00122.040960,A2_33,12,0.04312
   Sampling Frequency,12.5 kHz,00122.050880,A2_34,11,0.0284
   Voltage Scale,5.484861781483107E-08 V/sample,00122.055600,A2_32,8,0.0208
   Experiment Start Time,04/19/2023 14:51:44,00122.010640,B6_14,8,0.05
   Referencing Method,Median,00122.001600,B6_33,7,0.04856
   Acquire Viability,On,00122.031280,B6_23,5,0.0212
   Analog Mode Setting,Neural Spikes,00122.517440,B4_33,5,0.01632
   Plate Type,CytoView MEA 24,00122.422080,B4_42,8,0.1064
   Digital Low Pass Filter,3 kHz Kaiser Window,00122.511920,B4_43,11,0.02744
   Digital High Pass Filter,200 Hz IIR,00122.968080,B6_14,6,0.0264
   Temperature Set Point,37.0 Degrees C,00122.957280,B6_33,5,0.038
   Current Temperature,37.1 Degrees C,00123.582480,B1_33,8,0.02312
   Heater Power,On,00123.570800,B1_32,8,0.03336
   Barcode Plate Type,TwentyFourWell,00123.606880,C3_21,5,0.01592
   Plate Serial Number,100-0914,00123.605280,C3_12,9,0.04
   CO2 Conc. Set Point,5.0 %,00123.402800,A6_21,10,0.20072
   Actual CO2 Conc.,5.0 %,00123.403040,A6_22,24,0.2012
   Gas Mixer Status,Regulating,00123.635920,B6_33,5,0.01144
   AxIS Version,3.6.2.2,00123.826000,A2_33,6,0.01592
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00123.822800,A2_34,7,0.02312
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00123.555440,B6_14,6,0.10584
,,00123.885520,B5_21,7,0.0164
Spike Detector Settings,,00124.213920,A2_11,6,0.05912
   Method,Adaptive Threshold Crossing,00124.160720,B4_43,5,0.0124
   Threshold,6,00124.041760,A5_13,16,0.16896
   Threshold Status,Variable,00124.029840,A5_21,15,0.17288
   Threshold Crossing Only,True,00124.029360,A5_41,6,0.16168
   Pre-Spike Duration,0.84 ms,00124.663040,A6_22,13,0.10192
   Post-Spike Duration,2.16 ms,00124.896960,A2_33,6,0.01976
   Coincident Event Filter,Default (Well),00124.893440,A2_34,9,0.0228
   Coincidence Occurrence Threshold,4 Electrodes,00125.807760,B5_13,6,0.06264
   Coincidence Event Window,160 µs,00125.814000,B5_21,14,0.06976
   Allow Sample Overlap,false,00125.647040,A6_22,10,0.09616
   Spike Count Interval,1 s,00125.743840,B6_44,6,0.09056
,,00125.867840,B5_14,5,0.07384
Burst Detector Settings,,00126.032320,A6_21,9,0.0364
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00126.032720,A6_22,13,0.04176
   Maximum Inter-Spike Interval,100 ms,00126.512320,B4_43,8,0.12144
   Minimum Number of Spikes,5,00126.802320,B1_33,5,0.05728
   Enable Network Burst Detection,False,00126.793360,A2_21,11,0.0572
   Synchrony Window,20 ms,00126.789520,A2_11,7,0.02208
,,00126.793040,A2_14,7,0.02768
,,00126.794640,A2_33,10,0.02312
,,00126.782160,A2_34,13,0.07288
,,00126.795600,A2_32,8,0.01968
,,00126.996960,C2_12,6,0.04344
,,00127.008880,A6_12,5,0.08544
,,00127.003200,A6_21,6,0.09232
,,00126.880000,A6_22,16,0.21592
,,00127.128000,B6_14,6,0.01616
,,00127.283040,D1_42,9,0.04584
,,00127.122640,B6_33,5,0.07224
,,00127.268480,C1_23,7,0.17616
,,00127.478320,A6_22,16,0.21864
,,00128.283360,B4_33,18,0.0796
,,00128.293840,B4_24,12,0.06232
,,00128.283200,B4_42,10,0.06728
,,00128.282000,B4_43,17,0.1172
,,00128.364000,A6_22,5,0.02032
,,00128.177360,B6_14,5,0.05168
,,00128.353040,B6_14,6,0.04536
,,00128.177040,B6_23,17,0.16328
,,00128.776480,A2_21,9,0.0204
,,00128.781280,A2_11,6,0.01648
,,00128.782400,A2_13,5,0.01
,,00128.778720,A2_14,6,0.02288
,,00128.772320,A2_33,11,0.0276
,,00128.774080,A2_34,7,0.01616
,,00128.774720,A2_32,6,0.01608
,,00128.505680,B6_33,6,0.21104
,,00128.874640,A6_21,9,0.09152
,,00128.874160,A6_22,11,0.09696
,,00129.489760,B4_34,17,0.08248
,,00129.492880,B4_43,5,0.01184
,,00129.557440,A6_12,7,0.06488
,,00129.553280,A6_21,9,0.07488
,,00129.553840,A6_22,10,0.07016
,,00130.063200,C3_21,5,0.01232
,,00130.061760,C3_12,8,0.05776
,,00130.385760,A2_21,6,0.04552
,,00130.390320,A2_11,5,0.03888
,,00130.374560,A2_33,9,0.03864
,,00130.390320,A2_34,7,0.03336
,,00130.496800,A6_21,5,0.01208
,,00130.497280,A6_22,5,0.0116
,,00130.305440,B6_14,18,0.12944
,,00130.302960,B6_44,6,0.12464
,,00130.468960,C1_23,8,0.19856
,,00130.842400,A3_41,6,0.01536
,,00130.838480,A3_11,6,0.01936
,,00130.464800,A4_32,35,0.3344
,,00130.917920,B1_33,8,0.01952
,,00131.017360,A2_34,5,0.0164
,,00130.832240,A3_21,20,0.14456
,,00130.836160,A3_31,6,0.12144
,,00130.842000,A3_12,25,0.12216
,,00130.836560,A3_13,40,0.12456
,,00130.842560,A3_23,5,0.10456
,,00130.841680,A3_14,35,0.1192
,,00130.843680,A3_24,40,0.12992
,,00130.844320,A3_34,13,0.11016
,,00130.834960,A3_32,15,0.12624
,,00130.831360,A3_44,46,0.13632
,,00130.835200,A3_43,39,0.132
,,00131.025120,B5_14,12,0.05656
,,00131.024160,B5_12,10,0.06216
,,00131.022240,B5_13,18,0.06216
,,00131.037920,B5_44,5,0.04168
,,00131.024400,B5_21,26,0.10488
,,00131.032240,B5_31,7,0.04424
,,00130.955120,A6_21,6,0.0168
,,00130.864080,A6_22,7,0.15368
,,00130.860640,D6_44,47,0.42376
,,00131.497440,A6_21,8,0.03488
,,00131.494560,A6_22,9,0.06216
,,00132.030320,B4_43,6,0.07224
,,00132.355680,A2_21,5,0.09112
,,00132.356240,A2_11,8,0.09176
,,00132.320720,A2_34,7,0.14448
,,00132.375600,C5_34,21,0.07896
,,00132.364480,C5_43,29,0.09856
,,00132.558480,A6_22,6,0.01288
,,00132.361760,B6_33,10,0.08392
,,00132.362960,B6_34,5,0.08088
,,00132.365600,B6_44,7,0.08
,,00132.650720,C2_11,6,0.02232
,,00132.654080,C2_12,9,0.02496
,,00132.700480,A6_22,8,0.0356
,,00133.082640,A2_21,12,0.04608
,,00133.083840,A2_11,7,0.01792
,,00133.061760,A2_14,13,0.06056
,,00133.063920,A2_33,13,0.04952
,,00133.060800,A2_34,15,0.07408
,,00133.059760,A2_32,11,0.0644
,,00133.240640,A6_12,24,0.13064
,,00133.260560,A6_11,27,0.1112
,,00133.268400,A6_42,12,0.08296
,,00133.269920,A6_43,11,0.08056
,,00133.266560,A6_32,8,0.0772
,,00133.260160,A6_31,20,0.08808
,,00133.160960,B6_14,5,0.05632
,,00133.519680,B3_31,38,0.1208
,,00133.524000,B3_11,9,0.0968
,,00133.520880,B3_12,14,0.06512
,,00133.518400,B3_22,5,0.06544
,,00133.511200,B3_23,20,0.10144
,,00133.510480,B3_14,26,0.1104
,,00133.511680,B3_33,29,0.09912
,,00133.511680,B3_24,12,0.08856
,,00133.509440,B3_34,30,0.1348
,,00133.513280,B3_32,40,0.11248
,,00133.507680,B3_43,39,0.1188
,,00133.507200,B3_44,17,0.1
,,00133.512880,B3_42,32,0.10792
,,00133.239840,A6_21,54,0.178
,,00133.238160,A6_22,51,0.16592
,,00133.560560,D1_33,6,0.18176
,,00133.713040,D1_42,5,0.02208
,,00133.762000,C1_23,5,0.07984
,,00133.515840,B3_21,24,0.21696
,,00133.637520,A6_32,9,0.10424
,,00133.751440,B6_14,6,0.0728
,,00133.645520,A6_12,38,0.31336
,,00133.654400,A6_11,28,0.30712
,,00133.639680,A6_42,18,0.31728
,,00133.642800,A6_43,16,0.34976
,,00133.640960,A6_21,80,0.43216
,,00133.653040,A6_31,19,0.30096
,,00133.641520,A6_22,83,0.43232
,,00134.143520,A5_13,5,0.0764
,,00134.136960,A5_21,7,0.04304
,,00134.132160,A5_41,6,0.02088
,,00134.587920,B4_43,5,0.0608
,,00134.437840,B6_14,5,0.0452
,,00134.593680,A1_34,7,0.06704
,,00134.987520,A2_21,8,0.0356
,,00134.986560,A2_11,5,0.01416
,,00134.990720,A2_33,5,0.01216
,,00134.972160,A2_34,8,0.0364
,,00134.914000,A2_32,8,0.08888
,,00135.416400,B4_43,5,0.11392
,,00135.728320,C1_44,6,0.11984
,,00135.698640,B4_11,10,0.13272
,,00135.688800,B4_33,43,0.16168
,,00135.699840,B4_34,6,0.13256
,,00135.700320,B4_24,24,0.15448
,,00135.688960,B4_42,33,0.1536
,,00135.687920,B4_43,50,0.1676
,,00136.009120,C1_23,20,0.09808
,,00136.014080,C1_33,42,0.11824
,,00135.950000,C1_43,43,0.18136
,,00135.999120,A1_31,6,0.02472
,,00135.982880,A1_13,19,0.08856
,,00135.967440,A1_23,21,0.07816
,,00136.006480,A1_33,6,0.01224
,,00135.994400,A1_41,18,0.23544
,,00135.983920,A1_21,47,0.24632
,,00136.180320,A1_31,7,0.036
,,00136.178880,A1_13,19,0.05528
,,00136.168240,A1_23,21,0.07568
,,00136.177360,A1_33,5,0.0384
,,00135.980080,A1_34,61,0.35016
,,00136.005680,A1_44,7,0.22248
,,00136.331760,A2_21,20,0.06648
,,00136.329440,A2_11,12,0.0596
,,00136.336640,A2_13,5,0.01536
,,00136.335760,A2_14,8,0.02096
,,00136.329280,A2_33,14,0.03688
,,00136.316400,A2_34,15,0.04784
,,00136.330320,A2_32,12,0.03168
,,00136.330560,A2_43,6,0.01408
,,00136.378640,B6_14,10,0.1092
,,00136.398320,B6_11,8,0.08488
,,00136.371760,B6_33,7,0.13712
,,00136.502000,B6_23,5,0.018
,,00136.939920,B1_33,5,0.01776
,,00137.093600,C2_12,8,0.02344
,,00136.853120,C3_12,11,0.06288
,,00137.310800,B5_31,7,0.034
,,00137.329440,B5_14,14,0.16368
,,00137.321920,B5_12,13,0.14512
,,00137.298320,B5_13,20,0.16464
,,00137.334400,B5_44,8,0.15712
,,00137.302960,B5_21,28,0.168
,,00138.630000,A2_33,5,0.01088
,,00138.626720,A2_34,5,0.02048
,,00138.757360,B6_14,10,0.09504
,,00139.105200,B1_33,8,0.02128
,,00139.422320,A2_34,7,0.05416
,,00139.624000,A6_22,8,0.08904
,,00140.008800,A2_34,6,0.06448
,,00140.097120,B5_12,6,0.02648
,,00140.103680,B5_13,9,0.04152
,,00140.110720,B5_31,6,0.02024
,,00140.102880,B5_21,16,0.04776
,,00140.180720,A6_22,5,0.1836
,,00140.395280,B1_33,7,0.22112
,,00140.180400,A6_21,12,0.38008
,,00140.528880,A6_22,7,0.03176
,,00140.277280,D1_31,14,0.38664
,,00141.065120,A2_21,10,0.03616
,,00141.070000,A2_11,6,0.02872
,,00141.085280,A2_14,5,0.01144
,,00141.053600,A2_33,15,0.05808
,,00141.069520,A2_34,9,0.03112
,,00141.062720,A2_32,9,0.03568
,,00141.085040,A6_21,5,0.04208
,,00141.081360,A6_22,10,0.05056
,,00141.347600,A6_21,7,0.04584
,,00141.345280,A6_22,14,0.04928
,,00141.454240,B1_33,8,0.03008
,,00141.459040,B1_32,6,0.02264
,,00141.731280,C3_21,5,0.01904
,,00141.729600,C3_12,9,0.03304
,,00142.282720,B5_12,5,0.02576
,,00142.281680,B5_13,6,0.02776
,,00142.288480,B5_21,16,0.05968
,,00142.303440,B5_31,5,0.04488
,,00142.452080,B3_21,11,0.05704
,,00142.451040,B3_31,25,0.06808
,,00142.455440,B3_11,7,0.03384
,,00142.455600,B3_12,13,0.04232
,,00142.444640,B3_23,6,0.0188
,,00142.442720,B3_14,12,0.06984
,,00142.444160,B3_33,13,0.0432
,,00142.444560,B3_24,5,0.04392
,,00142.441600,B3_34,14,0.0872
,,00142.445360,B3_32,18,0.07088
,,00142.439920,B3_43,22,0.08
,,00142.439440,B3_44,10,0.02696
,,00142.444960,B3_42,18,0.07784
,,00142.189920,B4_42,8,0.22376
,,00142.814480,B4_33,6,0.0136
,,00142.812960,B4_42,5,0.01136
,,00142.813600,B4_43,7,0.01736
,,00142.793440,C2_11,22,0.17744
,,00142.952640,B4_34,9,0.02224
,,00142.959040,B4_43,8,0.08712
,,00142.899840,D5_42,5,0.21888
,,00143.026480,D5_43,5,0.08888
,,00142.851120,A6_21,5,0.06616
,,00142.834640,A6_22,9,0.08688
,,00142.816960,B6_11,11,0.1448
,,00143.038320,C1_23,11,0.31216
,,00143.125520,A6_22,5,0.06528
,,00143.335760,B6_33,5,0.04104
,,00143.293840,B6_44,6,0.08784
,,00143.544000,A2_21,10,0.02608
,,00143.540400,A2_11,10,0.02608
,,00143.541600,A2_13,5,0.01936
,,00143.544240,A2_14,8,0.03216
,,00143.546080,A2_33,9,0.02176
,,00143.545520,A2_34,10,0.03216
,,00143.547040,A2_32,6,0.0152
,,00143.326320,A6_22,11,0.12536
,,00143.295120,B6_14,6,0.15088
,,00143.923040,A6_22,8,0.07488
,,00144.281840,A6_22,9,0.06648
,,00144.049200,B6_14,9,0.11656
,,00144.415280,B5_21,6,0.01776
,,00144.842800,C2_34,5,0.06168
,,00145.026400,A2_33,7,0.0692
,,00145.028480,A2_32,5,0.14488
,,00145.546400,A2_32,5,0.02408
,,00145.390320,A6_12,5,0.0556
,,00145.305520,A6_21,17,0.15112
,,00145.306080,A6_22,18,0.14976
,,00145.588480,B5_14,9,0.11096
,,00145.584800,B5_12,10,0.08112
,,00145.584080,B5_13,8,0.08376
,,00145.598080,B5_44,7,0.0784
,,00145.586960,B5_21,27,0.12656
,,00145.591760,B5_31,9,0.07368
,,00145.971440,A3_41,6,0.03544
,,00145.944800,A3_21,6,0.06784
,,00145.997040,A3_31,6,0.02248
,,00146.001520,A3_11,5,0.01616
,,00145.947040,A3_12,10,0.06472
,,00145.948080,A3_13,31,0.08528
,,00145.954880,A3_23,8,0.05736
,,00145.942720,A3_14,27,0.08248
,,00145.939360,A3_24,29,0.08656
,,00145.944480,A3_34,12,0.0636
,,00145.941840,A3_32,7,0.06896
,,00145.914960,A3_44,33,0.1056
,,00145.927280,A3_43,26,0.08872
,,00145.896800,B6_44,7,0.16376
,,00146.326320,C1_23,5,0.02208
,,00146.106640,A2_21,35,0.24456
,,00146.191520,A2_11,23,0.08328
,,00146.191360,A2_13,11,0.05008
,,00146.192160,A2_14,16,0.07952
,,00146.184880,A2_33,23,0.06824
,,00146.194560,A2_32,17,0.05192
,,00146.201040,A2_43,6,0.01424
,,00146.075680,B4_33,42,0.21896
,,00146.189520,B4_34,11,0.10472
,,00146.085120,B4_24,18,0.12584
,,00146.079200,B4_42,24,0.12472
,,00146.072960,B4_43,41,0.14472
,,00146.119600,A2_34,36,0.35704
,,00146.350800,A3_41,6,0.08976
,,00146.360080,A3_21,11,0.08368
,,00146.362240,A3_31,8,0.07928
,,00146.364160,A3_11,7,0.08264
,,00146.296720,A3_12,22,0.14912
,,00146.307520,A3_13,34,0.13512
,,00146.344320,A3_23,6,0.0916
,,00146.298480,A3_14,39,0.14776
,,00146.277040,A3_24,46,0.1696
,,00146.303840,A3_34,13,0.13032
,,00146.357360,A3_32,8,0.08344
,,00146.323120,A3_44,37,0.1232
,,00146.353200,A3_43,27,0.08952
,,00146.834560,B1_33,7,0.01536
,,00146.832080,B1_32,8,0.02088
,,00146.801760,C2_11,5,0.0144
,,00146.808400,C2_12,5,0.01504
,,00146.582800,A6_21,13,0.09648
,,00146.613680,A6_22,19,0.07072
,,00146.974560,B6_14,17,0.10208
,,00146.939120,B6_44,7,0.13712
,,00147.135360,C3_12,5,0.01968
,,00147.834400,B1_33,5,0.01552
,,00147.769200,A6_21,9,0.03416
,,00147.767600,A6_22,13,0.04056
,,00147.830960,A1_41,8,0.16584
,,00148.277760,A1_41,6,0.022
,,00148.124160,A1_21,39,0.19096
,,00148.140320,A1_31,6,0.0224
,,00148.284960,A1_31,5,0.01264
,,00148.131840,A1_13,16,0.0528
,,00148.288160,A1_13,10,0.02248
,,00148.112960,A1_23,31,0.21216
,,00148.151440,A1_33,7,0.02968
,,00148.128800,A1_34,53,0.52736
,,00148.737280,A2_21,8,0.01928
,,00148.746080,A2_11,5,0.01424
,,00148.733440,A2_33,9,0.02392
,,00148.735120,A2_34,11,0.05904
,,00148.736640,A2_32,7,0.01848
,,00148.954240,C3_24,13,0.0724
,,00148.989040,A6_21,7,0.09272
,,00149.059600,A6_22,10,0.02392
,,00148.862160,B6_14,8,0.27424
,,00149.297360,D3_21,7,0.02128
,,00149.284560,D4_42,12,0.03968
,,00149.226560,D4_43,7,0.08616
,,00149.282640,D4_32,11,0.04384
,,00149.455600,B1_33,5,0.01232
,,00149.763760,A6_21,12,0.07872
,,00149.762880,A6_22,15,0.08112
,,00150.934800,B1_33,8,0.02656
,,00150.942720,B1_32,7,0.01824
,,00151.051520,C2_11,6,0.01464
,,00151.061040,C2_12,5,0.02344
,,00151.005360,A2_21,13,0.10864
,,00150.922560,A2_11,11,0.19
,,00151.007440,A2_33,12,0.11032
,,00150.841440,A2_34,14,0.26816
,,00151.009520,A2_32,6,0.0212
,,00150.927120,B4_34,7,0.11088
,,00150.898000,A5_13,12,0.142
,,00150.891200,A5_21,10,0.05664
,,00150.863840,C5_43,9,0.0364
,,00151.256320,A4_32,20,0.07144
,,00151.305920,A6_21,6,0.01328
,,00151.305840,A6_22,5,0.01472
,,00151.447120,A4_32,5,0.0128
,,00151.997520,D3_21,6,0.02048
,,00152.546960,A2_21,8,0.02256
,,00152.552320,A2_11,5,0.01552
,,00152.550080,A2_33,7,0.01936
,,00152.550720,A2_34,7,0.01576
,,00152.551280,A2_32,6,0.01552
,,00152.461440,C3_21,6,0.05616
,,00152.460000,C3_12,10,0.10616
,,00152.423600,B5_14,6,0.03072
,,00152.406800,B5_13,6,0.0252
,,00152.422960,B5_21,11,0.02856
,,00152.428000,B5_31,5,0.01896
,,00152.516320,A6_22,8,0.04448
,,00152.572240,B6_33,5,0.03624
,,00152.171920,D1_31,13,0.48024
,,00152.794400,A6_12,15,0.066
,,00152.812080,A6_11,14,0.04488
,,00152.812400,A6_42,5,0.03088
,,00152.811200,A6_43,9,0.04312
,,00152.807360,A6_32,8,0.04688
,,00152.776080,A6_21,28,0.0972
,,00152.807440,A6_31,10,0.05592
,,00152.756800,A6_22,32,0.11648
,,00153.577280,A2_21,9,0.05088
,,00153.581360,A2_11,6,0.02416
,,00153.579200,A2_33,10,0.02552
,,00153.580800,A2_34,11,0.04864
,,00153.579360,A2_32,9,0.02656
,,00153.462720,B3_21,9,0.0308
,,00153.463600,B3_31,29,0.09
,,00153.469920,B3_11,8,0.03952
,,00153.468000,B3_12,10,0.02704
,,00153.454560,B3_23,8,0.02528
,,00153.438160,B3_14,21,0.15376
,,00153.458480,B3_33,14,0.0388
,,00153.440160,B3_24,6,0.0716
,,00153.447440,B3_34,16,0.08352
,,00153.452960,B3_32,20,0.06648
,,00153.440880,B3_43,26,0.08864
,,00153.443920,B3_44,9,0.02936
,,00153.452240,B3_42,19,0.07808
,,00153.497920,B4_33,25,0.14072
,,00153.493920,B4_24,16,0.14296
,,00153.360640,B4_42,20,0.26392
,,00153.493040,B4_43,29,0.14464
,,00154.363680,C2_12,5,0.0444
,,00154.607360,C2_14,18,0.25928
,,00154.686320,A2_34,5,0.01184
,,00155.021040,D1_33,6,0.11472
,,00154.600640,C2_34,22,0.37768
,,00155.067360,D1_24,24,0.16128
,,00155.281840,C1_43,30,0.0904
,,00155.191280,A2_21,5,0.02288
,,00155.107120,A2_11,5,0.10512
,,00155.194400,A2_33,5,0.01272
,,00155.146480,A2_34,8,0.11984
,,00155.369280,C1_13,8,0.12096
,,00155.202000,C1_23,33,0.3008
,,00155.200400,C1_33,34,0.2844
,,00155.524640,A3_41,5,0.01952
,,00155.524400,A3_21,12,0.0844
,,00155.526080,A3_31,8,0.0852
,,00155.527520,A3_11,5,0.01456
,,00155.505520,A3_12,27,0.11056
,,00155.500000,A3_13,34,0.11792
,,00155.526240,A3_23,7,0.07096
,,00155.500320,A3_14,31,0.1056
,,00155.520000,A3_24,33,0.08968
,,00155.515840,A3_34,16,0.09056
,,00155.507440,A3_32,13,0.09816
,,00155.513920,A3_44,35,0.09632
,,00155.517760,A3_43,32,0.09736
,,00155.780560,A3_21,10,0.05416
,,00155.786880,A3_31,5,0.04624
,,00155.779600,A3_12,12,0.056
,,00155.773680,A3_13,18,0.06792
,,00155.762880,A3_14,19,0.07112
,,00155.760880,A3_24,20,0.07472
,,00155.760640,A3_34,9,0.05808
,,00155.777280,A3_32,9,0.05432
,,00155.758880,A3_44,27,0.0788
,,00155.768480,A3_43,21,0.0636
,,00155.802480,A6_21,7,0.0664
,,00155.802560,A6_22,9,0.06712
,,00155.580480,B6_14,14,0.14472
,,00155.640720,B6_33,7,0.06192
,,00155.805200,B6_33,6,0.08184
,,00155.675680,B6_34,8,0.02
,,00155.689760,B6_44,9,0.14192
,,00155.993520,A3_41,6,0.09464
,,00155.993280,A3_21,8,0.11792
,,00155.987760,A3_11,5,0.12232
,,00155.980240,A3_12,17,0.1384
,,00155.983200,A3_13,21,0.13776
,,00155.986400,A3_23,6,0.1204
,,00155.987920,A3_14,15,0.13888
,,00155.987120,A3_24,20,0.13328
,,00155.984560,A3_34,10,0.12816
,,00155.988000,A3_32,8,0.11768
,,00155.975920,A3_44,28,0.14536
,,00155.987840,A3_43,23,0.13112
,,00155.987280,A6_22,7,0.04912
,,00156.283760,A2_21,5,0.03408
,,00156.462880,B4_34,7,0.02704
,,00156.571360,A6_12,18,0.05416
,,00156.573600,A6_11,18,0.05296
,,00156.578240,A6_42,9,0.04856
,,00156.582000,A6_43,6,0.03904
,,00156.576960,A6_32,9,0.03968
,,00156.469760,A6_21,27,0.1652
,,00156.574640,A6_31,18,0.05128
,,00156.469840,A6_22,27,0.16368
,,00156.698160,B1_32,5,0.01248
,,00156.757040,A2_21,6,0.0176
,,00156.758800,A2_33,5,0.04472
,,00156.760080,A2_34,5,0.04008
,,00156.775680,A5_13,7,0.04552
,,00156.769120,A5_21,7,0.04624
,,00156.759840,A5_41,5,0.03072
,,00156.618560,B6_11,5,0.07848
,,00156.699440,B1_33,13,0.34392
,,00157.117520,C2_11,21,0.1532
,,00157.370240,A2_33,5,0.01504
,,00157.368880,A2_32,5,0.01504
,,00158.002320,B4_33,12,0.06464
,,00158.016080,B4_24,6,0.04984
,,00158.002640,B4_42,5,0.06416
,,00158.001360,B4_43,13,0.06464
,,00158.034400,B6_33,5,0.09288
,,00158.041840,B4_34,10,0.11472
,,00158.669840,B5_21,6,0.01288
,,00158.617840,B6_33,5,0.07016
,,00159.280400,A2_21,11,0.04896
,,00159.305120,A2_11,6,0.01432
,,00159.299280,A2_33,11,0.02792
,,00159.301040,A2_34,9,0.02376
,,00159.254640,A2_32,9,0.0632
,,00159.105040,B6_14,13,0.33136
,,00159.960080,C2_14,23,0.17456
,,00159.797760,D5_42,6,0.18608
,,00159.816320,D5_43,7,0.16392
,,00160.105360,C2_34,37,0.2608
,,00160.552320,A6_21,5,0.01368
,,00160.533920,A6_22,7,0.03448
,,00160.734160,B1_33,7,0.05584
,,00160.871120,B4_43,7,0.01616
,,00160.758560,D4_42,17,0.07568
,,00160.739840,D4_43,8,0.08992
,,00160.757600,D4_32,12,0.0728
,,00161.012640,D1_42,7,0.07128
,,00161.267200,A2_21,10,0.02912
,,00161.245120,A2_11,10,0.05008
,,00161.252880,A2_13,8,0.03664
,,00161.275520,A2_14,5,0.01632
,,00161.268880,A2_33,12,0.03024
,,00161.269760,A2_34,12,0.03536
,,00161.269120,A2_32,9,0.02296
,,00161.483760,A1_41,12,0.08128
,,00161.424800,A1_21,35,0.18288
,,00161.507200,A1_31,9,0.03896
,,00161.434080,A1_23,38,0.12464
,,00161.508240,A1_33,6,0.0344
,,00161.505040,A1_43,5,0.04864
,,00161.498880,A1_44,5,0.058
,,00161.415200,D5_42,7,0.2088
,,00161.434240,D5_43,8,0.18736
,,00161.439600,A1_13,31,0.24576
