Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,10810.000080,A3_22,8,0.15816
,,10811.202960,A6_12,26,0.11784
,,10811.203600,A6_11,28,0.10872
,,10811.208560,A6_42,12,0.09544
,,10811.226480,A6_43,5,0.06856
,,10811.210080,A6_32,14,0.09424
,,10811.203280,A6_21,43,0.11624
,,10811.222240,A6_31,22,0.07056
,,10811.200880,A6_22,42,0.1224
,,10811.551920,B4_33,10,0.03464
,,10811.548960,B4_34,7,0.01984
,,10811.552640,B4_24,11,0.02792
,,10811.553280,B4_42,8,0.02104
,,10811.550400,B4_43,8,0.02344
,,10811.550160,B4_44,7,0.02104
,,10811.552240,B4_21,5,0.03096
,,10811.783360,C2_14,13,0.10328
,,10811.711760,C2_34,7,0.13776
,,10811.751280,D3_21,6,0.09072
,,10811.625760,C4_11,23,0.1312
,,10811.634720,C4_21,27,0.19424
,,10811.634640,C4_31,10,0.19272
,,10812.231280,B6_44,6,0.01352
,,10812.693440,B3_21,11,0.06224
,,10812.691200,B3_31,27,0.07888
,,10812.696560,B3_11,11,0.06832
,,10812.694720,B3_12,21,0.06312
,,10812.691360,B3_22,8,0.06288
,,10812.687920,B3_23,5,0.01248
,,10812.686080,B3_14,21,0.09
,,10812.687280,B3_33,9,0.07096
,,10812.683840,B3_24,7,0.01792
,,10812.684080,B3_34,8,0.0228
,,10812.691200,B3_32,11,0.07576
,,10812.672400,B3_43,16,0.09768
,,10812.682560,B3_44,10,0.0652
,,10812.687200,B3_42,12,0.0808
,,10813.045840,A2_21,7,0.03048
,,10813.042720,A2_33,7,0.01448
,,10813.044640,A2_34,7,0.05656
,,10812.874720,B6_14,37,0.15576
,,10812.880000,B6_11,9,0.06936
,,10812.878240,B6_33,21,0.154
,,10812.889600,B6_23,23,0.13744
,,10812.898720,B6_34,16,0.13064
,,10812.938320,B6_44,24,0.09144
,,10813.154560,B6_14,55,0.20032
,,10813.164320,B6_33,10,0.16512
,,10813.159920,B6_23,13,0.1708
,,10813.162480,B6_34,13,0.17376
,,10813.156160,B6_44,17,0.19736
,,10813.593360,B4_33,6,0.01424
,,10813.595360,B4_24,5,0.01
,,10813.596400,B4_42,7,0.01544
,,10813.591520,B4_43,7,0.02032
,,10813.591680,B4_44,5,0.01424
,,10813.894080,D1_21,25,0.18416
,,10813.894160,D1_31,16,0.17696
,,10813.964160,D1_22,23,0.10576
,,10814.020560,D1_24,11,0.0992
,,10814.409120,A3_41,6,0.1184
,,10814.432160,A3_21,26,0.10104
,,10814.415200,A3_31,19,0.11224
,,10814.386800,A3_11,19,0.13424
,,10814.389360,A3_12,32,0.13672
,,10814.392080,A3_13,48,0.13784
,,10814.417600,A3_23,9,0.10344
,,10814.391920,A3_14,43,0.13232
,,10814.398480,A3_24,47,0.14136
,,10814.397920,A3_34,26,0.13032
,,10814.408160,A3_32,26,0.1268
,,10814.402800,A3_44,48,0.146
,,10814.396800,A3_43,51,0.17808
,,10814.788880,B5_14,14,0.06368
,,10814.791200,B5_12,15,0.086
,,10814.781120,B5_13,23,0.09632
,,10814.792800,B5_44,8,0.07864
,,10814.790960,B5_21,31,0.11016
,,10814.813760,B5_41,9,0.11392
,,10815.233520,D1_21,20,0.1124
,,10815.236560,D1_31,22,0.12552
,,10815.224160,D1_33,8,0.05
,,10815.226400,D1_24,6,0.0132
,,10815.226720,D1_42,24,0.11536
,,10815.176000,B1_33,14,0.05112
,,10815.382960,B4_33,5,0.01048
,,10815.385280,B4_24,6,0.01304
,,10815.386400,B4_42,6,0.01296
,,10815.381280,B4_43,8,0.02048
