Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00131.930480,B3_21,11,0.0256
,,00131.928480,B3_31,15,0.04008
,,00131.933440,B3_11,6,0.03944
,,00131.932560,B3_12,12,0.04216
,,00131.924560,B3_23,6,0.02728
,,00131.922720,B3_14,22,0.10024
,,00131.923680,B3_33,14,0.04304
,,00131.923200,B3_24,11,0.04616
,,00131.921840,B3_34,16,0.05008
,,00131.928080,B3_32,15,0.04176
,,00131.922560,B3_43,18,0.0504
,,00131.919520,B3_44,12,0.05272
,,00131.924400,B3_42,16,0.04168
,,00132.108640,C1_13,10,0.04784
,,00132.106960,C1_23,12,0.05584
,,00132.101360,C1_33,5,0.06744
,,00132.348240,A6_12,18,0.06816
,,00132.338720,A6_11,22,0.08152
,,00132.360640,A6_42,14,0.05952
,,00132.362480,A6_43,6,0.05096
,,00132.347200,A6_32,12,0.06728
,,00132.338240,A6_21,36,0.09248
,,00132.348560,A6_31,14,0.06472
,,00132.338800,A6_22,32,0.09032
,,00132.795520,D1_21,5,0.09896
,,00132.997040,B6_44,8,0.0272
,,00133.305040,B4_33,6,0.01608
,,00133.306880,B4_24,6,0.01264
,,00133.304240,B4_43,7,0.01768
,,00132.781200,A6_12,59,0.4236
,,00132.772400,A6_11,52,0.42656
,,00132.786720,A6_42,31,0.41456
,,00132.787120,A6_43,47,0.42336
,,00132.785680,A6_32,13,0.41112
,,00132.769920,A6_21,91,0.43528
,,00132.783360,A6_31,31,0.41712
,,00132.774880,A6_22,99,0.4384
,,00134.195600,D1_21,5,0.10632
,,00134.521520,D1_33,9,0.05072
,,00134.431440,D1_21,46,0.37192
,,00134.192080,D1_31,51,0.61248
,,00134.523040,D1_42,34,0.27864
,,00135.137120,B2_31,5,0.17336
,,00135.140720,B2_22,13,0.1828
,,00135.841760,A2_21,5,0.01224
,,00135.841600,A2_11,5,0.0128
,,00135.840560,A2_13,5,0.01952
,,00135.845040,A2_33,6,0.01344
,,00135.843040,A2_34,7,0.01656
,,00136.323120,B1_33,10,0.04136
,,00136.208080,B6_14,5,0.01584
,,00136.198320,B6_33,11,0.02848
,,00136.203600,B6_23,7,0.02568
,,00136.200160,B6_34,6,0.02424
,,00136.827040,B4_43,8,0.03352
,,00136.961920,D1_33,11,0.0404
,,00136.964960,D1_24,21,0.06312
,,00136.964080,D1_34,10,0.0392
,,00136.972000,D1_21,54,0.35024
,,00136.978800,D1_31,50,0.34144
,,00137.133440,D1_22,6,0.18792
,,00137.133040,D1_33,11,0.1888
,,00137.259360,D1_24,12,0.03048
,,00137.258640,D1_34,5,0.0108
,,00136.964640,D1_42,72,0.36728
,,00138.673760,A2_11,5,0.012
,,00138.672960,A2_34,5,0.01072
,,00138.674320,A2_32,5,0.01024
,,00138.583520,D3_24,6,0.1332
,,00139.367680,A2_11,5,0.00944
,,00139.358000,A1_41,9,0.06288
,,00139.347120,A1_21,30,0.08464
,,00139.370720,A1_31,13,0.04224
,,00139.350800,A1_11,11,0.06608
,,00139.340160,A1_13,26,0.07768
,,00139.361120,A1_22,12,0.05016
,,00139.338880,A1_23,33,0.09152
,,00139.364800,A1_33,7,0.05056
,,00139.341040,A1_34,32,0.08368
,,00139.368960,A1_43,7,0.03176
,,00139.370000,A1_44,5,0.05024
,,00139.902080,C1_11,5,0.01184
,,00140.368960,D3_34,5,0.02944
,,00140.218720,D3_32,6,0.14288
,,00140.224960,D3_24,9,0.17752
,,00141.371440,D3_24,5,0.0116
,,00141.305520,B6_14,5,0.02632
,,00141.297280,B6_11,7,0.0192
,,00141.298560,B6_33,6,0.02168
,,00141.304480,B6_23,5,0.0208
,,00141.613520,B4_34,5,0.01184
,,00141.632400,B4_12,6,0.04696
,,00141.614000,B4_33,12,0.07664
,,00141.619040,B4_24,21,0.07264
,,00141.614800,B4_42,9,0.07664
,,00141.601760,B4_43,15,0.09016
,,00141.619360,B4_21,13,0.06952
,,00141.937760,D1_24,5,0.01288
,,00141.879680,A4_12,7,0.14616
,,00141.862160,A4_21,6,0.16704
,,00141.850880,A4_41,15,0.45568
,,00142.354960,C1_23,10,0.10232
,,00142.359840,C1_33,25,0.11472
,,00142.381040,C1_43,31,0.09408
,,00142.401600,C1_44,9,0.0432
,,00142.414400,A4_12,5,0.18992
,,00141.845680,A4_32,69,0.786
,,00142.414320,A4_41,6,0.16088
,,00142.754240,C3_24,7,0.06592
,,00142.703440,C4_12,8,0.03392
,,00142.637760,C4_11,26,0.12216
,,00142.623040,C4_21,12,0.14784
,,00142.669360,C4_31,9,0.06384
,,00144.037120,D1_24,5,0.01184
,,00143.913440,D3_24,5,0.11144
,,00144.024800,B4_43,9,0.03504
,,00144.270800,B6_14,5,0.0156
,,00144.261440,B6_33,10,0.02288
