Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,04750.255440,A6_31,21,0.0624
,,04750.426320,A6_12,19,0.0552
,,04750.427280,A6_11,19,0.05
,,04750.437120,A6_32,8,0.02968
,,04750.421120,A6_44,5,0.05048
,,04750.435040,A6_31,13,0.04744
,,04750.574160,C3_24,26,0.26176
,,04750.583840,A6_11,31,0.13144
,,04750.584800,A6_31,17,0.12832
,,04751.109600,B3_22,7,0.01648
,,04750.583520,A6_12,52,0.38376
,,04750.816800,A6_11,18,0.15032
,,04751.113280,A6_11,6,0.01264
,,04750.438400,A6_42,46,0.52824
,,04751.113840,A6_42,5,0.01472
,,04750.270320,A6_43,46,0.70184
,,04750.811760,A6_32,10,0.15352
,,04750.249040,A6_21,119,0.72232
,,04751.110800,A6_21,8,0.0208
,,04750.813120,A6_31,13,0.15344
,,04750.249200,A6_22,115,0.7216
,,04751.108480,B3_21,18,0.11592
,,04751.109520,B3_31,38,0.11656
,,04751.115840,B3_11,17,0.09104
,,04751.109360,B3_12,19,0.10184
,,04751.093520,B3_23,14,0.07568
,,04751.083200,B3_14,28,0.12472
,,04751.096640,B3_33,23,0.0832
,,04751.091440,B3_24,17,0.08768
,,04751.095520,B3_34,21,0.07304
,,04751.101920,B3_32,33,0.09928
,,04751.098000,B3_43,35,0.11992
,,04751.096160,B3_44,15,0.07856
,,04751.103760,B3_42,29,0.09136
,,04751.195760,A4_23,5,0.0944
,,04751.204080,A4_41,13,0.17328
,,04751.112720,A6_12,8,0.05128
,,04751.110880,A6_22,10,0.05416
,,04751.321120,A3_41,10,0.18408
,,04751.326160,A3_21,26,0.18232
,,04751.314800,A3_31,29,0.1976
,,04751.303920,A3_11,20,0.20864
,,04751.326320,A3_12,41,0.18704
,,04751.308880,A3_13,49,0.2024
,,04751.317280,A3_23,21,0.18568
,,04751.307120,A3_14,52,0.2076
,,04751.311760,A3_34,31,0.19192
,,04751.317440,A3_32,30,0.18864
,,04751.314080,A3_44,53,0.19608
,,04751.312960,A3_43,60,0.20936
,,04751.331600,A4_12,9,0.20728
,,04751.192160,A4_21,15,0.366
,,04751.195040,A4_22,16,0.36376
,,04751.315440,A6_12,14,0.1
,,04751.573760,A6_12,7,0.01696
,,04751.314640,A6_11,13,0.09656
,,04751.574000,A6_11,6,0.01416
,,04751.320160,A6_42,12,0.09664
,,04751.579360,A6_42,5,0.0108
,,04751.326400,A6_43,7,0.08856
,,04751.320240,A6_32,7,0.08856
,,04751.312400,A6_21,18,0.10168
,,04751.571280,A6_21,9,0.02088
,,04751.320560,A6_31,7,0.08944
,,04751.312720,A6_22,18,0.10384
,,04751.573200,A6_22,9,0.02808
,,04751.655520,A4_12,5,0.07352
,,04751.197680,A4_32,72,0.57376
,,04751.671120,A4_22,5,0.08888
,,04751.869120,A6_12,7,0.01792
,,04751.869200,A6_11,6,0.01448
,,04751.874400,A6_42,5,0.01112
,,04751.881680,A6_43,5,0.01224
,,04751.867680,A6_21,10,0.024
,,04751.868240,B6_14,8,0.02336
,,04751.866160,B6_33,12,0.03224
,,04751.867600,B6_34,7,0.01856
,,04751.888400,A1_41,43,0.20856
,,04751.884160,A1_21,59,0.20928
,,04751.888320,A1_31,34,0.19768
,,04751.882880,A1_11,23,0.20456
,,04751.892160,A1_12,22,0.19256
,,04751.888160,A1_13,49,0.19712
,,04751.895760,A1_22,19,0.1868
,,04751.887520,A1_23,58,0.19984
,,04751.894960,A1_14,6,0.01488
,,04751.898880,A1_33,7,0.18256
,,04751.891360,A1_34,59,0.202
,,04751.896640,A1_43,26,0.18864
,,04751.873520,A4_32,12,0.10528
,,04751.829120,A5_14,7,0.102
,,04751.816480,A5_13,27,0.13504
,,04751.783920,A5_44,5,0.13048
,,04751.809120,A5_21,14,0.13448
,,04751.810400,A5_41,5,0.09368
,,04751.993760,D5_31,6,0.03064
,,04751.864400,A6_22,15,0.06
,,04751.866400,B6_23,15,0.03904
,,04751.866240,B6_44,7,0.0552
,,04751.871200,B6_21,9,0.08264
,,04751.874880,B6_22,12,0.0408
,,04751.989120,C6_13,11,0.0368
,,04751.979760,D6_21,16,0.13616
,,04752.072640,A6_12,12,0.10224
,,04752.068640,A6_11,13,0.10704
,,04752.077280,A6_42,12,0.10072
,,04752.081760,A6_43,7,0.09448
,,04752.068160,A6_21,20,0.1096
,,04752.077360,A6_31,7,0.0968
,,04752.067520,A6_22,24,0.11424
,,04752.451200,B4_33,7,0.0392
,,04752.417680,B4_34,6,0.07088
,,04752.434240,B4_42,6,0.05248
,,04752.422480,B4_43,14,0.06784
,,04752.454640,B4_21,5,0.034
,,04752.459040,A6_12,13,0.0852
,,04752.458640,A6_11,12,0.08376
,,04752.464080,A6_42,11,0.0804
,,04752.469920,A6_43,6,0.0624
,,04752.465760,A6_32,8,0.07616
,,04752.455600,A6_21,20,0.08936
,,04752.468000,A6_31,8,0.07272
,,04752.455920,A6_22,17,0.09256
,,04752.441280,D6_21,9,0.14136
,,04753.128800,B2_41,5,0.01272
,,04753.058400,A6_12,15,0.06944
,,04753.058000,A6_11,16,0.07008
,,04753.066720,A6_42,16,0.06456
,,04753.066160,A6_43,10,0.06552
,,04753.065280,A6_32,7,0.05328
,,04753.064640,A6_44,5,0.06176
,,04753.067760,A6_31,9,0.05496
,,04753.255440,B2_31,20,0.08968
,,04753.260240,B2_22,18,0.08904
,,04753.250160,B2_42,10,0.09312
,,04753.231360,A6_12,7,0.01752
,,04753.230400,A6_11,7,0.01824
,,04753.238560,A6_42,5,0.00984
,,04753.236000,A6_43,5,0.01576
,,04753.056800,A6_21,31,0.19648
,,04753.057280,A6_22,29,0.19584
,,04753.522160,B6_14,7,0.01752
,,04753.720800,D3_23,6,0.0144
,,04753.835760,D3_23,7,0.06088
,,04753.831360,D3_33,11,0.05576
,,04753.835360,D3_34,11,0.05672
,,04753.724080,D3_32,15,0.17152
,,04753.738720,D3_44,5,0.1292
,,04753.722000,D3_21,23,0.18424
,,04753.856480,D3_11,7,0.054
,,04754.040720,B6_12,11,0.04072
,,04754.050960,B6_11,28,0.08192
,,04754.022160,B6_33,27,0.074
,,04754.024800,B6_34,23,0.11544
,,04754.026880,B6_24,5,0.0484
,,04754.026320,B6_43,5,0.0584
,,04754.028560,B6_21,6,0.03384
,,04754.031200,B6_22,12,0.0488
,,04754.026560,B6_14,63,0.22656
,,04754.024880,B6_23,34,0.20216
,,04754.022000,B6_44,30,0.2124
,,04754.489840,B1_33,6,0.07456
,,04754.682800,A6_12,21,0.11416
,,04754.682720,A6_11,22,0.11416
,,04754.693040,A6_42,20,0.1052
,,04754.700000,A6_43,14,0.0984
,,04754.690320,A6_32,10,0.09528
,,04754.689520,A6_44,7,0.1076
,,04754.680960,A6_21,33,0.11616
,,04754.690080,A6_31,16,0.10456
,,04754.681680,A6_22,31,0.1256
,,04754.910880,D3_11,8,0.0448
,,04754.981120,A6_12,6,0.0184
,,04754.980480,A6_11,7,0.01912
,,04754.985520,A6_42,5,0.01344
,,04754.988400,A6_43,5,0.01032
,,04754.979360,A6_21,9,0.02176
,,04754.979360,A6_22,9,0.02232
,,04755.189840,A6_12,10,0.02568
,,04755.188800,A6_11,9,0.02416
,,04755.200400,A6_42,8,0.0216
,,04755.196320,A6_43,6,0.01784
,,04755.187040,A6_21,12,0.02864
,,04755.196640,A6_31,5,0.0132
,,04755.186960,A6_22,10,0.0372
,,04755.367120,B6_14,5,0.01112
,,04755.496560,A6_12,21,0.13096
,,04755.494960,A6_11,19,0.13056
,,04755.508880,A6_42,20,0.11984
,,04755.511520,A6_43,15,0.11232
,,04755.503840,A6_32,9,0.1116
,,04755.491920,A6_21,30,0.13552
,,04755.502000,A6_31,13,0.1216
,,04755.495280,A6_22,29,0.13616
,,04755.704160,C2_11,15,0.13256
,,04755.721840,C2_14,15,0.11272
,,04755.726320,C2_34,9,0.1128
,,04756.248560,D5_43,27,0.20224
,,04756.231200,D5_22,29,0.24616
,,04756.475200,D6_44,25,0.09656
,,04756.873520,A3_41,5,0.01992
,,04756.828960,B5_21,6,0.01928
,,04756.878640,A3_21,20,0.07488
,,04756.865920,A3_31,21,0.08624
,,04756.856000,A3_11,16,0.09928
