Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_12DIV_15-04-2023,00121.872720,B4_43,6,0.03416
Description,"WT hippocampal culture. Basal activity measured on 15.04.23, 12DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00121.945520,B6_14,5,0.028
Maestro Edge (Maestro-) Settings,,00122.062560,B6_33,7,0.06872
   Original File Time,04/15/2023 16:59:02,00122.567200,C2_11,8,0.03936
   Sampling Frequency,12.5 kHz,00122.400720,A6_22,6,0.01672
   Voltage Scale,5.484861781483107E-08 V/sample,00122.754240,A2_34,5,0.0576
   Experiment Start Time,04/15/2023 16:58:44,00123.111840,D1_24,5,0.01704
   Referencing Method,Median,00123.087440,A6_21,5,0.01576
   Acquire Viability,On,00123.085920,A6_22,9,0.02744
   Analog Mode Setting,Neural Spikes,00123.770640,B3_31,15,0.05008
   Plate Type,CytoView MEA 24,00123.773200,B3_12,8,0.03232
   Digital Low Pass Filter,3 kHz Kaiser Window,00123.648480,B3_23,12,0.15632
   Digital High Pass Filter,200 Hz IIR,00123.662960,B3_14,28,0.15304
   Temperature Set Point,37.0 Degrees C,00123.773440,B3_33,7,0.02528
   Current Temperature,37.0 Degrees C,00123.661680,B3_24,5,0.12904
   Heater Power,On,00123.664240,B3_34,20,0.14288
   Barcode Plate Type,TwentyFourWell,00123.747040,B3_32,19,0.05896
   Plate Serial Number,100-0914,00123.643840,B3_43,27,0.1604
   CO2 Conc. Set Point,5.0 %,00123.672640,B3_44,15,0.12712
   Actual CO2 Conc.,5.0 %,00123.751840,B3_42,19,0.05176
   Gas Mixer Status,Regulating,00123.796080,A6_22,6,0.01688
   AxIS Version,3.6.2.2,00123.858480,A2_32,16,0.20528
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00124.299280,D1_33,5,0.0312
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00124.304480,D1_24,13,0.03368
,,00124.304400,D1_34,6,0.03256
Spike Detector Settings,,00123.988960,A4_32,31,0.23448
   Method,Adaptive Threshold Crossing,00124.303120,D1_42,11,0.27872
   Threshold,6,00124.586080,B1_33,8,0.01904
   Threshold Status,Variable,00124.389600,A2_21,5,0.16504
   Threshold Crossing Only,True,00124.544480,A2_34,5,0.0328
   Pre-Spike Duration,0.84 ms,00124.515760,A6_21,9,0.0332
   Post-Spike Duration,2.16 ms,00124.475840,A6_22,10,0.05976
   Coincident Event Filter,Default (Well),00124.592880,B1_32,8,0.07328
   Coincidence Occurrence Threshold,4 Electrodes,00124.631360,C2_14,10,0.11912
   Coincidence Event Window,160 µs,00124.650560,A3_13,10,0.02864
   Allow Sample Overlap,false,00125.538080,A6_22,5,0.02912
   Spike Count Interval,1 s,00125.644240,A2_33,7,0.02864
,,00126.244480,A2_21,5,0.02048
Burst Detector Settings,,00126.268960,A6_22,28,0.2448
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00126.767920,A2_33,5,0.03048
   Maximum Inter-Spike Interval,100 ms,00126.707440,B6_33,6,0.058
   Minimum Number of Spikes,5,00126.839920,A1_21,57,0.17768
   Enable Network Burst Detection,False,00126.867280,A1_31,5,0.0912
   Synchrony Window,20 ms,00126.874800,A1_13,16,0.11016
,,00126.868320,A1_23,32,0.11904
,,00126.852160,A1_34,15,0.12832
,,00127.330800,A1_31,6,0.04992
,,00127.070560,C5_44,6,0.13352
,,00127.209440,A1_21,59,0.348
,,00127.333280,A1_13,31,0.2148
,,00127.333760,A1_23,40,0.2296
,,00127.335920,A1_34,29,0.2324
,,00127.526960,D4_32,5,0.04872
,,00127.330480,A6_21,10,0.09568
,,00127.142480,A6_22,26,0.26224
,,00127.720480,D1_24,5,0.03256
,,00128.053920,B3_14,8,0.03408
,,00128.072800,B3_32,5,0.01616
,,00128.062960,B3_44,5,0.01576
,,00128.144400,B6_23,5,0.01312
,,00128.293600,A6_22,14,0.19512
,,00128.607920,C5_44,5,0.18704
,,00128.645120,B6_14,25,0.21088
,,00128.642480,B6_12,6,0.13936
,,00128.744480,B6_11,6,0.038
,,00128.647280,B6_33,20,0.13136
,,00128.641600,B6_23,15,0.13056
,,00128.716400,B6_34,17,0.04944
,,00128.726960,B6_44,6,0.04584
,,00128.965680,A3_13,7,0.02224
,,00129.234000,A2_33,6,0.03192
,,00129.488000,A2_34,5,0.0424
,,00129.730640,A6_21,33,0.1372
,,00129.673200,A6_22,29,0.29504
,,00130.880640,B3_34,5,0.01184
,,00130.877760,B3_43,6,0.01784
,,00130.742880,A6_22,6,0.04712
,,00130.865680,B3_14,10,0.03624
,,00131.089680,D1_21,5,0.08232
,,00131.186160,D1_24,15,0.0504
,,00131.187920,D1_42,6,0.03472
,,00131.120160,C2_11,5,0.04312
,,00131.137040,A6_21,13,0.12432
,,00131.094080,A6_22,16,0.10816
,,00131.179440,B6_33,6,0.0344
,,00131.640320,B1_33,7,0.01976
,,00131.725920,A3_12,9,0.062
,,00131.701200,A3_13,43,0.18392
,,00131.740560,A3_22,11,0.112
,,00131.723600,A3_23,5,0.06312
,,00131.709760,A3_14,31,0.13088
,,00131.720080,A3_24,39,0.13128
,,00131.730720,A3_34,20,0.11376
,,00131.728000,A3_44,37,0.12072
,,00131.744240,A3_43,17,0.07768
,,00131.899840,B4_43,8,0.01688
,,00132.567680,A6_21,8,0.01968
,,00132.562960,A6_22,10,0.0272
,,00132.616560,D4_42,13,0.0692
,,00132.613760,D4_32,12,0.0872
,,00132.946160,A2_33,10,0.10552
,,00132.625280,C5_44,25,0.32192
,,00133.426320,A6_21,9,0.0584
,,00133.421600,A6_22,10,0.10632
,,00133.603280,A2_11,5,0.08992
,,00133.528000,A2_34,9,0.17848
,,00134.010400,C2_11,6,0.08496
,,00134.054960,A6_21,7,0.03384
,,00134.032000,A6_22,15,0.06376
,,00134.506480,B6_33,5,0.0172
,,00135.318000,B6_14,10,0.04152
,,00135.308800,B6_33,11,0.04232
,,00135.318880,B6_23,6,0.01336
,,00135.313040,B6_34,9,0.02832
,,00135.520720,B1_33,9,0.02232
,,00135.524320,B1_32,9,0.02576
,,00135.305360,A6_22,12,0.11824
,,00135.730800,D1_21,11,0.11416
,,00135.729840,D1_22,6,0.09784
,,00135.606240,D1_42,5,0.1632
,,00135.863120,A2_33,7,0.02856
,,00135.779600,A2_34,6,0.10912
,,00135.888320,A2_21,5,0.02368
,,00136.151840,A1_21,30,0.13
,,00136.074240,A2_11,9,0.12936
,,00136.228240,B4_34,5,0.01112
,,00136.226880,B4_43,6,0.01776
,,00136.321360,A6_22,14,0.12984
,,00136.723920,A2_34,6,0.15664
,,00136.862640,B4_43,6,0.02384
,,00136.833200,C1_23,10,0.08328
,,00136.835760,C1_33,6,0.07432
,,00136.967120,D4_42,14,0.0972
,,00136.857520,D4_32,16,0.18992
,,00137.119360,A6_21,36,0.27368
,,00137.119920,A6_22,38,0.30472
,,00138.264240,A6_22,7,0.12392
,,00138.505440,A3_43,5,0.0808
,,00138.575360,B6_14,14,0.0532
,,00138.566400,B6_33,18,0.06504
,,00138.575120,B6_23,8,0.06016
,,00138.570720,B6_34,16,0.04888
,,00138.581360,B6_44,6,0.05168
,,00138.773200,A6_21,5,0.0124
,,00138.773280,A6_22,6,0.01416
,,00138.958400,A3_13,7,0.02176
,,00139.348560,B3_12,5,0.03096
,,00139.312320,B3_32,9,0.06024
,,00139.308480,B3_43,20,0.08064
,,00139.309520,B3_42,11,0.02872
,,00139.312080,A6_21,5,0.01616
,,00139.313440,A6_22,9,0.02144
,,00139.305680,B3_14,22,0.17072
,,00139.308000,B3_34,11,0.1576
,,00139.375120,B6_14,6,0.1732
,,00139.842480,B4_43,5,0.01208
,,00140.017200,B1_33,9,0.02144
,,00139.944480,A6_21,5,0.01976
,,00139.944800,A6_22,7,0.10592
,,00140.273760,D4_42,13,0.07384
,,00140.275600,D4_32,11,0.06048
,,00140.563440,A6_21,5,0.01432
,,00140.563920,A6_22,7,0.02856
,,00140.703120,A4_32,25,0.19952
,,00141.147360,B1_33,12,0.25
,,00141.688160,A3_13,8,0.02568
,,00141.695040,A3_14,5,0.12744
,,00141.760480,A6_22,10,0.03984
,,00141.966480,C2_11,5,0.01256
,,00142.020160,B3_14,10,0.0416
,,00142.039200,B3_34,5,0.01072
,,00142.040560,B3_32,6,0.01584
,,00142.017440,B3_43,9,0.0408
,,00142.032800,B3_44,5,0.02
,,00142.042080,B6_14,6,0.03312
,,00141.979600,B6_33,7,0.06816
,,00142.362080,A6_21,5,0.01408
,,00142.362320,A6_22,10,0.02976
,,00142.596320,B1_33,9,0.04992
,,00142.608400,B1_32,5,0.02856
,,00142.699760,A2_33,10,0.13432
,,00143.014880,A6_21,5,0.02736
,,00143.014720,A6_22,11,0.03488
,,00143.146000,D1_24,20,0.07896
,,00143.147840,D1_42,7,0.11848
,,00144.087840,A6_21,5,0.1252
,,00143.984560,A6_22,15,0.23528
,,00144.318880,A6_21,6,0.1124
,,00144.408080,A6_22,9,0.158
,,00144.823520,A6_21,23,0.10064
,,00144.674960,A6_22,37,0.2512
,,00145.021280,B6_33,7,0.09664
,,00145.125840,B4_42,8,0.12104
,,00145.479040,B3_14,9,0.02464
,,00145.480400,B3_32,6,0.01872
,,00145.464800,B3_43,10,0.04056
,,00145.472720,B3_44,6,0.01464
,,00145.418800,A3_13,8,0.02152
,,00146.242880,A2_34,5,0.09336
,,00146.029360,A6_22,15,0.14768
,,00146.364880,B1_33,6,0.11144
,,00146.510960,A6_21,8,0.13736
,,00146.459840,A6_22,18,0.1436
,,00146.688960,C5_44,5,0.15744
,,00146.749440,A6_21,5,0.14808
,,00146.704640,A6_22,21,0.27064
,,00147.207680,C2_34,6,0.1628
,,00147.109200,D4_42,8,0.05584
,,00147.113200,D4_32,11,0.06232
,,00147.117680,B6_14,19,0.15768
,,00147.094560,B6_11,9,0.0732
,,00147.204480,B6_33,14,0.20168
,,00147.665920,C2_11,5,0.06544
,,00147.649760,C2_12,8,0.03928
,,00147.571600,C2_14,7,0.1548
,,00147.915920,C1_23,6,0.07168
,,00148.352640,A6_22,28,0.25072
,,00148.816480,B3_14,9,0.02648
,,00148.816160,B3_34,5,0.00976
,,00148.818400,B3_43,8,0.02408
,,00149.318320,A3_13,6,0.01536
,,00149.516560,D1_21,14,0.10208
,,00149.552960,D1_22,9,0.06896
,,00149.479280,B4_33,8,0.0412
,,00149.478960,B4_42,5,0.09744
,,00149.474320,B4_43,18,0.05384
,,00149.866400,D1_21,6,0.01736
,,00149.865760,D1_22,5,0.01456
,,00149.667120,D3_23,10,0.14784
,,00150.059760,A2_11,12,0.03344
,,00150.071360,A2_14,7,0.04512
,,00150.058480,A2_32,12,0.03336
,,00150.064080,A2_43,6,0.0248
,,00150.055120,A2_21,21,0.2108
,,00150.080800,A2_13,5,0.17688
,,00150.061680,A2_33,18,0.14216
,,00150.036320,A2_34,24,0.1752
,,00150.585840,B1_33,9,0.02792
,,00150.316160,A6_22,18,0.3832
,,00150.856400,C1_33,11,0.044
,,00150.845360,C1_43,13,0.07848
,,00150.886640,A3_13,6,0.01432
,,00151.455680,B3_23,5,0.07408
,,00151.509440,B3_14,8,0.02752
,,00151.455760,B3_34,6,0.07432
,,00151.506400,B3_43,8,0.03664
,,00151.521200,B3_44,6,0.01336
,,00151.714000,B1_33,5,0.00992
,,00151.601280,A6_21,12,0.10872
,,00151.611120,A6_22,10,0.09648
,,00151.638880,B6_14,6,0.0468
,,00152.078320,D1_24,14,0.03912
,,00152.080000,D1_42,5,0.0176
,,00151.824640,A6_21,14,0.28992
,,00152.076400,B6_33,7,0.05504
,,00152.229360,A6_21,5,0.09496
,,00152.600240,A6_12,9,0.044
,,00152.601760,A6_11,5,0.0316
,,00152.517680,A6_43,5,0.1268
,,00152.690160,A2_34,5,0.02864
,,00152.471920,A6_21,52,0.3156
,,00152.118560,A6_22,61,0.5448
,,00152.855840,A2_34,13,0.24216
,,00153.336000,A3_13,5,0.01136
,,00153.675920,C5_44,5,0.05544
,,00153.766400,B6_14,6,0.12408
,,00154.425280,B3_14,10,0.052
,,00154.436320,B3_34,5,0.0112
,,00154.438880,B3_43,7,0.02064
,,00154.850960,B4_33,10,0.03752
,,00154.855600,B4_34,7,0.02792
,,00154.865440,B4_42,5,0.01144
,,00154.855360,B4_43,14,0.03368
,,00154.885760,D4_42,12,0.10856
,,00154.883600,D4_32,7,0.10328
,,00155.371040,D1_24,6,0.02744
,,00155.092480,D4_33,9,0.17696
,,00155.159200,D4_42,9,0.11152
,,00155.140800,D4_32,14,0.1416
,,00155.966240,A2_33,8,0.034
,,00155.965280,A2_34,8,0.10528
,,00155.858000,A3_12,21,0.28712
,,00155.851040,A3_22,20,0.27888
,,00156.104560,A3_21,5,0.06288
,,00156.277440,A3_12,5,0.03464
,,00155.874720,A3_14,31,0.27712
,,00155.871600,A3_24,77,0.4524
,,00155.880160,A3_34,25,0.27376
,,00156.271200,A3_34,6,0.01648
,,00155.840000,A3_44,92,0.5084
,,00155.870320,A3_43,49,0.29656
,,00156.276720,A3_43,13,0.04616
,,00155.851600,A3_13,92,0.562
,,00156.809440,A2_33,6,0.0316
,,00156.811280,A2_34,6,0.02168
