Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_11-04-2023,00000.142480,A1_21,27,0.176
Description,"WT hippocampal culture. Basal activity measured on 11.04.23, 8DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914


",00000.328240,A1_23,10,0.12456
,,00001.231840,A6_22,5,0.03864
Maestro Edge (Maestro-) Settings,,00001.905520,B6_33,5,0.01776
   Original File Time,04/11/2023 16:36:02,00003.005440,B4_43,12,0.08584
   Sampling Frequency,12.5 kHz,00002.912960,A6_21,13,0.192
   Voltage Scale,5.484861781483107E-08 V/sample,00002.964800,A6_22,5,0.1564
   Experiment Start Time,04/11/2023 16:35:44,00003.383040,B4_43,6,0.112
   Referencing Method,Median,00004.037760,C2_12,5,0.11504
   Acquire Viability,On,00005.723360,B6_33,6,0.03944
   Analog Mode Setting,Neural Spikes,00005.995680,B3_32,5,0.03112
   Plate Type,CytoView MEA 24,00006.170640,A2_33,5,0.02208
   Digital Low Pass Filter,3 kHz Kaiser Window,00006.942560,B6_14,5,0.17792
   Digital High Pass Filter,200 Hz IIR,00006.926800,B6_33,7,0.05232
   Temperature Set Point,37.0 Degrees C,00008.336160,A6_22,5,0.05504
   Current Temperature,37.0 Degrees C,00008.325360,A1_21,41,0.22584
   Heater Power,On,00008.467040,B6_33,5,0.01944
   Barcode Plate Type,TwentyFourWell,00008.702640,C1_23,31,1.3012
   Plate Serial Number,100-0914,00010.195120,B6_14,5,0.10568
   CO2 Conc. Set Point,5.0 %,00010.149680,B6_33,5,0.06368
   Actual CO2 Conc.,4.9 %,00011.267200,A6_22,5,0.06064
   Gas Mixer Status,Regulating,00011.744400,B6_33,6,0.0724
   AxIS Version,3.6.2.2,00012.835760,B6_14,9,0.23192
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00012.879600,B6_33,16,0.15616
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00012.913680,B6_34,5,0.09056
,,00013.819360,B3_14,23,0.23152
AxIS Playback,,00016.616080,D3_33,7,0.0724
   AxIS Version,3.6.2.2,00016.589440,A6_22,8,0.0684
