Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,12730.265200,A6_43,24,0.13552
,,12730.204000,A6_22,53,0.21472
,,12730.656560,D1_42,14,0.1508
,,12730.563360,A6_32,9,0.21792
,,12730.403040,D1_24,84,0.54672
,,12730.906160,B1_33,8,0.02304
,,12730.907600,B1_32,8,0.02328
,,12730.563680,A6_12,51,0.38864
,,12730.564080,A6_11,38,0.38728
,,12730.563760,A6_42,24,0.39664
,,12730.568080,A6_43,37,0.38784
,,12730.205680,A6_21,130,0.7488
,,12730.564400,A6_31,25,0.38424
,,12730.557200,A6_22,91,0.40256
,,12731.182720,D3_44,6,0.05512
,,12731.255920,B6_33,5,0.17024
,,12731.695200,B4_12,5,0.02128
,,12731.682800,B4_33,12,0.06632
,,12731.680320,B4_34,6,0.01784
,,12731.683520,B4_24,21,0.06968
,,12731.683760,B4_42,12,0.05008
,,12731.681440,B4_43,13,0.03816
,,12731.681440,B4_44,6,0.0196
,,12731.683600,B4_21,9,0.06512
,,12732.116720,C3_21,5,0.02904
,,12732.118720,C3_24,33,0.33688
,,12732.422880,B5_14,10,0.03008
,,12732.407760,B5_13,14,0.0444
,,12732.425440,B5_21,31,0.09416
,,12732.737040,B6_44,43,0.18824
,,12733.157600,B1_33,5,0.0548
,,12733.455840,B6_12,10,0.1248
,,12733.459920,B6_11,42,0.14496
,,12733.419680,B6_33,40,0.13512
,,12733.433760,B6_23,52,0.16544
,,12733.431600,B6_34,36,0.12112
,,12733.442160,B6_43,6,0.08392
,,12733.438480,B6_44,29,0.16184
,,12733.443440,B6_22,5,0.02736
,,12733.435120,B6_14,67,0.33528
,,12733.765920,D1_21,30,0.15144
,,12733.765920,D1_31,15,0.14288
,,12733.767360,D1_22,31,0.15592
,,12733.832880,D1_24,17,0.08576
,,12734.636400,A2_11,5,0.01832
,,12734.995520,C1_23,5,0.05088
,,12735.573440,B1_33,6,0.04656
,,12736.356800,D1_33,6,0.01328
,,12736.359760,D1_24,6,0.01536
,,12736.493440,D1_21,38,0.12304
,,12736.493520,D1_31,14,0.11544
,,12736.562960,D1_11,6,0.03984
,,12736.502720,D1_22,37,0.11616
,,12736.509600,D1_24,17,0.1064
,,12737.716640,B6_14,5,0.01208
,,12737.671760,B6_33,11,0.10216
,,12737.717680,B6_23,6,0.01712
,,12738.122000,A5_14,8,0.04728
,,12738.134640,A5_13,6,0.0288
,,12738.123840,A5_21,8,0.04192
,,12738.463600,C2_11,5,0.0512
,,12738.422640,B6_12,10,0.11
,,12738.329200,B6_11,45,0.24048
,,12738.290240,B6_33,44,0.27832
,,12738.430960,B6_23,45,0.13792
,,12738.430320,B6_34,42,0.12584
,,12738.442320,B6_43,14,0.05984
,,12738.356000,B6_44,40,0.21368
,,12738.338240,B6_14,60,0.41664
,,12738.913920,D1_24,5,0.01112
,,12739.831360,B4_33,6,0.01912
,,12739.833200,B4_24,10,0.07832
,,12739.828240,B4_43,9,0.09824
,,12740.592480,C2_14,7,0.0248
,,12740.593280,C2_34,7,0.0284
,,12740.491520,B6_33,5,0.14592
,,12740.995440,B6_14,7,0.13248
,,12741.571360,B6_43,7,0.0212
,,12741.697280,D1_24,6,0.01704
,,12741.872080,B4_43,6,0.0156
,,12741.548080,B6_14,59,0.33536
,,12741.601200,B6_11,6,0.0668
,,12741.558960,B6_33,44,0.13456
,,12741.567120,B6_23,44,0.12648
,,12741.549600,B6_34,47,0.14568
,,12741.567040,B6_44,38,0.15224
,,12741.573920,B6_22,6,0.1052
,,12742.646560,D1_33,5,0.01504
,,12742.648080,D1_24,5,0.01264
,,12742.817760,C1_11,9,0.0316
,,12742.837120,B6_14,5,0.10056
,,12743.259360,B5_14,13,0.06008
,,12743.254640,B5_12,6,0.04408
,,12743.251520,B5_13,19,0.0672
,,12743.270800,B5_21,16,0.0532
,,12743.543120,D3_21,18,0.06312
,,12743.531680,D3_23,6,0.06968
,,12743.523200,D3_33,17,0.08016
,,12743.483120,D3_34,9,0.14648
,,12743.390720,D3_32,12,0.20856
,,12743.498640,D3_44,5,0.06616
,,12743.481120,B6_33,31,0.0916
,,12743.483360,B6_23,33,0.09368
,,12743.412080,B6_34,30,0.16544
,,12743.504560,B6_43,6,0.02512
,,12743.485600,B6_44,35,0.13304
,,12743.490080,B6_22,5,0.0236
,,12743.410960,B6_14,41,0.28392
,,12744.498400,B4_43,5,0.01568
,,12745.512240,B6_34,31,0.11192
,,12745.504720,B6_24,5,0.10696
,,12745.518400,B6_43,7,0.05992
,,12745.675280,B5_14,8,0.02832
,,12745.682800,B5_12,6,0.01752
,,12745.675520,B5_13,7,0.0252
,,12745.683360,B5_21,7,0.02736
,,12745.493760,B6_14,59,0.1788
,,12745.503440,B6_33,42,0.1616
,,12745.503360,B6_23,52,0.16288
,,12745.503760,B6_44,38,0.16248
,,12745.510960,B6_22,6,0.142
,,12746.465920,C3_21,12,0.07824
,,12746.491840,C4_11,11,0.18488
,,12746.589280,C4_21,39,0.238
,,12747.372480,D1_24,5,0.03152
,,12747.489280,D4_14,6,0.01344
,,12748.093440,B6_11,5,0.05392
,,12748.068880,B6_22,5,0.04008
,,12748.264880,B3_21,15,0.05504
,,12748.264080,B3_31,22,0.064
,,12748.268240,B3_11,7,0.04192
,,12748.264960,B3_12,17,0.06264
,,12748.264400,B3_22,7,0.03472
,,12748.260080,B3_23,9,0.05072
,,12748.257280,B3_14,11,0.05136
,,12748.258480,B3_33,16,0.05352
,,12748.257360,B3_24,7,0.05368
,,12748.257680,B3_34,12,0.0512
,,12748.254080,B3_32,20,0.0716
,,12748.254080,B3_44,11,0.05056
,,12748.258080,B3_42,24,0.06728
,,12748.048400,B6_14,60,0.18064
,,12748.050400,B6_33,42,0.17536
,,12748.049440,B6_23,49,0.17408
,,12748.051120,B6_34,45,0.18144
,,12748.065120,B6_24,5,0.14616
,,12748.063040,B6_44,36,0.1488
,,12748.255760,B3_43,33,0.25096
,,12748.486880,B4_24,7,0.018
,,12748.484240,B4_43,7,0.01512
,,12748.792240,D4_14,5,0.01128
,,12749.489840,D1_24,5,0.07616
,,12749.433040,B1_33,7,0.02576
,,12749.435760,B1_32,5,0.01176
,,12749.720240,C2_11,10,0.08656
,,12749.719920,C2_12,6,0.09296
,,12749.720640,C2_14,11,0.07112
,,12749.735360,C2_34,5,0.05424
,,12749.737120,B6_14,6,0.06568
,,12749.739920,B6_12,6,0.11512
,,12749.706880,B6_11,53,0.15176
,,12749.643200,A3_41,12,0.33376
,,12749.470320,A3_21,41,0.51464
,,12749.457440,A3_31,35,0.5236
,,12749.442640,A3_11,38,0.5468
,,12749.444480,A3_12,56,0.5456
,,12749.446880,A3_13,78,0.54664
,,12749.445520,A3_22,65,0.54128
,,12749.455760,A3_23,22,0.52912
,,12749.444880,A3_14,74,0.54736
,,12749.453360,A3_24,81,0.54096
,,12749.447680,A3_34,50,0.54256
,,12749.451920,A3_32,54,0.53944
,,12749.448320,A3_44,91,0.54384
,,12749.443840,A3_43,95,0.55608
,,12750.419280,B4_33,12,0.06528
,,12750.420880,B4_24,21,0.064
,,12750.420720,B4_42,11,0.0512
,,12750.417120,B4_43,18,0.06888
,,12750.419920,B4_21,8,0.06272
,,12750.551360,B5_14,15,0.06928
,,12750.558560,B5_12,7,0.04984
,,12750.542640,B5_13,19,0.06568
,,12750.560400,B5_21,19,0.06008
,,12751.012960,B1_33,5,0.01216
,,12751.286800,D1_21,5,0.05
,,12751.283520,D1_31,6,0.08224
,,12751.248480,D1_24,5,0.01112
,,12751.042080,B6_33,5,0.13224
,,12751.775680,B6_12,8,0.11416
,,12751.781200,B6_33,30,0.11536
,,12751.782560,B6_34,32,0.09192
,,12751.798080,B6_43,6,0.02408
,,12751.792400,B6_22,5,0.02696
,,12751.774080,B6_14,44,0.13328
,,12751.783840,B6_11,43,0.12608
,,12751.782560,B6_23,39,0.11912
,,12751.785760,B6_44,39,0.14976
,,12752.264640,B1_33,5,0.03704
,,12752.621200,B4_33,5,0.01288
,,12752.619360,B4_34,5,0.01128
,,12752.623040,B4_24,6,0.01368
,,12752.616480,B4_43,7,0.01904
,,12752.703440,D1_21,6,0.20128
,,12752.689120,D1_31,9,0.21208
,,12753.066960,D1_31,5,0.074
,,12753.707840,D4_34,6,0.05936
,,12753.685840,D4_42,15,0.08144
,,12753.697360,D4_43,18,0.07008
,,12753.672240,D4_32,31,0.09824
,,12753.778560,B6_22,5,0.12128
,,12753.752000,B6_14,57,0.20304
,,12753.760400,B6_33,39,0.15448
,,12753.754000,B6_23,43,0.15512
,,12753.764080,B6_34,39,0.1544
,,12753.768800,B6_44,32,0.18368
,,12754.914000,B6_14,42,0.186
,,12754.901920,B6_33,36,0.1352
,,12754.914080,B6_23,42,0.11776
,,12754.904800,B6_34,31,0.16464
,,12754.902560,B6_44,37,0.15264
,,12755.300240,D1_33,9,0.02968
,,12755.301760,D1_24,15,0.0392
,,12755.302560,D1_34,6,0.02304
,,12755.329200,D3_21,19,0.05408
,,12755.242000,D3_23,9,0.13752
,,12755.238720,D3_33,17,0.13704
,,12755.302560,D3_34,11,0.07696
,,12755.243200,D3_32,9,0.1344
,,12755.867600,B5_13,5,0.03104
,,12756.301520,B6_33,6,0.02304
,,12756.353760,B1_33,11,0.11872
,,12756.215760,B6_14,16,0.27624
,,12757.082240,D1_24,7,0.01624
,,12756.974800,A6_12,27,0.10736
,,12756.971040,A6_11,26,0.11232
,,12756.976320,A6_42,17,0.10784
,,12757.014080,A6_43,7,0.06704
,,12756.977280,A6_32,10,0.10184
,,12756.970400,A6_21,37,0.1192
,,12757.011440,A6_31,18,0.06392
,,12756.968640,A6_22,38,0.12008
,,12757.056640,B6_24,7,0.07768
,,12757.066080,B6_43,13,0.06136
,,12757.276560,B4_43,6,0.01408
,,12757.037440,B6_14,46,0.15592
,,12757.039120,B6_12,9,0.1272
,,12757.040800,B6_11,45,0.1448
,,12757.048000,B6_33,36,0.1024
,,12757.045440,B6_23,35,0.10784
,,12757.048800,B6_34,37,0.1076
,,12757.012560,B6_44,40,0.1564
,,12757.382160,A5_14,10,0.108
,,12757.393040,A5_13,16,0.08408
,,12757.384800,A5_21,8,0.03184
,,12758.592160,D1_24,11,0.02592
,,12758.521680,B2_31,5,0.05976
,,12758.517200,B2_22,19,0.07584
,,12758.800160,C2_11,5,0.04784
,,12758.799280,C2_12,5,0.01448
,,12758.799920,C2_14,14,0.08088
,,12758.808720,C2_34,5,0.06664
,,12759.311040,B3_21,8,0.0184
,,12759.308720,B3_31,13,0.03776
,,12759.315040,B3_11,7,0.02696
,,12759.312960,B3_12,12,0.03272
,,12759.305760,B3_23,5,0.0124
,,12759.302560,B3_14,9,0.03232
,,12759.303440,B3_33,10,0.02616
,,12759.303680,B3_24,8,0.01928
,,12759.301760,B3_34,11,0.02736
,,12759.307200,B3_32,10,0.04408
,,12759.300960,B3_43,13,0.04928
,,12759.300720,B3_44,10,0.02896
,,12759.303760,B3_42,11,0.02824
,,12759.131520,B5_14,7,0.032
,,12759.561760,B1_33,8,0.07224
,,12760.189280,B6_33,8,0.03456
,,12760.202000,B6_23,5,0.02376
,,12761.325680,A2_21,6,0.01784
,,12761.325840,A2_11,6,0.01648
,,12761.230000,B4_24,6,0.09056
,,12761.230960,B4_42,5,0.09024
,,12761.232720,B4_43,6,0.08816
,,12761.824800,B5_13,5,0.01824
,,12762.084320,C3_21,6,0.03024
,,12761.988160,B6_12,6,0.08584
,,12761.921200,B6_11,44,0.16784
,,12761.880640,B6_33,51,0.19896
,,12761.891360,B6_23,55,0.18112
,,12761.883200,B6_34,41,0.19384
,,12761.896800,B6_43,11,0.06752
,,12761.885760,B6_44,48,0.17488
,,12761.843040,B6_14,65,0.30768
,,12762.718800,D1_24,7,0.0156
,,12763.239040,B4_43,6,0.01416
,,12763.232640,D4_14,13,0.11464
,,12763.338160,D4_34,6,0.05032
,,12763.328720,D4_43,19,0.07104
,,12763.326560,D4_42,15,0.07488
,,12763.267440,D4_32,27,0.1352
,,12763.669520,A2_21,5,0.0104
,,12763.559440,B6_11,42,0.14296
,,12763.944480,D1_24,5,0.01264
,,12763.945520,D1_42,5,0.01168
,,12764.078400,B1_33,7,0.0152
,,12764.082800,B1_32,8,0.0228
,,12765.126240,B4_43,5,0.00944
,,12765.236640,D1_24,5,0.01176
,,12765.184240,D4_34,8,0.052
,,12765.172960,D4_42,12,0.05568
,,12765.177200,D4_43,18,0.06256
,,12765.158080,D4_32,23,0.08384
,,12765.300400,B6_33,8,0.04064
,,12765.303120,B6_23,5,0.02664
,,12765.309680,A3_41,11,0.20824
,,12765.294800,A3_31,21,0.23672
,,12765.407520,D4_14,10,0.20192
,,12765.611440,B6_14,5,0.03096
,,12765.636160,A3_41,5,0.0516
,,12765.300560,A3_21,43,0.39088
,,12765.284880,A3_11,35,0.41056
,,12765.288000,A3_12,49,0.41648
,,12765.288240,A3_13,71,0.4208
,,12765.294800,A3_22,53,0.40648
,,12765.299840,A3_23,17,0.394
,,12765.286960,A3_14,63,0.41432
,,12765.294240,A3_24,69,0.41048
,,12765.289840,A3_34,38,0.40976
,,12765.296000,A3_32,46,0.4012
,,12765.291120,A3_44,89,0.44736
,,12765.285920,A3_43,80,0.41848
,,12765.486560,D4_34,10,0.31728
,,12765.968240,C2_14,11,0.08792
,,12765.842720,A3_21,6,0.0852
,,12765.842880,A3_31,6,0.08192
,,12765.804800,A3_11,8,0.12096
,,12765.842160,A3_12,9,0.08064
,,12765.841840,A3_13,14,0.08456
,,12765.841920,A3_22,13,0.08232
,,12765.847840,A3_23,5,0.07152
,,12765.847200,A3_14,14,0.0872
,,12765.848400,A3_24,16,0.08712
,,12765.848400,A3_34,7,0.07024
,,12765.843920,A3_32,6,0.07504
,,12765.847520,A3_44,14,0.0808
,,12765.847600,A3_43,13,0.07912
,,12765.492720,D4_42,45,0.44216
,,12765.479600,D4_43,49,0.43928
,,12765.471920,D4_32,77,0.47032
,,12765.967200,C3_24,39,0.26896
,,12766.826880,A6_12,5,0.02304
,,12766.825040,A6_21,9,0.02416
,,12766.758880,A6_22,8,0.08464
,,12767.025040,B4_24,5,0.01064
,,12767.057600,A6_32,11,0.12784
,,12767.058000,A6_31,17,0.13088
,,12767.061120,A6_12,70,0.56512
,,12767.062560,A6_11,64,0.56328
,,12767.063600,A6_42,42,0.56656
,,12767.056720,A6_43,59,0.57752
,,12767.293920,A6_32,11,0.3276
,,12767.055280,A6_21,95,0.57
,,12767.293520,A6_31,21,0.3324
,,12767.016640,A6_22,108,0.61472
,,12767.484080,B6_14,9,0.028
,,12767.495920,B6_11,41,0.11872
,,12767.492960,B6_33,5,0.0244
,,12767.489200,B6_23,5,0.02864
,,12768.051120,D1_21,23,0.17312
,,12768.045840,D1_31,25,0.16096
,,12768.050000,D1_42,20,0.15112
,,12768.267200,B6_14,5,0.11368
,,12768.189840,B6_33,13,0.11424
,,12768.425360,B3_21,7,0.02472
,,12768.423760,B3_31,11,0.02824
,,12768.429760,B3_11,5,0.0148
,,12768.425040,B3_12,10,0.03336
,,12768.418160,B3_33,7,0.01848
,,12768.417920,B3_24,6,0.01368
,,12768.418880,B3_34,7,0.0228
,,12768.414480,B3_32,9,0.03216
,,12768.416800,B3_43,11,0.0356
,,12768.415760,B3_44,9,0.02688
,,12768.419200,B3_42,11,0.03712
,,12768.639200,B3_21,44,0.50464
,,12768.640560,B3_11,17,0.50184
,,12768.638400,B3_12,41,0.50808
,,12768.638480,B3_22,13,0.49592
,,12768.628320,B3_23,47,0.51216
,,12768.417680,B3_14,137,0.72456
,,12768.628080,B3_33,49,0.5144
,,12768.625360,B3_24,62,0.5128
,,12768.627520,B3_34,69,0.51672
,,12768.631920,B3_32,68,0.51368
,,12768.628160,B3_44,68,0.51904
,,12768.630160,B3_42,71,0.51352
,,12769.008640,A4_12,7,0.04712
,,12768.989040,A4_22,5,0.09384
,,12769.086880,B4_24,5,0.0124
,,12769.007440,B4_43,8,0.09488
,,12768.623120,B3_31,65,0.52696
,,12768.624160,B3_43,92,0.54344
,,12768.977760,A4_32,34,0.27296
,,12768.974080,A4_41,15,0.26824
,,12768.976960,A4_31,15,0.26952
,,12769.152080,B6_14,47,0.23072
,,12769.152800,B6_33,45,0.13192
,,12769.155120,B6_23,48,0.142
,,12769.158400,B6_34,37,0.12752
,,12769.163280,B6_24,7,0.07152
,,12769.195120,B6_43,5,0.01168
,,12769.165200,B6_44,40,0.17752
,,12769.167840,B6_22,5,0.05848
,,12769.664720,A1_41,19,0.09224
,,12769.662800,A1_21,36,0.09928
,,12769.684000,A1_31,18,0.05888
,,12769.679200,A1_11,8,0.06672
,,12769.686560,A1_22,9,0.0568
,,12769.687360,A1_43,10,0.05792
,,12769.888800,A1_14,6,0.21944
,,12769.878560,A1_43,11,0.27192
,,12770.654320,D1_24,5,0.01312
,,12770.757920,C1_23,10,0.10656
,,12770.772080,C1_33,21,0.09832
,,12770.788640,C1_43,32,0.09568
,,12769.886160,A1_41,81,0.81232
,,12769.875440,A1_21,138,0.82656
,,12769.879840,A1_31,39,0.8136
,,12769.883280,A1_11,40,0.8076
,,12769.883760,A1_12,23,0.8052
,,12769.680080,A1_13,135,1.02488
,,12769.879120,A1_22,32,0.81432
,,12769.677840,A1_23,148,1.02408
,,12769.686240,A1_33,55,1.01032
,,12769.680800,A1_34,187,1.02592
,,12770.252000,A1_43,9,0.44024
,,12770.887760,B6_14,5,0.03056
,,12771.460400,B6_33,7,0.118
,,12772.302320,A2_34,6,0.01792
,,12772.943600,B6_34,47,0.18264
,,12772.944560,B6_24,5,0.07272
,,12772.959920,B6_43,15,0.1028
,,12772.951600,B6_22,7,0.02664
,,12772.935520,B6_14,64,0.24848
,,12773.058240,B6_12,6,0.10136
,,12772.940800,B6_11,47,0.22368
,,12772.943920,B6_33,53,0.20664
,,12772.944160,B6_23,54,0.20648
,,12772.944480,B6_44,50,0.20736
,,12773.489200,C2_11,7,0.0676
,,12773.539040,C2_12,8,0.04176
,,12773.540800,C2_14,8,0.03296
,,12773.550640,C2_34,5,0.06272
,,12773.739280,A2_21,5,0.01376
,,12773.738800,A2_11,5,0.01056
,,12774.251600,B4_43,5,0.02072
,,12774.677360,B1_33,14,0.0592
,,12774.679760,B1_32,8,0.04992
,,12775.318800,C1_43,5,0.02536
,,12776.344560,D1_24,5,0.01128
,,12776.356160,B6_33,5,0.02144
,,12776.789520,A2_21,5,0.0128
,,12776.787280,A2_11,5,0.01632
,,12776.813920,B6_14,52,0.23576
,,12776.869920,B6_11,38,0.14176
,,12776.869360,B6_33,52,0.21672
,,12776.855040,B6_23,51,0.1672
,,12776.872320,B6_34,53,0.15208
,,12776.866880,B6_24,5,0.13232
,,12776.877600,B6_43,23,0.0964
,,12776.868400,B6_44,61,0.2124
,,12777.292000,B1_33,5,0.0504
,,12777.631680,D1_24,6,0.0132
,,12778.439840,C1_43,6,0.02368
,,12778.589920,B4_43,5,0.01072
,,12778.696240,B3_21,15,0.05416
,,12778.694560,B3_31,23,0.06016
,,12778.699200,B3_11,8,0.03248
,,12778.697040,B3_12,19,0.05704
,,12778.694320,B3_22,5,0.01992
,,12778.687520,B3_23,15,0.05568
,,12778.664800,B3_14,44,0.17128
,,12778.689760,B3_33,21,0.05816
,,12778.680960,B3_24,15,0.06136
,,12778.686160,B3_34,24,0.07112
,,12778.691360,B3_32,21,0.06264
,,12778.674880,B3_43,30,0.07936
,,12778.666000,B3_44,22,0.07632
,,12778.690720,B3_42,23,0.06208
,,12778.636640,B6_33,48,0.2
,,12778.686560,B6_23,40,0.146
,,12778.694640,B6_34,44,0.14512
,,12778.675280,B6_24,6,0.15304
,,12778.712320,B6_43,12,0.10176
,,12778.673120,B6_44,40,0.19576
,,12778.826560,A3_41,14,0.14904
,,12778.830080,A3_21,31,0.152
,,12778.828320,A3_31,21,0.14488
,,12778.813200,A3_11,26,0.1632
,,12778.812720,A3_12,32,0.1672
,,12778.816480,A3_13,51,0.17152
,,12778.821120,A3_22,40,0.15776
,,12778.825920,A3_23,12,0.14176
,,12778.815440,A3_14,47,0.15168
,,12778.838240,A3_33,5,0.12096
,,12778.822960,A3_24,52,0.15552
,,12778.818080,A3_34,24,0.14608
,,12778.822400,A3_32,26,0.1536
,,12778.819360,A3_44,58,0.1652
