Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00007.397360,B4_34,5,0.01376
,,00007.403280,B4_42,7,0.01472
,,00007.398720,B4_43,8,0.02224
,,00007.399360,B4_44,5,0.01136
,,00007.707760,B6_14,6,0.11472
,,00008.271680,B6_14,6,0.03752
,,00008.994560,B4_43,6,0.016
,,00009.428880,D1_21,5,0.04312
,,00010.133680,A2_34,5,0.09088
,,00010.352240,B6_14,7,0.07072
,,00010.895440,C2_14,5,0.01072
,,00011.432960,B6_14,6,0.03432
,,00011.807200,B4_42,5,0.01256
,,00011.802960,B4_43,7,0.01656
,,00011.680240,B6_44,7,0.18776
,,00012.209680,B6_14,6,0.03752
,,00012.631440,C3_24,42,0.25352
,,00013.333920,B4_43,5,0.01224
,,00013.120160,B6_14,5,0.03728
,,00013.479840,A2_13,5,0.02024
,,00013.477920,A2_33,7,0.01856
,,00013.460160,A2_34,12,0.05848
,,00013.763440,D1_33,11,0.05376
,,00013.765840,D1_34,7,0.04728
,,00013.766080,D1_42,11,0.07056
,,00013.658400,D3_21,15,0.182
,,00013.714640,D3_33,6,0.12136
,,00013.699760,D3_44,6,0.03232
,,00013.846800,A6_11,6,0.02104
,,00013.846880,A6_21,9,0.02664
,,00013.791360,A6_22,10,0.08472
,,00013.774880,D1_21,21,0.15688
,,00013.775120,D1_31,16,0.13208
,,00014.291440,D1_33,6,0.02336
,,00014.417440,D1_33,5,0.02192
,,00013.765040,D1_24,121,0.68136
,,00014.414160,D1_34,5,0.0256
,,00014.621520,D1_33,13,0.12824
,,00014.606080,D1_24,40,0.1496
,,00014.620960,D1_34,8,0.12736
,,00014.662960,C1_21,7,0.05704
,,00014.665360,C1_31,5,0.05528
,,00014.654160,C1_11,19,0.08
,,00014.655200,C1_12,6,0.05384
,,00014.672240,C1_13,16,0.07192
,,00014.665440,C1_23,23,0.11376
,,00014.668560,C1_33,36,0.14032
,,00014.671680,C1_43,33,0.11664
,,00014.849520,B4_33,5,0.01336
,,00014.846960,B4_43,7,0.01952
,,00014.938400,D1_21,16,0.12672
,,00014.946400,D1_31,11,0.0768
,,00014.960560,D1_42,5,0.05344
,,00015.024000,A4_41,8,0.02232
,,00014.858000,B4_31,5,0.10344
,,00014.992800,B6_14,6,0.03304
,,00015.042800,A4_12,11,0.26408
,,00015.024560,A4_32,42,0.30512
,,00015.188240,A4_21,5,0.12432
,,00015.037120,A4_22,11,0.23032
,,00015.757280,B6_14,5,0.03496
,,00015.444640,B6_33,8,0.29368
,,00015.982160,A2_34,8,0.03048
,,00016.484000,C3_24,54,0.23784
,,00017.085600,B4_34,5,0.01208
,,00017.090960,B4_42,9,0.03504
,,00017.087360,B4_44,6,0.01888
,,00017.099680,B4_11,8,0.08048
,,00017.089360,B4_33,21,0.09192
,,00017.090000,B4_24,31,0.09728
,,00017.086320,B4_43,19,0.09672
,,00017.083040,B6_14,9,0.09384
,,00017.790720,A3_41,6,0.03496
,,00017.816080,A3_23,10,0.04624
,,00017.822960,A3_21,21,0.1736
,,00017.819360,A3_31,28,0.18168
,,00017.771760,A3_11,26,0.2292
,,00017.774320,A3_12,32,0.2324
,,00017.776160,A3_13,52,0.24088
,,00017.774880,A3_22,36,0.22888
,,00017.774560,A3_14,52,0.22576
,,00017.792080,A3_24,54,0.212
,,00017.778800,A3_34,34,0.21936
,,00017.815920,A3_32,34,0.18224
