Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,06642.768480,B6_14,7,0.03344
,,06643.202080,D4_14,27,0.76288
,,06644.321040,D3_21,6,0.01336
,,06644.831600,C1_21,11,0.1432
,,06644.836640,C1_11,29,0.14832
,,06644.832960,C1_12,13,0.1424
,,06644.832720,C1_13,31,0.164
,,06644.823600,C1_23,56,0.17464
,,06644.820720,C1_33,53,0.17464
,,06644.825120,C1_34,24,0.17368
,,06644.816960,C1_43,47,0.17752
,,06644.814080,C1_44,19,0.17696
,,06645.728320,B5_13,7,0.06064
,,06645.743840,B5_21,9,0.03768
,,06648.938640,D3_21,6,0.01376
,,06649.860080,B6_33,6,0.09312
,,06650.125360,D4_14,14,0.24728
,,06651.283360,B5_21,5,0.0108
,,06653.346800,C1_31,5,0.01544
,,06653.340480,C1_32,5,0.03
,,06653.350560,C1_11,26,0.1064
,,06653.346480,C1_12,9,0.0972
,,06653.345440,C1_13,24,0.1208
,,06653.337760,C1_23,44,0.12992
,,06653.333680,C1_33,42,0.12128
,,06653.336160,C1_34,25,0.106
,,06653.330560,C1_43,33,0.11032
,,06653.325680,C1_44,16,0.1136
,,06654.744480,B5_21,7,0.02248
,,06655.478160,D4_14,11,0.18008
,,06655.854160,D4_14,12,0.20768
,,06656.143680,B6_33,5,0.03968
,,06657.145280,C3_21,17,0.08032
,,06657.141840,C3_11,5,0.084
,,06657.818640,B5_21,5,0.01064
,,06658.707520,D3_21,8,0.02432
,,06658.725120,D3_33,6,0.04032
,,06660.521520,D4_14,6,0.11264
,,06660.761840,D4_14,6,0.08984
,,06662.850960,C1_31,6,0.08168
,,06662.855520,C1_11,21,0.08016
,,06662.850960,C1_12,8,0.1052
,,06662.849520,C1_13,20,0.09832
,,06662.840880,C1_23,42,0.12888
,,06662.837440,C1_33,39,0.11792
,,06662.842080,C1_34,23,0.11928
,,06662.849840,C1_32,5,0.10168
,,06662.832480,C1_43,33,0.11736
,,06662.829600,C1_44,12,0.11912
,,06663.042000,B5_21,8,0.03264
,,06663.248640,C2_14,9,0.07288
,,06665.245200,D4_14,13,0.3356
,,06665.609920,D6_44,24,0.09856
,,06666.816800,D3_21,7,0.01768
,,06668.086240,C1_21,6,0.07856
,,06668.086720,C1_31,8,0.08
,,06668.090080,C1_11,23,0.08952
,,06668.086960,C1_12,11,0.08624
,,06668.087040,C1_13,24,0.09272
,,06668.078400,C1_23,39,0.1136
,,06668.074880,C1_33,38,0.15592
,,06668.079200,C1_34,16,0.11552
,,06668.068560,C1_43,35,0.12056
,,06668.071760,C1_44,12,0.11688
,,06670.914880,B5_21,7,0.02256
,,06671.434240,D4_14,15,0.2108
,,06672.541920,B6_33,5,0.02488
,,06673.751920,B2_41,6,0.03048
,,06674.314800,C1_21,6,0.07752
,,06674.316640,C1_31,8,0.12248
,,06674.320560,C1_11,21,0.09152
