Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_14DIV_17-04-2023,00122.006960,B4_34,7,0.07856
Description,"WT hippocampal culture. Basal activity measured on 17.04.23, 14DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914",00122.011440,B4_43,7,0.07368
Maestro Edge (Maestro-) Settings,,00122.040720,B6_33,8,0.0484
   Original File Time,04/17/2023 10:14:02,00122.029120,B6_23,12,0.05936
   Sampling Frequency,12.5 kHz,00122.010560,B6_34,7,0.08328
   Voltage Scale,5.484861781483107E-08 V/sample,00122.239760,A2_33,7,0.02632
   Experiment Start Time,04/17/2023 10:13:44,00122.653280,B1_33,7,0.02168
   Referencing Method,Median,00122.657040,B1_32,7,0.01768
   Acquire Viability,On,00122.737280,A2_21,93,0.25936
   Analog Mode Setting,Neural Spikes,00122.742720,A2_11,81,0.25536
   Plate Type,CytoView MEA 24,00122.847840,A2_12,11,0.12168
   Digital Low Pass Filter,3 kHz Kaiser Window,00122.744880,A2_13,28,0.23368
   Digital High Pass Filter,200 Hz IIR,00122.744880,A2_14,43,0.24512
   Temperature Set Point,37.0 Degrees C,00122.724080,A2_33,86,0.27376
   Current Temperature,37.1 Degrees C,00122.723840,A2_34,81,0.36296
   Heater Power,On,00122.730400,A2_32,75,0.2712
   Barcode Plate Type,TwentyFourWell,00122.732160,A2_43,15,0.19456
   Plate Serial Number,100-0914,00122.858480,A2_44,12,0.12456
   CO2 Conc. Set Point,5.0 %,00122.736560,A2_42,21,0.23648
   Actual CO2 Conc.,5.0 %,00122.911680,B3_12,5,0.01504
   Gas Mixer Status,Regulating,00122.901760,B3_23,5,0.01264
   AxIS Version,3.6.2.2,00122.898000,B3_14,8,0.11008
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00122.899920,B3_33,7,0.0184
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00122.870320,B3_24,5,0.03656
,,00122.897120,B3_34,9,0.02488
Spike Detector Settings,,00122.900640,B3_32,10,0.0248
   Method,Adaptive Threshold Crossing,00122.897520,B3_43,11,0.03448
   Threshold,6,00122.900320,B3_42,9,0.022
   Threshold Status,Variable,00123.022640,A6_22,9,0.03984
   Threshold Crossing Only,True,00123.344480,C2_11,8,0.03696
   Pre-Spike Duration,0.84 ms,00123.141120,A2_33,5,0.02752
   Post-Spike Duration,2.16 ms,00123.491600,C2_11,15,0.1004
   Coincident Event Filter,Default (Well),00123.339840,C2_12,27,0.25384
