Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_18DIV_21-04-2023,00122.393440,A6_21,14,0.05064
Description,"WT hippocampal culture. Basal activity measured on 21.04.23, 18DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00122.395920,A6_22,11,0.0396
Maestro Edge (Maestro-) Settings,,00122.790640,A1_21,16,0.06184
   Original File Time,04/21/2023 12:29:02,00122.822240,B6_11,5,0.01048
   Sampling Frequency,12.5 kHz,00122.597760,B6_33,9,0.10608
   Voltage Scale,5.484861781483107E-08 V/sample,00122.127280,B6_44,45,0.67544
   Experiment Start Time,04/21/2023 12:28:44,00122.834800,A1_13,14,0.14712
   Referencing Method,Median,00122.781280,A1_23,22,0.1924
   Acquire Viability,On,00122.819760,A1_34,28,0.16592
   Analog Mode Setting,Neural Spikes,00122.959040,A2_21,23,0.07496
   Plate Type,CytoView MEA 24,00122.956320,A2_11,18,0.07056
   Digital Low Pass Filter,3 kHz Kaiser Window,00122.959040,A2_33,13,0.07464
   Digital High Pass Filter,200 Hz IIR,00122.926000,A2_34,19,0.10704
   Temperature Set Point,37.0 Degrees C,00122.960720,A2_32,13,0.06672
   Current Temperature,37.1 Degrees C,00122.814080,B4_43,8,0.09072
   Heater Power,On,00123.157760,A1_21,8,0.02416
   Barcode Plate Type,TwentyFourWell,00123.149360,A1_13,6,0.04296
   Plate Serial Number,100-0914,00123.145520,A1_23,7,0.04504
   CO2 Conc. Set Point,5.0 %,00123.140960,A1_34,11,0.04224
   Actual CO2 Conc.,5.0 %,00123.382800,A1_31,15,0.07728
   Gas Mixer Status,Regulating,00123.368160,A1_11,6,0.09064
   AxIS Version,3.6.2.2,00123.346640,A1_13,35,0.13456
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00123.388640,A1_22,8,0.07
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00123.342240,A1_33,15,0.12344
,,00123.467120,B5_13,9,0.0608
Spike Detector Settings,,00123.483040,B5_44,6,0.02496
   Method,Adaptive Threshold Crossing,00123.488160,B5_21,10,0.08264
   Threshold,6,00123.500560,B5_31,7,0.04176
   Threshold Status,Variable,00123.668160,B1_33,10,0.03904
   Threshold Crossing Only,True,00123.668640,B1_32,7,0.0268
   Pre-Spike Duration,0.84 ms,00123.582000,A1_22,6,0.24448
   Post-Spike Duration,2.16 ms,00123.661920,A6_21,5,0.09944
   Coincident Event Filter,Default (Well),00123.751600,A6_22,5,0.01216
   Coincidence Occurrence Threshold,4 Electrodes,00123.533200,B6_14,7,0.18144
   Coincidence Event Window,160 µs,00123.375520,A1_41,92,0.62904
   Allow Sample Overlap,false,00123.353760,A1_21,114,0.64584
   Spike Count Interval,1 s,00124.108240,A1_21,10,0.02544
,,00123.582160,A1_31,25,0.40304
Burst Detector Settings,,00123.578880,A1_11,11,0.40512
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00123.729440,A1_12,6,0.25536
   Maximum Inter-Spike Interval,100 ms,00123.582640,A1_13,64,0.4244
   Minimum Number of Spikes,5,00124.117840,A1_13,10,0.02336
   Enable Network Burst Detection,False,00123.345520,A1_23,106,0.64968
   Synchrony Window,20 ms,00124.118240,A1_23,7,0.02248
,,00123.338000,A1_34,125,0.66864
,,00124.121120,A1_34,8,0.01936
,,00124.242240,A1_21,23,0.14376
,,00124.255760,A1_31,6,0.11088
,,00124.256560,A1_13,26,0.11552
,,00124.255040,A1_23,25,0.1172
,,00124.258800,A1_34,34,0.1148
,,00124.273600,A2_21,5,0.01112
,,00124.268720,A2_11,6,0.01736
,,00124.272160,A2_34,6,0.01296
,,00124.255840,A1_41,13,0.15064
,,00124.629840,C2_11,5,0.072
,,00124.877280,A6_22,5,0.01184
,,00124.981280,B4_33,14,0.1096
