Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,Baseline_WT hippocampal culture_9DIV_12-04-2023,00000.799680,A2_21,7,0.03128
Description,"WT hippocampal culture. Basal activity measured on 12.04.23, 9DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914


",00001.507360,B3_14,8,0.06728
,,00001.496480,B3_43,5,0.08864
Maestro Edge (Maestro-) Settings,,00001.603360,B6_14,8,0.05208
   Original File Time,04/12/2023 14:44:02,00001.584800,B6_33,9,0.07976
   Sampling Frequency,12.5 kHz,00002.387280,A3_44,6,0.04496
   Voltage Scale,5.484861781483107E-08 V/sample,00002.853280,D1_21,8,0.28672
   Experiment Start Time,04/12/2023 14:43:44,00003.027440,A2_33,6,0.02416
   Referencing Method,Median,00003.027680,A2_34,5,0.01432
   Acquire Viability,On,00003.070480,D1_31,11,0.5452
   Analog Mode Setting,Neural Spikes,00003.356560,A6_22,5,0.1084
   Plate Type,CytoView MEA 24,00003.755200,A6_22,6,0.07272
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.641200,B6_33,5,0.01752
   Digital High Pass Filter,200 Hz IIR,00003.982480,B3_32,6,0.01632
   Temperature Set Point,37.0 Degrees C,00004.107200,B6_33,5,0.04888
   Current Temperature,37.0 Degrees C,00005.744320,A2_34,5,0.02576
   Heater Power,On,00005.832720,A6_22,7,0.122
   Barcode Plate Type,TwentyFourWell,00006.086960,A6_22,8,0.18344
   Plate Serial Number,100-0914,00006.392480,A1_21,50,0.17456
   CO2 Conc. Set Point,5.0 %,00006.408800,A1_23,11,0.12768
   Actual CO2 Conc.,5.0 %,00006.478400,A2_34,5,0.02288
   Gas Mixer Status,Regulating,00006.829920,A6_22,5,0.08784
   AxIS Version,3.6.2.2,00006.703920,B6_14,20,0.36616
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00007.048800,D1_21,5,0.10792
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00007.570080,B6_33,6,0.02992
,,00007.914560,A2_34,5,0.03128
AxIS Playback,,00007.794240,A6_22,6,0.12408
   AxIS Version,3.6.2.2,00008.651680,A6_21,9,0.09576
   File Name,Baseline_WT hippocampal culture_9DIV_12-04-2023(000).raw,00008.645600,A6_22,7,0.03784
   Plate Type,CytoView MEA 24,00007.672000,C1_23,43,1.4776
   Requested File Section,0s to 9m58s,00008.878080,A3_13,10,0.12408
   Actual File Section Run,0s to 9m58s,00009.814000,A2_33,5,0.0488
   Recording Offset from File Start,0s,00009.811920,A2_34,6,0.02624
,,00010.127920,B3_32,11,0.12104
Spike Detector Settings,,00010.925760,A3_13,6,0.01992
   Method,Adaptive Threshold Crossing,00011.497040,A2_33,5,0.03784
   Threshold,6,00011.486720,A2_34,5,0.02704
   Threshold Status,Variable,00011.574240,D1_24,12,0.27448
   Threshold Crossing Only,True,00011.567760,A6_21,9,0.22736
   Pre-Spike Duration,0.84 ms,00011.536720,A6_22,8,0.30328
   Post-Spike Duration,2.16 ms,00013.041440,B6_33,6,0.102
   Coincident Event Filter,Default (Well),00013.780240,A1_21,48,0.2184
   Coincidence Occurrence Threshold,4 Electrodes,00013.834080,A1_23,17,0.13552
   Coincidence Event Window,160 µs,00014.587920,B3_32,5,0.04376
   Allow Sample Overlap,false,00014.692400,A6_22,13,0.22664
   Spike Count Interval,1 s,00015.214160,A2_33,5,0.02088
,,00015.204960,A2_34,6,0.01768
Burst Detector Settings,,00015.203360,A6_21,29,0.10696
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00015.117760,A6_22,29,0.20128
   Maximum Inter-Spike Interval,100 ms,00015.985600,D1_24,10,0.23056
   Minimum Number of Spikes,5,00016.597120,A3_44,22,0.206
   Enable Network Burst Detection,True,00016.565840,A3_43,19,0.26384
   Maximum Inter-Spike Interval (network bursts),100 ms,00016.643280,A6_22,5,0.01352
   Minimum Number of Spikes (network bursts),50,00016.350640,A3_13,55,0.69656
   Minimum Participating Electrodes (%),35,00017.668800,A2_21,5,0.03824
   Synchrony Window,20 ms,00017.729440,B3_43,5,0.03376
,,00018.502320,A2_33,5,0.11504
,,00018.522320,A2_34,6,0.12432
,,00018.294560,B6_14,6,0.15328
,,00018.345520,B6_33,7,0.1296
,,00019.450080,A2_33,7,0.02856
,,00019.452880,A2_34,6,0.06888
,,00019.623440,B6_33,6,0.05784
,,00020.443920,A6_21,21,0.19832
,,00020.436080,A6_22,19,0.23296
,,00020.958880,A3_44,5,0.09064
,,00021.954160,A2_34,5,0.14088
,,00022.027280,B6_14,7,0.15224
,,00022.528160,A2_33,6,0.04064
,,00022.295040,D3_33,12,0.15112
,,00023.191280,B4_43,7,0.04
,,00023.473840,B4_43,12,0.07704
,,00023.783200,D1_24,6,0.0612
,,00023.820080,A6_21,6,0.1232
,,00023.578880,A6_22,23,0.35184
,,00023.872320,B6_33,5,0.06544
,,00024.966000,A2_33,6,0.11264
,,00024.963040,A2_34,7,0.0352
,,00025.092800,B6_33,5,0.018
,,00025.360160,A3_13,5,0.02592
,,00025.473040,A6_22,5,0.0248
,,00026.131600,B6_33,5,0.05112
,,00026.601840,B3_43,6,0.04336
,,00026.603280,B3_44,5,0.03864
,,00026.599600,B3_32,8,0.05576
,,00026.600080,B3_42,7,0.05768
,,00026.873920,A3_13,7,0.03048
,,00027.222480,A6_21,7,0.10848
,,00027.216240,A6_22,9,0.0412
,,00027.822960,A2_33,6,0.03464
,,00027.810800,A2_21,11,0.14416
,,00027.731440,A2_34,14,0.27088
,,00028.019120,A6_21,5,0.01392
,,00028.012000,A6_22,6,0.06432
,,00028.190000,B6_33,7,0.06472
,,00028.686240,A6_22,6,0.0276
,,00028.979360,B3_14,13,0.17808
,,00029.415680,A6_21,5,0.0604
,,00029.640320,B6_14,6,0.03064
